NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C4BPB	82	4.248194217681885	0.0027127278	Yes	
row_1	MAOA	261	0.6732887625694275	8.481419E-4	Yes	
row_2	SULT1A1	337	0.3429854214191437	0.0038946322	Yes	
row_3	GPX3	729	0.0306699275970459	-0.008125869	Yes	
row_4	GAL	819	0.022434016689658165	-0.005746903	Yes	
row_5	SHOX2	931	0.01525815948843956	-0.0044169053	Yes	
row_6	ABCB1	1097	0.008619696833193302	-0.005661647	Yes	
row_7	CCK	1301	0.004670661874115467	-0.008718241	Yes	
row_8	APOM	1307	0.004593082703649998	-0.0023341265	Yes	
row_9	HMOX1	1345	0.004213858395814896	0.002524217	Yes	
row_10	NPTXR	1517	0.0027827422600239515	9.933936E-4	Yes	
row_11	ACAA1	1521	0.0027519927825778723	0.007472869	Yes	
row_12	TAP1	1697	0.001817300682887435	0.0057513244	Yes	
row_13	BAK1	1736	0.001672300393693149	0.010561988	Yes	
row_14	EPCAM	1789	0.0014673619298264384	0.014705126	Yes	
row_15	CCNE1	1934	0.001022528624162078	0.014461672	Yes	
row_16	GCH1	1976	9.16569319088012E-4	0.019129295	Yes	
row_17	AP2S1	2059	7.492131553590298E-4	0.021842021	Yes	
row_18	EPHX1	2181	5.822160746902227E-4	0.022695215	Yes	
row_19	CHKA	2351	4.112344468012452E-4	0.021259753	Yes	
row_20	BID	2471	2.955377276521176E-4	0.022208309	Yes	
row_21	ALAS1	2758	1.408163079759106E-4	0.015194245	Yes	
row_22	CCND3	2833	1.0662452405085787E-4	0.018288415	Yes	
row_23	TMBIM6	2981	6.761858821846545E-5	0.01790192	Yes	
row_24	DGAT1	3193	2.8028161977999844E-5	0.014463882	Yes	
row_25	PDLIM3	3349	9.550396498525515E-6	0.013695945	Yes	
row_26	NKX2-5	3377	7.971985723997932E-6	0.019031093	Yes	
row_27	EIF2S3	3563	1.088580233954417E-6	0.016832743	Yes	
row_28	KCNH2	3830	5.643832423629647E-7	0.010772287	Yes	
