NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAD1	94	3.7823357582092285	0.0013963361	Yes	
row_1	SLC46A3	107	3.320927858352661	0.0067060064	Yes	
row_2	TDO2	203	1.2033840417861938	0.008054619	Yes	
row_3	MAOA	261	0.6732887625694275	0.011216727	Yes	
row_4	TTPA	264	0.6417672038078308	0.017003633	Yes	
row_5	FBP1	377	0.2571902275085449	0.017540945	Yes	
row_6	IDH1	393	0.23224610090255737	0.022707444	Yes	
row_7	CDA	499	0.10435289889574051	0.02357882	Yes	
row_8	BPHL	687	0.03601787984371185	0.020536864	Yes	
row_9	CYFIP2	689	0.03582194447517395	0.026371494	Yes	
row_10	SERPINE1	691	0.03564368188381195	0.03220612	Yes	
row_11	GCNT2	692	0.03551997244358063	0.038088474	Yes	
row_12	NINJ1	943	0.01490400917828083	0.032039933	Yes	
row_13	CYP2J2	987	0.013026244007050991	0.035870172	Yes	
row_14	PTGES	995	0.012574752792716026	0.04141846	Yes	
row_15	PINK1	1015	0.011881512589752674	0.046394065	Yes	
row_16	HMOX1	1345	0.004213858395814896	0.03657536	Yes	
row_17	SLC1A5	1356	0.004175130743533373	0.041980475	Yes	
row_18	ACOX3	1468	0.0032243155874311924	0.04256551	Yes	
row_19	GCLC	1656	0.0020169150084257126	0.039523553	Yes	
row_20	PEMT	1674	0.0019375524716451764	0.044594605	Yes	
row_21	IRF8	1688	0.0018663331866264343	0.04985655	Yes	
row_22	NQO1	1734	0.0016893845750018954	0.053591345	Yes	
row_23	DHRS7	1807	0.0013885225635021925	0.056037597	Yes	
row_24	GCH1	1976	9.16569319088012E-4	0.05390239	Yes	
row_25	GABARAPL1	2022	8.087807800620794E-4	0.05763718	Yes	
row_26	BCAT1	2075	7.262714789249003E-4	0.06103791	Yes	
row_27	ACOX1	2103	6.905391346663237E-4	0.065631725	Yes	
row_28	ALDH9A1	2133	6.45350432023406E-4	0.070130095	Yes	
row_29	CYB5A	2145	6.243926472961903E-4	0.07548749	Yes	
row_30	EPHX1	2181	5.822160746902227E-4	0.07969952	Yes	
row_31	AKR1C3	2311	4.452436987776309E-4	0.07942553	Yes	
row_32	GSTM4	2336	4.2358896462246776E-4	0.08416251	Yes	
