NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	192	-0.27697027	-4.561359	0.0	0.0	0.0	7626	tags=64%, list=36%, signal=99%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	190	-0.2731351	-4.3217697	0.0	0.0	0.0	12183	tags=85%, list=58%, signal=198%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	178	-0.24406952	-3.759751	0.0	0.0	0.0	4620	tags=46%, list=22%, signal=58%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	138	-0.26355317	-3.6607282	0.0	0.0	0.0	4879	tags=49%, list=23%, signal=64%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	167	-0.23528212	-3.5478284	0.0	0.0	0.0	4810	tags=46%, list=23%, signal=59%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	194	-0.21717949	-3.4965765	0.0	0.0	0.0	5473	tags=47%, list=26%, signal=63%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	196	-0.2083431	-3.392201	0.0	0.0	0.0	12346	tags=79%, list=58%, signal=189%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	-0.16445209	-2.6804743	0.0	3.4107946E-4	0.002	13049	tags=78%, list=62%, signal=202%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	162	-0.17497212	-2.548754	0.0	4.722638E-4	0.003	7808	tags=54%, list=37%, signal=86%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	184	-0.15119079	-2.3800108	0.0020408162	0.0013903741	0.01	5675	tags=42%, list=27%, signal=57%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	184	-0.124264985	-2.009672	0.00203666	0.016005406	0.12	5550	tags=39%, list=26%, signal=52%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	152	-0.13691187	-1.9664468	0.006122449	0.01992104	0.158	6024	tags=42%, list=29%, signal=58%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	190	-0.12099377	-1.953205	0.012145749	0.019907419	0.171	5473	tags=38%, list=26%, signal=51%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	145	-0.13418542	-1.9027828	0.0102459015	0.02323065	0.211	15979	tags=89%, list=76%, signal=363%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	111	-0.14013416	-1.708274	0.026584867	0.060365412	0.487	4288	tags=34%, list=20%, signal=43%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	-0.24898311	-1.6618376	0.031746034	0.07135812	0.57	6912	tags=58%, list=33%, signal=85%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	183	-0.09678561	-1.5476547	0.0554371	0.11274808	0.775	5939	tags=38%, list=28%, signal=52%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	174	-0.10092943	-1.5428423	0.058139537	0.10855498	0.781	1650	tags=18%, list=8%, signal=19%	
