NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FARS2	95	3.7739923000335693	0.040952604	Yes	
row_1	CARS2	1046	0.010550187900662422	0.041387722	Yes	
row_2	SARS2	1586	0.0023600927088409662	0.061299667	Yes	
row_3	YARS2	2825	1.0888211545534432E-4	0.04808679	Yes	
row_4	SEPSECS	3036	5.5407697800546885E-5	0.08358967	Yes	
row_5	WARS2	3335	1.085468193195993E-5	0.11492234	Yes	
row_6	MARS2	3544	1.2857216233896906E-6	0.15052	Yes	
row_7	NARS2	6226	9.069643169823394E-8	0.06892498	Yes	
row_8	AARS2	6312	8.635220183350611E-8	0.11035147	Yes	
row_9	MTFMT	6487	7.953573089025667E-8	0.14756036	Yes	
row_10	EARS2	6578	7.588971584482351E-8	0.18874991	Yes	
row_11	LARS2	6703	7.12398104951717E-8	0.22832823	Yes	
row_12	RARS2	7183	5.798030144887889E-8	0.2510835	Yes	
row_13	IARS2	7190	5.7870547465199706E-8	0.2962537	Yes	
row_14	PSTK	8181	3.586858099424717E-8	0.29479328	Yes	
row_15	HARS2	8289	3.3935489085479276E-8	0.3351772	Yes	
row_16	VARS2	8514	3.0026171771169174E-8	0.37001666	Yes	
row_17	TARS2	9062	2.1312731135481044E-8	0.3895495	Yes	
row_18	FARSB	10421	1.2468615029348484E-9	0.37064996	No	
row_19	PARS2	13942	-4.776020290364613E-8	0.24929567	No	
row_20	FARSA	14620	-6.399483254426741E-8	0.26266795	No	
row_21	DARS2	18384	-2.6045210688607767E-5	0.12979817	No	
