NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAOA	261	0.6732887625694275	0.00844958	No	
row_1	ALDH4A1	1194	0.006319611798971891	-0.014938002	No	
row_2	SAT2	1531	0.0026904658880084753	-0.010046973	No	
row_3	ALDH9A1	2133	6.45350432023406E-4	-0.017729487	No	
row_4	NOS3	2624	1.9718323892448097E-4	-0.020145347	No	
row_5	SMS	2852	1.0132329043699428E-4	-0.010082558	No	
row_6	LAP3	4085	4.0369451426158776E-7	-0.04770434	No	
row_7	ARG2	4485	2.7273958380646945E-7	-0.045802493	No	
row_8	AOC1	4488	2.716950859849021E-7	-0.025064053	No	
row_9	GATM	4551	2.590206520380889E-7	-0.0071724537	No	
row_10	ALDH1B1	5354	1.453314268928807E-7	-0.024391882	No	
row_11	GOT1	6141	9.467635209148284E-8	-0.04085215	No	
row_12	ACY1	6232	9.052002525322678E-8	-0.024289079	No	
row_13	ASL	6290	8.768012094151345E-8	-0.0061602434	No	
row_14	PYCR1	6983	6.309792865977215E-8	-0.018160464	No	
row_15	GOT2	7438	5.1782777177322714E-8	-0.018868221	No	
row_16	SRM	8628	2.8127631779284457E-8	-0.054449767	No	
row_17	PYCR2	9039	2.1630597757393843E-8	-0.05306984	No	
row_18	P4HA3	9756	1.05689403895326E-8	-0.066208795	No	
row_19	ALDH18A1	10018	7.1688619485144045E-9	-0.057759218	No	
row_20	ALDH3A2	10265	3.758728439606784E-9	-0.048597928	No	
row_21	AGMAT	12118	-1.5557564125856516E-8	-0.11563706	No	
row_22	AZIN2	12376	-1.9712961929485573E-8	-0.10699769	No	
row_23	AMD1	13656	-4.16150243154334E-8	-0.1468495	No	
row_24	GLS	13691	-4.217943683215708E-8	-0.12762937	No	
row_25	GAMT	13954	-4.803036546263684E-8	-0.11922724	No	
row_26	P4HA2	15697	-1.0824993523783633E-7	-0.18104716	Yes	
row_27	OAT	15850	-1.1846415048921699E-7	-0.16742583	Yes	
row_28	GLS2	16081	-1.344366893363258E-7	-0.15750538	Yes	
row_29	CKMT2	16432	-1.6830340143769718E-7	-0.1532786	Yes	
row_30	ASS1	17237	-3.1719994808554475E-7	-0.17059293	Yes	
row_31	ALDH2	17778	-6.173410156407044E-7	-0.17538115	Yes	
row_32	GLUD1	18004	-1.2281565204830258E-6	-0.16522348	Yes	
row_33	SAT1	18399	-2.870395837817341E-5	-0.16308439	Yes	
row_34	ODC1	18772	-1.3899269106332213E-4	-0.15990147	Yes	
row_35	P4HA1	18955	-2.4351330648642033E-4	-0.14770354	Yes	
row_36	CKMT1A	19092	-3.4338608384132385E-4	-0.13332304	Yes	
row_37	GLUL	19170	-4.3987255776301026E-4	-0.11614316	Yes	
row_38	CKB	19607	-0.001371806487441063	-0.11599687	Yes	
row_39	GLUD2	19695	-0.001729096518829465	-0.09929145	Yes	
row_40	CKMT1B	19752	-0.002080746926367283	-0.081115164	Yes	
row_41	CPS1	19873	-0.0030427458696067333	-0.06597551	Yes	
row_42	NOS2	20365	-0.018952446058392525	-0.06843882	Yes	
row_43	NOS1	20659	-0.09065289795398712	-0.061507553	Yes	
row_44	PRODH	20700	-0.11880670487880707	-0.042572115	Yes	
row_45	NAGS	20701	-0.1199379712343216	-0.021738779	Yes	
row_46	MAOB	20759	-0.18014292418956757	-0.003609944	Yes	
row_47	ALDH7A1	21086	-8.558453559875488	0.0017555591	Yes	
