NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFNA2	52	6.594346523284912	0.0057886257	No	
row_1	EPHA3	298	0.4555855691432953	0.0023880885	No	
row_2	EFNB3	461	0.14197315275669098	0.0029393674	No	
row_3	SEMA4A	562	0.07311593741178513	0.0064426055	No	
row_4	SEMA3B	663	0.04138743877410889	0.009945843	No	
row_5	NFATC2	813	0.023224657401442528	0.011116082	No	
row_6	DPYSL5	1085	0.008840859867632389	0.006477626	No	
row_7	SEMA3E	1569	0.002463395008817315	-0.008254626	No	
row_8	CXCR4	2305	4.535606421995908E-4	-0.034985162	No	
row_9	PAK1	2359	4.019679327029735E-4	-0.02924415	No	
row_10	EPHA6	2435	3.2733241096138954E-4	-0.024550606	No	
row_11	EPHA4	2701	1.6469978436361998E-4	-0.028903387	No	
row_12	PAK4	3297	1.3850360119249672E-5	-0.04896821	No	
row_13	EPHA5	3726	6.831561449871515E-7	-0.06108179	No	
row_14	SLIT2	3789	6.092619173614366E-7	-0.055769283	No	
row_15	SEMA5A	3879	5.281593757899827E-7	-0.05174231	No	
row_16	SEMA3G	3886	5.204501007938234E-7	-0.043763522	No	
row_17	SEMA6A	3889	5.172915962248226E-7	-0.035594285	No	
row_18	ROBO2	4257	3.435822293340607E-7	-0.044803515	No	
row_19	EPHB6	4335	3.1546198897558497E-7	-0.040205196	No	
row_20	EPHB2	4364	3.0686078389408067E-7	-0.033273876	No	
row_21	SEMA6D	4472	2.759636856808356E-7	-0.030103924	No	
row_22	EPHA1	4550	2.5934059522114694E-7	-0.025505604	No	
row_23	NFATC1	4696	2.3284682981739024E-7	-0.024144918	No	
row_24	NTN3	5124	1.7019610254465078E-7	-0.036210883	No	
row_25	SEMA3C	5129	1.6962903259809536E-7	-0.02813687	No	
row_26	RAC2	5701	1.191968124203413E-7	-0.047059	No	
row_27	PPP3CC	6163	9.372205767022024E-8	-0.06074378	No	
row_28	SLIT3	6262	8.89469689013822E-8	-0.05714532	No	
row_29	ABLIM3	6395	8.325692846256061E-8	-0.05516567	No	
row_30	PLXNC1	6418	8.229901737877299E-8	-0.047948677	No	
row_31	EFNA1	6453	8.099298298702706E-8	-0.04130303	No	
row_32	ITGB1	6658	7.263658119427419E-8	-0.04275147	No	
row_33	ABLIM1	6695	7.159744797036183E-8	-0.036201045	No	
row_34	NRAS	6775	6.902292426502754E-8	-0.03169795	No	
row_35	EFNA3	6871	6.606278901699625E-8	-0.027956652	No	
row_36	GNAI3	6944	6.400453145261054E-8	-0.023120271	No	
row_37	NFAT5	6971	6.326006740664525E-8	-0.016093727	No	
