NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT6	206	1.1751515865325928	0.009832302	No	
row_1	WNT10B	386	0.24191449582576752	0.020945864	No	
row_2	WNT5A	739	0.029436102136969566	0.02384987	No	
row_3	WNT11	757	0.027680613100528717	0.042650994	No	
row_4	WNT10A	1191	0.0063580917194485664	0.04171122	No	
row_5	FZD10	1848	0.0012405301677063107	0.03018918	No	
row_6	LEF1	1967	9.330672328360379E-4	0.044197444	No	
row_7	FZD7	3442	3.960429239668883E-6	-0.006142037	No	
row_8	FZD2	3637	8.163289635376714E-7	0.0042597144	No	
row_9	WNT3	3679	7.525010232711793E-7	0.02192194	No	
row_10	DVL3	3712	7.089213340805145E-7	0.040011253	No	
row_11	SHH	3714	7.042125389489229E-7	0.059571642	No	
row_12	WNT5B	3829	5.647896728078194E-7	0.07376972	No	
row_13	GLI1	4079	4.067926795414678E-7	0.0815615	No	
row_14	WNT8B	4244	3.466317366473959E-7	0.09338687	No	
row_15	AXIN2	4503	2.6911152417596895E-7	0.100751564	No	
row_16	WNT9A	5310	1.49239923530331E-7	0.08211141	No	
row_17	FZD4	5674	1.2065207499745156E-7	0.08449342	No	
row_18	TP53	6455	8.094109915646186E-8	0.06708708	No	
row_19	DVL1	6552	7.681963154482219E-8	0.08213933	No	
row_20	APC2	6676	7.216837616397243E-8	0.09591032	No	
row_21	CTNNB1	8211	3.52385072233119E-8	0.042723596	No	
row_22	DVL2	9726	1.0924133597711716E-8	-0.009514049	No	
row_23	WNT7B	11168	-1.3881291671680174E-9	-0.058287542	No	
row_24	APC	12005	-1.3916383601042526E-8	-0.07835132	No	
row_25	TCF7L2	12462	-2.0934795230687087E-8	-0.08038253	No	
row_26	AXIN1	12660	-2.4202966741881937E-8	-0.07012314	No	
row_27	STK36	13670	-4.1825071406265124E-8	-0.09839647	No	
row_28	SUFU	14355	-5.658042923073481E-8	-0.11124723	No	
row_29	WNT3A	16057	-1.3241341889624891E-7	-0.17235878	Yes	
row_30	PTCH1	16063	-1.3265332654555095E-7	-0.15298821	Yes	
row_31	WNT2B	16322	-1.565863527730471E-7	-0.14562352	Yes	
row_32	GSK3B	16451	-1.7016661502111674E-7	-0.13208981	Yes	
row_33	FZD6	16895	-2.320966956403936E-7	-0.13350412	Yes	
row_34	BMP4	16934	-2.3956218342391367E-7	-0.11569953	Yes	
row_35	GLI2	17186	-3.006726103649271E-7	-0.10800266	Yes	
row_36	FZD9	17251	-3.2160025398297876E-7	-0.09143188	Yes	
row_37	FZD1	17260	-3.243094397475943E-7	-0.072203666	Yes	
row_38	WNT16	17569	-4.5372715362645977E-7	-0.06721168	Yes	
row_39	WNT7A	17853	-7.189794359874213E-7	-0.061033346	Yes	
row_40	BMP2	17877	-7.573848392894433E-7	-0.042516947	Yes	
row_41	FZD5	17887	-7.744883419036341E-7	-0.023336189	Yes	
row_42	FZD3	18401	-2.9171862479415722E-5	-0.028072292	Yes	
row_43	TCF7L1	18427	-3.478626240394078E-5	-0.009650799	Yes	
row_44	PTCH2	18793	-1.523730024928227E-4	-0.007363697	Yes	
row_45	TCF7	19637	-0.0014762402279302478	-0.027759649	Yes	
row_46	WNT4	19952	-0.0037852092646062374	-0.023052387	Yes	
row_47	HHIP	20599	-0.0634419247508049	-0.034099884	Yes	
row_48	FZD8	20852	-0.42039570212364197	-0.02645047	Yes	
row_49	GLI3	20925	-0.9279720187187195	-0.01025932	Yes	
row_50	SMO	20980	-1.8369759321212769	0.006786003	Yes	
