NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICOSLG	54	6.4997711181640625	0.0066047185	Yes	
row_1	NCAM2	186	1.399572491645813	0.009545388	Yes	
row_2	HLA-DOA	190	1.3706930875778198	0.018576944	Yes	
row_3	ESAM	287	0.5027371048927307	0.02318309	Yes	
row_4	SDC2	332	0.34965547919273376	0.030263659	Yes	
row_5	HLA-DMA	534	0.08243030309677124	0.029873373	Yes	
row_6	NFASC	575	0.06723561137914658	0.037144285	Yes	
row_7	HLA-DMB	754	0.028177792206406593	0.037848454	Yes	
row_8	PVR	886	0.0181666798889637	0.040789124	Yes	
row_9	CADM1	981	0.013288850896060467	0.04549044	Yes	
row_10	NLGN1	1105	0.008374553173780441	0.04881179	Yes	
row_11	ITGAL	1202	0.006202983669936657	0.053417936	Yes	
row_12	PTPRM	1251	0.00540789682418108	0.060308162	Yes	
row_13	NEO1	1259	0.00531553803011775	0.06914938	Yes	
row_14	NRXN3	1268	0.005125916097313166	0.07794301	Yes	
row_15	SELPLG	1464	0.0032454743050038815	0.077838235	Yes	
row_16	SPN	1716	0.0017346712993457913	0.0750687	Yes	
row_17	CLDN4	1730	0.001697344472631812	0.08362441	Yes	
row_18	CLDN9	1838	0.0012874173698946834	0.08770712	Yes	
row_19	HLA-C	1912	0.0010593971237540245	0.09340772	Yes	
row_20	HLA-B	1915	0.001051421044394374	0.10248686	Yes	
row_21	JAM3	2040	7.72528350353241E-4	0.10576062	Yes	
row_22	SELL	2089	7.068903651088476E-4	0.11265085	Yes	
row_23	CDH1	2097	6.986724329181015E-4	0.121492065	Yes	
row_24	CD8A	2123	6.57961587421596E-4	0.12947676	Yes	
row_25	HLA-DRB5	2253	5.016173818148673E-4	0.1325126	Yes	
row_26	CD34	2255	5.008511361666024E-4	0.14163932	Yes	
row_27	PTPRC	2434	3.2763209310360253E-4	0.14234349	Yes	
row_28	CD4	2557	2.3042091925162822E-4	0.14571242	Yes	
row_29	NECTIN2	2850	1.0146607382921502E-4	0.1409919	No	
row_30	ICAM2	3764	6.40549103536614E-7	0.10672105	No	
row_31	ITGB7	3933	4.90773970795999E-7	0.107901074	No	
row_32	CLDN6	3944	4.855536985814979E-7	0.11659954	No	
row_33	OCLN	4045	4.235214134951093E-7	0.12101534	No	
row_34	CLDN7	4147	3.804473749369208E-7	0.12538356	No	
row_35	CDH2	4150	3.776715686854004E-7	0.1344627	No	
row_36	HLA-DOB	4234	3.507132078084396E-7	0.13968745	No	
row_37	HLA-F	4416	2.9260047540446976E-7	0.14024886	No	
row_38	CDH3	4541	2.6040973466479045E-7	0.14352264	No	
row_39	CLDN23	5028	1.823436690528979E-7	0.1295706	No	
