NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45G	961	0.013920189812779427	-0.037560828	No	
row_1	CDC14B	1396	0.0038269804790616035	-0.050028805	No	
row_2	SKP2	1644	0.0020598273258656263	-0.05359287	No	
row_3	CCNE1	1934	0.001022528624162078	-0.059156742	No	
row_4	ANAPC7	2249	5.03754650708288E-4	-0.06591098	No	
row_5	ANAPC11	2559	2.2842714679427445E-4	-0.072427146	No	
row_6	ANAPC5	2588	2.1460534480866045E-4	-0.06556363	No	
row_7	CCND3	2833	1.0662452405085787E-4	-0.06898485	No	
row_8	ORC2	3156	3.480955274426378E-5	-0.076120004	No	
row_9	CDC6	3178	3.0044571758480743E-5	-0.06892319	No	
row_10	CCND2	3369	8.544505362806376E-6	-0.06977323	No	
row_11	SKP1	3737	6.69557266519405E-7	-0.07905103	No	
row_12	RB1	4848	2.074881564340103E-7	-0.12370642	No	
row_13	CDK6	5550	1.2945814376053022E-7	-0.14888747	No	
row_14	MDM2	5657	1.2202222876567248E-7	-0.14573789	No	
row_15	E2F1	6205	9.156133273791056E-8	-0.1635863	No	
row_16	YWHAE	6307	8.666419404335102E-8	-0.16019866	No	
row_17	CDC16	6367	8.443078058917308E-8	-0.15481119	No	
row_18	YWHAZ	6380	8.372867910111381E-8	-0.14718585	No	
row_19	TP53	6455	8.094109915646186E-8	-0.14251259	No	
row_20	CDK4	6840	6.681723618839897E-8	-0.15259986	No	
row_21	SMAD2	7470	5.0824738195842656E-8	-0.17435266	No	
row_22	CCNH	7571	4.8364054094918174E-8	-0.17091739	No	
row_23	MCM3	8327	3.322113428794182E-8	-0.19866963	Yes	
row_24	CDC14A	8386	3.210563548350365E-8	-0.19323455	Yes	
row_25	SMC1B	8394	3.203762943826405E-8	-0.18537113	Yes	
row_26	PKMYT1	8410	3.1782743548092185E-8	-0.17788862	Yes	
row_27	CDK2	8583	2.8864240775305916E-8	-0.1778816	Yes	
row_28	ANAPC4	8602	2.861762382622146E-8	-0.17054194	Yes	
row_29	TGFB3	8627	2.814732269484921E-8	-0.16348797	Yes	
row_30	MCM4	8837	2.5021922311907474E-8	-0.16524269	Yes	
row_31	MCM5	8942	2.3297955564771655E-8	-0.16199787	Yes	
row_32	E2F4	9011	2.2049190917527994E-8	-0.15703894	Yes	
row_33	SMC1A	9095	2.0797989108700676E-8	-0.15279421	Yes	
row_34	GADD45B	9119	2.048639302643096E-8	-0.14569263	Yes	
row_35	CREBBP	9410	1.5900365468723976E-8	-0.15130413	Yes	
row_36	ZBTB17	9561	1.3528890896452594E-8	-0.15024957	Yes	
row_37	CDKN2B	9648	1.1959416568174674E-8	-0.1461477	Yes	
row_38	ANAPC1	9699	1.12186455680785E-8	-0.14033172	Yes	
row_39	PCNA	9865	9.210281426419442E-9	-0.13999139	Yes	
row_40	GADD45A	11156	-1.2459597797942479E-9	-0.19321738	Yes	
row_41	CUL1	11215	-2.3666704151992235E-9	-0.1877823	Yes	
row_42	PRKDC	11301	-3.759940803149675E-9	-0.18363282	Yes	
row_43	DBF4	11594	-8.109440230441578E-9	-0.18933953	Yes	
row_44	CCNB2	11600	-8.136975537809121E-9	-0.18138088	Yes	
