NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	393	0.23224610090255737	0.015852751	Yes	
row_1	DLD	2985	6.709637818858027E-5	-0.072489806	Yes	
row_2	SDHA	3251	1.8974931663251482E-5	-0.050569266	Yes	
row_3	PDHB	3273	1.6235946532106027E-5	-0.017082006	Yes	
row_4	PDHA1	3560	1.1013097491741064E-6	0.0038430379	Yes	
row_5	OGDHL	5149	1.6726818330425886E-7	-0.036952708	Yes	
row_6	PCK2	6036	9.990419869154721E-8	-0.044470422	Yes	
row_7	SUCLA2	6275	8.836081377694427E-8	-0.02126996	Yes	
row_8	OGDH	6645	7.301867555042918E-8	-0.0042794985	Yes	
row_9	SUCLG2P2	6991	6.289897669375932E-8	0.013848674	Yes	
row_10	CS	7989	3.9407034080340964E-8	0.0010690467	Yes	
row_11	MDH1	8481	3.05161016456168E-8	0.012276147	Yes	
row_12	IDH2	8548	2.9465082818092014E-8	0.0436302	Yes	
row_13	ACO2	8778	2.5872848752328537E-8	0.06725731	Yes	
row_14	SDHD	9311	1.7352931536152028E-8	0.076520815	Yes	
row_15	SDHB	9495	1.4488751531871458E-8	0.10232854	Yes	
row_16	FH	9564	1.3471012749732836E-8	0.13358778	Yes	
row_17	ACLY	9625	1.2313097208505042E-8	0.16522627	Yes	
row_18	SUCLG2	11318	-3.9741854251929E-9	0.11950044	Yes	
row_19	MDH2	11489	-6.510473049559096E-9	0.14592442	Yes	
row_20	SDHC	11720	-9.6864933851748E-9	0.16950412	Yes	
row_21	DLST	11766	-1.0443959475026077E-8	0.20185366	Yes	
row_22	IDH3B	12043	-1.4461757125161512E-8	0.22325276	Yes	
row_23	SUCLG1	12754	-2.6103048611503255E-8	0.22407825	Yes	
row_24	DLAT	13096	-3.1751703488680505E-8	0.24239604	Yes	
row_25	ACO1	13170	-3.313249408165575E-8	0.27341828	Yes	
row_26	IDH3A	13581	-4.043762302785581E-8	0.28846514	Yes	
row_27	PC	15105	-8.02107749109382E-8	0.2507507	No	
row_28	IDH3G	19287	-6.049041985534132E-4	0.08703482	No	
