NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNG8	38	9.695561408996582	0.012279538	No	
row_1	CACNG6	253	0.7229054570198059	0.016199224	No	
row_2	CACNA1C	385	0.2479458749294281	0.024061339	No	
row_3	PRKACB	631	0.048996277153491974	0.02650855	No	
row_4	CACNG4	1760	0.001576390815898776	-0.012986006	No	
row_5	TPM1	2165	6.019430002197623E-4	-0.018091163	No	
row_6	ACTC1	2507	2.6778559549711645E-4	-0.020203874	No	
row_7	TNNC1	3160	3.398621629457921E-5	-0.037088823	No	
row_8	CACNG7	3815	5.806236913485918E-7	-0.054068774	No	
row_9	PRKX	3912	5.02262594181957E-7	-0.044544186	No	
row_10	ITGB7	3933	4.90773970795999E-7	-0.031409662	No	
row_11	TNNT2	4116	3.934798087357194E-7	-0.025970004	No	
row_12	CACNA1D	4293	3.2961989404611813E-7	-0.020245353	No	
row_13	ITGB5	4400	2.9598891160276253E-7	-0.011195757	No	
row_14	ADCY4	4428	2.8931518158969993E-7	0.0016062723	No	
row_15	CACNA2D3	4966	1.9043081067593448E-7	-0.009816274	No	
row_16	ITGA7	4977	1.89113976034605E-7	0.0037932408	No	
row_17	CACNB2	5374	1.4367512335411448E-7	-9.319233E-4	No	
row_18	SGCB	5398	1.4137626180854568E-7	0.012060103	No	
row_19	ITGA11	5752	1.1620505802056869E-7	0.009377403	No	
row_20	ITGA5	6330	8.574836840580247E-8	-0.0039451104	No	
row_21	ITGB1	6658	7.263658119427419E-8	-0.0053928318	No	
row_22	ACTG1	7333	5.463326147037151E-8	-0.023322765	No	
row_23	ITGB6	7886	4.132727937644631E-8	-0.035457797	No	
row_24	TTN	8484	3.0489790248111603E-8	-0.049730297	No	
row_25	ADCY9	8544	2.947827937305192E-8	-0.03844824	No	
row_26	TGFB3	8627	2.814732269484921E-8	-0.028258665	No	
row_27	CACNB1	9417	1.5825817101244866E-8	-0.051651	No	
row_28	ITGAV	11785	-1.0670688332936606E-8	-0.14999703	Yes	
row_29	ITGA2B	11792	-1.0746568079866847E-8	-0.13619752	Yes	
row_30	ADCY5	11995	-1.3846189972355205E-8	-0.13170785	Yes	
row_31	PRKACA	12086	-1.5098533978630257E-8	-0.121898256	Yes	
row_32	ATP2A2	12663	-2.433426082859569E-8	-0.13517328	Yes	
row_33	ADCY7	12774	-2.639735363629825E-8	-0.12631367	Yes	
row_34	DAG1	12972	-2.957444955598021E-8	-0.1215865	Yes	
row_35	CACNA2D4	12982	-2.977040125529129E-8	-0.10792949	Yes	
row_36	CACNA2D1	13027	-3.055970054788304E-8	-0.09593495	Yes	
row_37	TPM3	13440	-3.7713984823994906E-8	-0.1014201	Yes	
row_38	TPM4	14046	-4.994049263018496E-8	-0.11607259	Yes	
row_39	EMD	14286	-5.493254562338734E-8	-0.11334038	Yes	
row_40	ADCY6	14680	-6.55861853715578E-8	-0.11792305	Yes	
row_41	ACTB	15004	-7.623525277722365E-8	-0.119180776	Yes	
row_42	GNAS	15052	-7.810371016603312E-8	-0.10732873	Yes	
row_43	TGFB2	15335	-8.951086982733614E-8	-0.10663898	Yes	
row_44	LAMA2	15427	-9.450801030652656E-8	-0.096876904	Yes	
row_45	LMNA	15476	-9.6389342729708E-8	-0.08507235	Yes	
row_46	ITGA3	15629	-1.0503899261493643E-7	-0.078207724	Yes	
row_47	SLC8A1	15970	-1.252630141834743E-7	-0.080272935	Yes	
row_48	ITGA1	15995	-1.2669266880038776E-7	-0.06732841	Yes	
row_49	TGFB1	15996	-1.2670571436501632E-7	-0.0532439	Yes	
row_50	ITGB3	16982	-2.517907091714733E-7	-0.085946076	Yes	
row_51	CACNA1F	17027	-2.593257875105337E-7	-0.07395153	Yes	
row_52	ITGA2	17152	-2.884187892959744E-7	-0.065756924	Yes	
row_53	CACNA2D2	17468	-4.0700649606151273E-7	-0.066634655	Yes	
row_54	CACNG1	17545	-4.3818903350256733E-7	-0.05616008	Yes	
row_55	CACNB4	17681	-5.351647018869699E-7	-0.04848796	Yes	
row_56	TNNI3	17719	-5.654550818690041E-7	-0.036160927	Yes	
row_57	CACNB3	18204	-7.960082257341128E-6	-0.045066018	Yes	
row_58	ITGB4	19244	-5.362297524698079E-4	-0.08033314	Yes	
row_59	ADCY1	19332	-6.725165294483304E-4	-0.07038107	Yes	
row_60	RYR2	19689	-0.0016790637746453285	-0.07320626	Yes	
row_61	ADCY3	19736	-0.0019723051227629185	-0.06130672	Yes	
row_62	TNF	20038	-0.005182967986911535	-0.061519463	Yes	
row_63	ITGA10	20267	-0.012150933966040611	-0.058264766	Yes	
row_64	DMD	20321	-0.014660736545920372	-0.046697713	Yes	
row_65	ITGA4	20337	-0.015666652470827103	-0.033325695	Yes	
row_66	ITGA9	20619	-0.0738011822104454	-0.032588456	Yes	
row_67	ITGA6	20924	-0.9250462651252747	-0.032943696	Yes	
row_68	TPM2	20990	-2.199066400527954	-0.021946633	Yes	
row_69	ITGB8	21098	-11.526033401489258	-0.012944538	Yes	
row_70	ADRB1	21117	-28.013975143432617	2.849834E-4	Yes	
