NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC3	2088	7.09048705175519E-4	-0.07123588	Yes	
row_1	POLD1	2108	6.814340595155954E-4	-0.044359088	Yes	
row_2	LIG1	3093	4.6160275815054774E-5	-0.06324292	Yes	
row_3	PRIM2	3233	2.1981630197842605E-5	-0.042056564	Yes	
row_4	RNASEH2B	5188	1.6233232713602774E-7	-0.106938116	Yes	
row_5	POLD2	7744	4.462732405841052E-8	-0.20031929	Yes	
row_6	MCM3	8327	3.322113428794182E-8	-0.20014015	Yes	
row_7	POLE	8652	2.7727878659788985E-8	-0.18772656	Yes	
row_8	PRIM1	8771	2.593980141796237E-8	-0.16554438	Yes	
row_9	RPA4	8830	2.5093601863090953E-8	-0.14051698	Yes	
row_10	MCM4	8837	2.5021922311907474E-8	-0.11302373	Yes	
row_11	MCM5	8942	2.3297955564771655E-8	-0.09017766	Yes	
row_12	POLE2	9117	2.048944658383789E-8	-0.070651025	Yes	
row_13	SSBP1	9456	1.5129966612903445E-8	-0.058901317	Yes	
row_14	RPA3	9814	9.929877364811546E-9	-0.048052598	Yes	
row_15	PCNA	9865	9.210281426419442E-9	-0.022645837	Yes	
row_16	POLD4	9999	7.46760697722948E-9	-0.0011749628	Yes	
row_17	POLA1	10057	6.692071341518613E-9	0.023899857	Yes	
row_18	RPA2	10248	3.9874539226048E-9	0.04266777	Yes	
row_19	POLA2	10274	3.6499490096986165E-9	0.06926004	Yes	
row_20	POLE4	10460	8.00531085864975E-10	0.088265054	Yes	
row_21	RFC4	11047	-3.614483434777327E-10	0.08825452	Yes	
row_22	RFC5	11873	-1.1804664801218223E-8	0.076910526	Yes	
row_23	RPA1	12297	-1.8245488675461274E-8	0.0846295	Yes	
row_24	RFC2	12414	-2.0326172744944415E-8	0.10690652	Yes	
row_25	MCM6	12441	-2.0649141063699972E-8	0.13345137	Yes	
row_26	RNASEH2C	12571	-2.2768880114654166E-8	0.15511192	Yes	
row_27	MCM2	13391	-3.6875761111332395E-8	0.14405245	Yes	
row_28	POLD3	13814	-4.4920476227616746E-8	0.15181884	Yes	
row_29	FEN1	13824	-4.5173621288085997E-8	0.17916983	Yes	
row_30	RFC1	14981	-7.517940048273886E-8	0.15212971	Yes	
row_31	POLE3	14987	-7.546329072738445E-8	0.1796704	Yes	
row_32	RNASEH2A	15114	-8.041758547960853E-8	0.2014732	Yes	
row_33	DNA2	15313	-8.85533637529079E-8	0.21986176	Yes	
row_34	MCM7	18015	-1.3276888921609498E-6	0.11955722	No	
row_35	RNASEH1	18953	-2.4125489289872348E-4	0.10290214	No	
