NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	181	1.4699082374572754	0.0047343504	No	
row_1	COL3A1	188	1.383139967918396	0.017782634	No	
row_2	SDC2	332	0.34965547919273376	0.024322297	No	
row_3	TNXB	747	0.028820490464568138	0.017987238	No	
row_4	COL1A2	1460	0.0032645093742758036	-0.0025052626	No	
row_5	COL4A1	1646	0.002054107841104269	0.002039055	No	
row_6	COL4A2	2026	7.995677879080176E-4	-0.0026332168	No	
row_7	COL11A2	3170	3.166890746797435E-5	-0.043601748	No	
row_8	LAMA1	3665	7.72078522004449E-7	-0.053737465	No	
row_9	SV2C	3790	6.090200486141839E-7	-0.046295147	No	
row_10	THBS1	3881	5.26696851466113E-7	-0.03723755	No	
row_11	ITGB7	3933	4.90773970795999E-7	-0.026327133	No	
row_12	FN1	4089	4.030907518881577E-7	-0.02035757	No	
row_13	GP6	4191	3.6543755754792073E-7	-0.0118225645	No	
row_14	COL4A4	4391	2.9869030981899414E-7	-0.007943361	No	
row_15	ITGB5	4400	2.9598891160276253E-7	0.005009907	No	
row_16	CD36	4502	2.691580505143065E-7	0.013544912	No	
row_17	THBS3	4539	2.6157002253057726E-7	0.025167951	No	
row_18	ITGA7	4977	1.89113976034605E-7	0.017740205	No	
row_19	COL1A1	5083	1.7614951275390922E-7	0.026085177	No	
row_20	CHAD	5578	1.2777415747677878E-7	0.015949463	No	
row_21	ITGA11	5752	1.1620505802056869E-7	0.02106388	No	
row_22	VTN	6031	1.0038553455160582E-7	0.021189936	No	
row_23	VWF	6042	9.978415249634054E-8	0.034048185	No	
row_24	ITGA5	6330	8.574836840580247E-8	0.033746667	No	
row_25	ITGB1	6658	7.263658119427419E-8	0.031544823	No	
row_26	ITGB6	7886	4.132727937644631E-8	-0.013414398	No	
row_27	LAMB1	8661	2.764626749751642E-8	-0.03685241	No	
row_28	LAMC1	8675	2.7513937794765297E-8	-0.02413668	No	
row_29	LAMB2	9386	1.6283806303363235E-8	-0.044534165	No	
row_30	COL6A1	10247	4.037869594242238E-9	-0.07205788	No	
row_31	ITGAV	11785	-1.0670688332936606E-8	-0.13174464	No	
row_32	ITGA2B	11792	-1.0746568079866847E-8	-0.118696354	No	
row_33	SDC4	12966	-2.947504817996105E-8	-0.16109014	No	
row_34	DAG1	12972	-2.957444955598021E-8	-0.14799434	No	
row_35	CD44	13654	-4.1591057708956214E-8	-0.16701409	No	
row_36	AGRN	13823	-4.5145284843783884E-8	-0.16166213	No	
row_37	COL11A1	14026	-4.950164367301113E-8	-0.15792546	No	
row_38	COL2A1	14867	-7.142380553659677E-8	-0.184499	Yes	
row_39	COMP	15104	-8.019317476737342E-8	-0.1823776	Yes	
row_40	COL6A3	15160	-8.233423187675726E-8	-0.17165722	Yes	
row_41	HMMR	15389	-9.276976697947248E-8	-0.16915575	Yes	
row_42	LAMA2	15427	-9.450801030652656E-8	-0.15758023	Yes	
row_43	ITGA3	15629	-1.0503899261493643E-7	-0.15379603	Yes	
row_44	GP1BA	15704	-1.0889253587720304E-7	-0.14397831	Yes	
row_45	THBS4	15760	-1.123726249829815E-7	-0.13325793	Yes	
row_46	LAMC3	15868	-1.1969193280947366E-7	-0.12500797	Yes	
row_47	ITGA1	15995	-1.2669266880038776E-7	-0.117660664	Yes	
row_48	SDC3	16898	-2.3234034074448573E-7	-0.14717972	Yes	
row_49	ITGB3	16982	-2.517907091714733E-7	-0.13778958	Yes	
row_50	ITGA2	17152	-2.884187892959744E-7	-0.13248512	Yes	
row_51	LAMA4	17267	-3.260708183461247E-7	-0.124567725	Yes	
row_52	LAMA3	17306	-3.404696542474994E-7	-0.1130397	Yes	
row_53	COL5A3	17513	-4.2909005060209893E-7	-0.109493054	Yes	
row_54	HSPG2	17575	-4.6292970523609256E-7	-0.09905772	Yes	
row_55	LAMC2	17650	-5.145548129803501E-7	-0.08923999	Yes	
row_56	COL5A2	17674	-5.320029003996751E-7	-0.07699935	Yes	
row_57	TNC	17794	-6.409042043742375E-7	-0.06931949	Yes	
row_58	SPP1	17933	-8.937113875617797E-7	-0.06254229	Yes	
row_59	SV2A	18775	-1.399182074237615E-4	-0.08916334	Yes	
row_60	LAMA5	19115	-3.74138995539397E-4	-0.09193529	Yes	
row_61	ITGB4	19244	-5.362297524698079E-4	-0.084683	Yes	
row_62	LAMB4	20091	-0.006319883745163679	-0.1115416	Yes	
row_63	ITGA10	20267	-0.012150933966040611	-0.1065222	Yes	
row_64	ITGA4	20337	-0.015666652470827103	-0.096466936	Yes	
row_65	COL4A6	20351	-0.016957474872469902	-0.08375121	Yes	
row_66	SDC1	20539	-0.044130392372608185	-0.07930191	Yes	
row_67	ITGA9	20619	-0.0738011822104454	-0.06972172	Yes	
row_68	LAMB3	20669	-0.09683971107006073	-0.058716286	Yes	
row_69	CD47	20694	-0.11116021126508713	-0.04652315	Yes	
row_70	COL6A2	20848	-0.40840694308280945	-0.04045857	Yes	
row_71	ITGA6	20924	-0.9250462651252747	-0.030688351	Yes	
row_72	RELN	20949	-1.2870659828186035	-0.018495215	Yes	
row_73	ITGB8	21098	-11.526033401489258	-0.012193094	Yes	
row_74	THBS2	21104	-13.051862716674805	9.02699E-4	Yes	
