NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICOSLG	54	6.4997711181640625	0.028689787	Yes	
row_1	HLA-DOA	190	1.3706930875778198	0.053539257	Yes	
row_2	HLA-DMA	534	0.08243030309677124	0.06852717	Yes	
row_3	HLA-DMB	754	0.028177792206406593	0.089394085	Yes	
row_4	PIGR	1791	0.001460906001739204	0.07152593	Yes	
row_5	TNFSF13	1799	0.0014344779774546623	0.10244405	Yes	
row_6	HLA-DRB5	2253	5.016173818148673E-4	0.11221672	Yes	
row_7	CXCR4	2305	4.535606421995908E-4	0.14104874	Yes	
row_8	ITGB7	3933	4.90773970795999E-7	0.09516049	Yes	
row_9	HLA-DOB	4234	3.507132078084396E-7	0.11218709	Yes	
row_10	MAP3K14	4515	2.6505577466195973E-7	0.13016191	Yes	
row_11	IL6	4727	2.2758575823900173E-7	0.15140812	Yes	
row_12	TNFSF13B	4981	1.8815937607996602E-7	0.17066304	Yes	
row_13	CCL28	5809	1.1270787325656784E-7	0.16270387	Yes	
row_14	HLA-DRA	5848	1.1029769808601486E-7	0.19215225	Yes	
row_15	IL15	6673	7.218586972612684E-8	0.18433529	Yes	
row_16	IL15RA	6732	7.034711302367214E-8	0.21283543	Yes	
row_17	HLA-DPA1	6905	6.535373842098124E-8	0.23593068	Yes	
row_18	HLA-DQB1	8615	2.8373165150696877E-8	0.18615471	No	
row_19	MADCAM1	9825	9.780817045168533E-9	0.1600844	No	
row_20	LTBR	11247	-2.90440116401669E-9	0.12396288	No	
row_21	HLA-DQA1	14278	-5.469143005143451E-8	0.011556521	No	
row_22	TGFB1	15996	-1.2670571436501632E-7	-0.03859875	No	
row_23	HLA-DRB1	16540	-1.8152390168779675E-7	-0.03309311	No	
row_24	CCR10	16967	-2.485694210463407E-7	-0.02204034	No	
row_25	CD40	17336	-3.5161212963430444E-7	-0.008237713	No	
row_26	CXCL12	17339	-3.52932801206407E-7	0.022917464	No	
row_27	CCL27	17902	-7.948389111334109E-7	0.027522292	No	
row_28	HLA-DPB1	18202	-7.884866136009805E-6	0.0445963	No	
row_29	TNFRSF13C	18773	-1.3978153583593667E-4	0.048821837	No	
row_30	CD86	20250	-0.011578673496842384	0.010092698	No	
row_31	ITGA4	20337	-0.015666652470827103	0.037265323	No	
