NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTF3	328	0.3630513846874237	-0.0074882233	No	
row_1	BAX	1039	0.010788625106215477	-0.033166055	No	
row_2	ZNF274	1216	0.005918658338487148	-0.03341653	No	
row_3	NTF4	1287	0.004855537787079811	-0.028619623	No	
row_4	MAPK14	1801	0.0014117013197392225	-0.04491695	No	
row_5	AKT2	1808	0.001383477938361466	-0.03707257	No	
row_6	CALM3	1928	0.0010345412883907557	-0.034608886	No	
row_7	NFKBIE	2137	6.355852237902582E-4	-0.036383096	No	
row_8	MAPK7	2373	3.89418302802369E-4	-0.039442956	No	
row_9	RAP1A	2387	3.712117613758892E-4	-0.031931896	No	
row_10	PIK3R1	2887	9.180308552458882E-5	-0.047562588	No	
row_11	BAD	3056	5.135607352713123E-5	-0.047432125	No	
row_12	GRB2	3268	1.6717436665203422E-5	-0.049349185	No	
row_13	NFKBIB	3279	1.5100904420251027E-5	-0.04169527	No	
row_14	PIK3CG	3375	8.020469977054745E-6	-0.038088784	No	
row_15	BDNF	4126	3.8932370216571144E-7	-0.06567129	No	
row_16	RPS6KA6	4145	3.80673554900568E-7	-0.05839831	No	
row_17	MAPK13	4521	2.64472504341029E-7	-0.068124525	No	
row_18	SHC2	5044	1.8056809381050698E-7	-0.0848504	No	
row_19	JUN	6127	9.562796066120427E-8	-0.12824167	Yes	
row_20	MAP3K1	6206	9.152821434099678E-8	-0.12382571	Yes	
row_21	YWHAE	6307	8.666419404335102E-8	-0.1204573	Yes	
row_22	BEX3	6339	8.536428452998734E-8	-0.11380334	Yes	
row_23	YWHAZ	6380	8.372867910111381E-8	-0.10757793	Yes	
row_24	TP53	6455	8.094109915646186E-8	-0.102971494	Yes	
row_25	NRAS	6775	6.902292426502754E-8	-0.110031165	Yes	
row_26	IRS2	6783	6.872715374584004E-8	-0.1022344	Yes	
row_27	SHC1	6831	6.700665267089789E-8	-0.09634231	Yes	
row_28	MAPK8	6900	6.55320064879561E-8	-0.09145017	Yes	
row_29	SORT1	7008	6.22660962790178E-8	-0.08841508	Yes	
row_30	IRAK4	7125	5.937330271876817E-8	-0.085808545	Yes	
row_31	PTPN11	7129	5.932073321446296E-8	-0.077821314	Yes	
row_32	RAP1B	7353	5.42129434677463E-8	-0.08030978	Yes	
row_33	PIK3R3	7357	5.4127003323856115E-8	-0.07232255	Yes	
row_34	AKT3	7377	5.351081711069128E-8	-0.06509718	Yes	
row_35	MAPKAPK2	7638	4.7027462812820886E-8	-0.06934747	Yes	
row_36	IKBKB	7714	4.5505704093784516E-8	-0.06478865	Yes	
row_37	CRK	7786	4.355496585617402E-8	-0.060039356	Yes	
row_38	PRDM4	8033	3.866800213359056E-8	-0.063623	Yes	
row_39	CAMK2G	8095	3.7689705578713983E-8	-0.058397546	Yes	
row_40	FOXO3	8122	3.6938850200840534E-8	-0.0515055	Yes	
row_41	BRAF	8144	3.653433822137231E-8	-0.04437537	Yes	
row_42	PIK3R2	8321	3.336840137535546E-8	-0.044625845	Yes	
row_43	KRAS	8395	3.20345208137951E-8	-0.039971787	Yes	
row_44	FRS2	8415	3.172518603378194E-8	-0.032746427	Yes	
row_45	PLCG2	8681	2.73672000616898E-8	-0.03723479	Yes	
row_46	PDPK1	8754	2.6167400690724207E-8	-0.03253312	Yes	
row_47	RHOA	9337	1.6992688145478496E-8	-0.052116003	Yes	
row_48	MAPK9	9676	1.1577108161020533E-8	-0.060080394	Yes	
row_49	CDC42	10144	5.443527850701457E-9	-0.07418735	Yes	
row_50	RAC1	10330	2.763528073046473E-9	-0.07486638	Yes	
row_51	SH2B3	10449	9.408828161028282E-10	-0.07235508	Yes	
row_52	RPS6KA3	10471	6.696473930922764E-10	-0.065224946	Yes	
row_53	MAP2K5	10497	5.411783798869862E-10	-0.058285285	Yes	
row_54	MAP2K2	11128	-9.197086425771772E-10	-0.08015377	Yes	
row_55	MAPK3	11418	-5.457294616206809E-9	-0.08578494	Yes	
row_56	PSEN1	11496	-6.714346856284692E-9	-0.08132135	Yes	
row_57	RIPK2	11575	-7.868812268441161E-9	-0.076905385	Yes	
row_58	AKT1	11845	-1.1436265268116586E-8	-0.081584215	Yes	
row_59	PIK3CB	11913	-1.2532063387027392E-8	-0.07664446	Yes	
row_60	IRAK1	12215	-1.7086783543618367E-8	-0.08284703	Yes	
row_61	MAP2K1	12232	-1.736536248131415E-8	-0.075478815	Yes	
row_62	ARHGDIA	12317	-1.855341302814395E-8	-0.07134854	Yes	
row_63	SOS2	12378	-1.978043862038703E-8	-0.06607547	Yes	
row_64	MAGED1	12581	-2.288884992651674E-8	-0.06756398	Yes	
row_65	RPS6KA4	12635	-2.383885799872587E-8	-0.061957587	Yes	
row_66	CALM2	12693	-2.4892608863069654E-8	-0.056541663	Yes	
row_67	SHC3	12769	-2.6327878543952465E-8	-0.05198284	Yes	
row_68	YWHAB	12867	-2.777690966127011E-8	-0.048471585	Yes	
row_69	NGF	12942	-2.8955053466006575E-8	-0.043865148	Yes	
row_70	PRKCD	13587	-4.048933632816443E-8	-0.066400275	Yes	
row_71	ABL1	13686	-4.209266180055238E-8	-0.062936634	Yes	
row_72	SH2B1	13815	-4.492268601552496E-8	-0.060901504	Yes	
row_73	MAP2K7	13858	-4.596358849084936E-8	-0.054771326	Yes	
row_74	IRS1	13923	-4.7372221700925365E-8	-0.04968872	Yes	
row_75	MAPK11	13952	-4.8002853247908206E-8	-0.04289191	Yes	
row_76	RPS6KA1	14406	-5.798214530727819E-8	-0.05633223	Yes	
row_77	MAPK1	14526	-6.115720907473587E-8	-0.053868547	Yes	
row_78	MAPK12	14534	-6.138838415381542E-8	-0.046071783	Yes	
row_79	RAPGEF1	14582	-6.27025542598858E-8	-0.04017969	Yes	
row_80	TRAF6	15123	-8.065202905527258E-8	-0.05776267	Yes	
row_81	MAP3K5	15434	-9.47425036201821E-8	-0.06439379	Yes	
row_82	GAB1	15834	-1.1739326311044351E-7	-0.07526281	Yes	
row_83	MAPK10	16308	-1.5539657738372625E-7	-0.08965546	Yes	
row_84	RAF1	16362	-1.6039987826843571E-7	-0.08404907	Yes	
row_85	GSK3B	16451	-1.7016661502111674E-7	-0.08010927	Yes	
row_86	ARHGDIB	16746	-2.075954625979648E-7	-0.085978515	Yes	
row_87	RPS6KA2	16825	-2.204840399144814E-7	-0.08156255	Yes	
row_88	PIK3CD	17002	-2.5442551532250945E-7	-0.08181302	Yes	
row_89	NTRK1	17035	-2.605423219392833E-7	-0.075206675	Yes	
row_90	SH2B2	17329	-3.50284466321682E-7	-0.08102831	Yes	
row_91	CALML5	17652	-5.151881623532972E-7	-0.08823083	Yes	
row_92	IRS4	17800	-6.48680384074396E-7	-0.08710042	Yes	
row_93	CALML3	17909	-8.080168072410743E-7	-0.08411295	Yes	
row_94	CAMK2D	18080	-2.4381233743042685E-6	-0.08407772	Yes	
row_95	MAP3K3	18150	-5.2996470003563445E-6	-0.0792332	Yes	
row_96	YWHAG	18170	-6.22861853116774E-6	-0.072007835	Yes	
