NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAN1A2	2162	6.050860974937677E-4	-0.08083227	Yes	
row_1	ALG14	2609	2.050499606411904E-4	-0.08025264	Yes	
row_2	MAN1C1	2719	1.5829145559109747E-4	-0.06368478	Yes	
row_3	DPM3	3197	2.7570560632739216E-5	-0.06457588	Yes	
row_4	ALG8	3578	1.0111098163179122E-6	-0.060865022	Yes	
row_5	ALG5	3782	6.149688260848052E-7	-0.048756786	Yes	
row_6	MGAT4A	3970	4.671759654684138E-7	-0.035889465	Yes	
row_7	MGAT5B	4053	4.1989781607298937E-7	-0.018040646	Yes	
row_8	ALG1	5979	1.0302746744628166E-7	-0.08762897	Yes	
row_9	DPM1	6113	9.63333022241386E-8	-0.07219973	Yes	
row_10	MGAT2	6292	8.763853287518941E-8	-0.058905423	Yes	
row_11	ALG10	6794	6.844411615247736E-8	-0.06093515	Yes	
row_12	MAN2A2	7015	6.212339087596774E-8	-0.049633443	Yes	
row_13	DAD1	7089	6.010461817140822E-8	-0.03135764	Yes	
row_14	ALG11	8114	3.706441376039038E-8	-0.058199964	Yes	
row_15	ALG12	8140	3.6586126128668184E-8	-0.037646905	Yes	
row_16	MAN2A1	8674	2.7514202471934368E-8	-0.041194804	Yes	
row_17	ALG9	8694	2.7125050650056437E-8	-0.020357087	Yes	
row_18	STT3B	8755	2.614414462698278E-8	-0.0014645258	Yes	
row_19	B4GALT1	8920	2.353950812050698E-8	0.012493981	Yes	
row_20	MGAT1	9053	2.14646878049507E-8	0.027970659	Yes	
row_21	ALG13	9158	1.9873610312970413E-8	0.044775736	Yes	
row_22	ALG3	9168	1.9748942037267625E-8	0.06608788	Yes	
row_23	DDOST	9353	1.6692951021468616E-8	0.07909753	Yes	
row_24	DPM2	9439	1.5502566341751844E-8	0.09680402	Yes	
row_25	DPAGT1	9515	1.426897622280876E-8	0.11498494	Yes	
row_26	GANAB	11034	-2.5293753203037284E-10	0.06470585	Yes	
row_27	MAN1B1	11042	-3.0848296139751596E-10	0.08611289	Yes	
row_28	STT3A	11307	-3.862561825940247E-9	0.09532711	Yes	
row_29	MAN1A1	11312	-3.951469818019859E-9	0.11687647	Yes	
row_30	MOGS	11343	-4.369258288505762E-9	0.13719231	Yes	
row_31	RFT1	11417	-5.4214290834408985E-9	0.15546812	Yes	
row_32	RPN2	11616	-8.354220426554093E-9	0.16781357	Yes	
row_33	ALG6	11617	-8.37194225056237E-9	0.1895527	Yes	
row_34	DOLPP1	12518	-2.2001799493409635E-8	0.16859329	Yes	
row_35	ALG2	12904	-2.829067113907513E-8	0.17206693	Yes	
row_36	ALG10B	13020	-3.048085162049574E-8	0.18835013	Yes	
row_37	MGAT4B	13304	-3.546413651633884E-8	0.19666293	Yes	
row_38	B4GALT3	13399	-3.7002234165584014E-8	0.21394244	Yes	
row_39	RPN1	14118	-5.102964806269483E-8	0.20161761	No	
row_40	MGAT3	15139	-8.13314642300611E-8	0.17496507	No	
row_41	ST6GAL1	15155	-8.21232362113733E-8	0.19599256	No	
row_42	TUSC3	15256	-8.649625726775412E-8	0.2129874	No	
row_43	MGAT5	16194	-1.4478951015917119E-7	0.1902726	No	
row_44	B4GALT2	19035	-3.036607813555747E-4	0.07727409	No	
row_45	FUT8	19832	-0.0026655711699277163	0.061248727	No	
