NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRP19	2806	1.1793110752478242E-4	-0.091319114	Yes	
row_1	SEC61A2	2970	7.060731877572834E-5	-0.057377566	Yes	
row_2	SRPRB	3903	5.091244474897394E-7	-0.059881512	Yes	
row_3	SPCS1	7193	5.782870715620447E-8	-0.17409162	Yes	
row_4	SEC62	7347	5.4359183820906765E-8	-0.13967614	Yes	
row_5	SEC61A1	7734	4.500731165535399E-8	-0.11630331	Yes	
row_6	SRP54	8132	3.6768664557484954E-8	-0.09345181	Yes	
row_7	SRP9	8422	3.155295402734737E-8	-0.06548183	Yes	
row_8	OXA1L	8644	2.7852964379349032E-8	-0.034289088	Yes	
row_9	SPCS2	9054	2.1462239985226006E-8	-0.012006308	Yes	
row_10	IMMP1L	9550	1.3759496653165115E-8	0.006200644	Yes	
row_11	IMMP2L	9969	7.892791309416225E-9	0.028056886	Yes	
row_12	SRP14	10074	6.481951420056475E-9	0.064794645	Yes	
row_13	SEC61B	10474	6.259596174729154E-10	0.087551355	Yes	
row_14	SRP9P1	10527	3.685139693399009E-10	0.12675357	Yes	
row_15	SRPRA	10528	3.600643949663862E-10	0.16842024	Yes	
row_16	SEC63	11543	-7.434600934885793E-9	0.16203004	Yes	
row_17	SRP72	12129	-1.570238872261598E-8	0.17597158	Yes	
row_18	SRP68	12415	-2.0331736294565417E-8	0.20413114	Yes	
row_19	SEC11C	12739	-2.5909823619940653E-8	0.23048976	Yes	
row_20	HSPA5	13175	-3.319253494282748E-8	0.2515403	Yes	
row_21	SEC61G	13606	-4.078557225284385E-8	0.27282783	Yes	
row_22	SEC11A	13912	-4.717696810985217E-8	0.30003953	Yes	
row_23	SPCS3	19660	-0.0015803701244294643	0.06933652	No	
