NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKR1B1	490	0.11421997845172882	0.0061780047	Yes	
row_1	ME1	1336	0.0043086581863462925	-0.0044766124	Yes	
row_2	ACYP2	2020	8.175722323358059E-4	-0.0074498644	Yes	
row_3	ALDH9A1	2133	6.45350432023406E-4	0.016651327	Yes	
row_4	GLO1	2176	5.882602417841554E-4	0.044071626	Yes	
row_5	HAGHL	2478	2.9135297518223524E-4	0.059211224	Yes	
row_6	ME3	2632	1.930551661644131E-4	0.081368364	Yes	
row_7	DLD	2985	6.709637818858027E-5	0.094089754	Yes	
row_8	ACAT2	3005	6.42004088149406E-5	0.12260062	Yes	
row_9	PDHB	3273	1.6235946532106027E-5	0.13935235	Yes	
row_10	LDHB	3545	1.2757759577652905E-6	0.15591443	Yes	
row_11	PDHA1	3560	1.1013097491741064E-6	0.18466237	Yes	
row_12	LDHD	4107	3.956937746352196E-7	0.1881851	Yes	
row_13	LDHAL6B	4173	3.7047959722258383E-7	0.21451482	Yes	
row_14	ALDH1B1	5354	1.453314268928807E-7	0.1879759	Yes	
row_15	PCK2	6036	9.990419869154721E-8	0.18509749	Yes	
row_16	HAGH	6286	8.785784899600912E-8	0.2027027	Yes	
row_17	ACAT1	6882	6.579661970818051E-8	0.20390205	Yes	
row_18	ACSS2	7109	5.972434991008413E-8	0.22259784	Yes	
row_19	PKM	8153	3.630625045047964E-8	0.20255488	Yes	
row_20	GRHPR	8381	3.21687387838665E-8	0.22120325	Yes	
row_21	MDH1	8481	3.05161016456168E-8	0.24592085	Yes	
row_22	ALDH3A2	10265	3.758728439606784E-9	0.19079018	No	
row_23	ACACB	10342	2.488445227655234E-9	0.21659833	No	
row_24	LDHAL6A	10751	0.0	0.22666444	No	
row_25	MDH2	11489	-6.510473049559096E-9	0.22113073	No	
row_26	ME2	12119	-1.5575723821825704E-8	0.22071794	No	
row_27	ACYP1	12963	-2.935740717191493E-8	0.21015815	No	
row_28	DLAT	13096	-3.1751703488680505E-8	0.23331103	No	
row_29	PC	15105	-8.02107749109382E-8	0.16751179	No	
row_30	LDHA	16581	-1.8539203949785588E-7	0.12698519	No	
row_31	ALDH2	17778	-6.173410156407044E-7	0.09968761	No	
row_32	ACSS1	20864	-0.4602689743041992	-0.017178476	No	
row_33	ALDH7A1	21086	-8.558453559875488	0.0017543897	No	
