NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS4Y1	8	25.903690338134766	0.011247642	Yes	
row_1	RPS27L	627	0.05019425228238106	-0.0064998656	Yes	
row_2	RPL22L1	1183	0.006474528927356005	-0.021252792	Yes	
row_3	RPS11	1579	0.002401492092758417	-0.028400434	Yes	
row_4	RPL13A	1666	0.001968954922631383	-0.020860368	Yes	
row_5	RPS19	1823	0.0013360847951844335	-0.016647615	Yes	
row_6	RPL28	1873	0.0011669101659208536	-0.0073488266	Yes	
row_7	RPS10	1932	0.0010275815147906542	0.0015221643	Yes	
row_8	RPL21	2036	7.78026005718857E-4	0.008254169	Yes	
row_9	RPL36AL	2697	1.6585641424171627E-4	-0.011489727	Yes	
row_10	RPS9	2861	1.0007318633142859E-4	-0.0076097045	Yes	
row_11	RPL18	2903	8.749154949327931E-5	0.0020693478	Yes	
row_12	RPS16	3711	7.106430643943895E-7	-0.024661904	Yes	
row_13	RPSA	3900	5.102718887428637E-7	-0.021970207	Yes	
row_14	RPL3L	4486	2.724478918025852E-7	-0.038149126	Yes	
row_15	RPS18	5162	1.6599911134562717E-7	-0.058606017	Yes	
row_16	RPLP0	5574	1.2787349135123804E-7	-0.06651419	Yes	
row_17	RPS5	5680	1.2054314879605954E-7	-0.05987725	Yes	
row_18	RPLP1	5710	1.1855905768243247E-7	-0.0496278	Yes	
row_19	RPS26	5811	1.126555417840791E-7	-0.042753197	Yes	
row_20	RPL13	5941	1.0523704219167485E-7	-0.03725705	Yes	
row_21	RPL17	6132	9.543011714185923E-8	-0.03466042	Yes	
row_22	RPL26	6427	8.17745089420896E-8	-0.037007228	Yes	
row_23	RPS2	6466	8.026591302723318E-8	-0.027185574	Yes	
row_24	RPS15A	6841	6.680934916403203E-8	-0.033335023	Yes	
row_25	RPL6	6909	6.527407947487518E-8	-0.02489183	Yes	
row_26	RPL4	6929	6.445781508546133E-8	-0.014167049	Yes	
row_27	RPL23	7069	6.067332947168325E-8	-0.009146234	Yes	
row_28	RPL10A	7225	5.7166818834275546E-8	-0.0048859473	Yes	
row_29	RPL15	7255	5.611917686110246E-8	0.0053635016	Yes	
row_30	RPS6	7288	5.557967597269453E-8	0.015470351	Yes	
row_31	RPS20	7411	5.254551282973807E-8	0.021299228	Yes	
row_32	RPL12	7433	5.197282249014279E-8	0.03192894	Yes	
row_33	RPS28	7483	5.058673480107245E-8	0.041227728	Yes	
row_34	RPS3	7504	4.9951236036349655E-8	0.051904976	Yes	
row_35	RPL36	7588	4.8058090840186196E-8	0.059587643	Yes	
row_36	RPL3	7768	4.40568861392876E-8	0.06270713	Yes	
row_37	RPL29	7784	4.360659389135435E-8	0.07362205	Yes	
row_38	RPL37	8199	3.547506821632851E-8	0.06557128	Yes	
row_39	MRPL13	8240	3.477201460100332E-8	0.07529786	Yes	
row_40	RPS27	8315	3.3486710293573196E-8	0.083408326	Yes	
row_41	RPL22	8427	3.150372052118655E-8	0.089760065	Yes	
row_42	RPL24	8503	3.0226658509491244E-8	0.097822994	Yes	
row_43	RPL14	8567	2.918372210558573E-8	0.10645632	Yes	
row_44	RPS27A	8588	2.8822361386460216E-8	0.117133565	Yes	
row_45	RPL27	8607	2.8532101126188536E-8	0.12790588	Yes	
row_46	RPS29	8672	2.752527272775751E-8	0.13649167	Yes	
row_47	RPL8	8726	2.656916464616188E-8	0.14560033	Yes	
row_48	RPS23	8742	2.634735096762597E-8	0.15651524	Yes	
row_49	RPL19	8763	2.6013863063667486E-8	0.16719249	Yes	
row_50	RPL30	8777	2.58868730895756E-8	0.17820247	Yes	
row_51	RPS12	8878	2.420980038664311E-8	0.18507707	Yes	
row_52	RPL38	9009	2.211949023944726E-8	0.19052568	Yes	
row_53	RPL41	9232	1.8645188504251564E-8	0.19160125	Yes	
row_54	RPL7	9277	1.7877454183690134E-8	0.2011377	Yes	
row_55	RPS13	9362	1.657176795788473E-8	0.20877284	Yes	
row_56	RPS15	9723	1.0982304843309976E-8	0.20328885	Yes	
row_57	RPS3A	9724	1.0974256170470653E-8	0.21491677	Yes	
row_58	RPL35A	9926	8.498675541090961E-9	0.21699053	Yes	
row_59	RPS4X	9937	8.361244141497082E-9	0.2281431	Yes	
row_60	RPL18A	9956	8.099048542931087E-9	0.23891541	Yes	
row_61	RPL9	10017	7.168966309478719E-9	0.24769133	Yes	
row_62	RPL11	10197	4.624680638443124E-9	0.25081083	Yes	
row_63	RPL10	11093	-6.111989248047678E-10	0.21989667	Yes	
row_64	RPL37A	11209	-2.2894848239474186E-9	0.22605829	Yes	
row_65	RPS24	11251	-3.0552840257769276E-9	0.23573734	Yes	
row_66	RPL39	11271	-3.27029048285965E-9	0.24646212	Yes	
row_67	RPL31	11329	-4.1747885148879504E-9	0.25538063	Yes	
row_68	RPL27A	11733	-9.864903560696803E-9	0.24785273	Yes	
row_69	RPS25	12015	-1.4054998942469865E-8	0.24612385	Yes	
row_70	RPL35	12105	-1.5419161059071484E-8	0.25352132	Yes	
row_71	FAU	12183	-1.6510679046177756E-8	0.26148918	Yes	
row_72	UBA52	12252	-1.756857237467102E-8	0.26988485	Yes	
row_73	RPL34	12259	-1.768245283528813E-8	0.28122756	Yes	
row_74	RSL24D1	12842	-2.7390559154127914E-8	0.26519123	Yes	
row_75	RPL7A	12943	-2.8990973177656088E-8	0.27206585	Yes	
row_76	RPLP2	13143	-3.24758886449672E-8	0.27423468	Yes	
row_77	RPL23A	13210	-3.373377310822434E-8	0.2827254	Yes	
row_78	RPL26L1	13335	-3.589167363315937E-8	0.2884592	Yes	
row_79	RPS7	13404	-3.705402562559357E-8	0.29685488	Yes	
row_80	RPL36A	13585	-4.0485694796643656E-8	0.29992685	Yes	
row_81	RPL5	13708	-4.257054442291519E-8	0.3057557	Yes	
row_82	RPS8	13961	-4.811257880987796E-8	0.3054053	No	
row_83	RPS21	14531	-6.136277619361863E-8	0.2899869	No	
row_84	RPS17	14613	-6.366983029693074E-8	0.29776463	No	
row_85	RPL32	15465	-9.57807770873842E-8	0.26894194	No	
