NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEU1	237	0.8667665719985962	0.01817421	Yes	
row_1	SPTLC2	1347	0.004206392448395491	-0.0049981866	Yes	
row_2	SGPP2	2460	3.113267885055393E-4	-0.028312832	Yes	
row_3	PLPP3	2488	2.850492892321199E-4	-1.8129541E-4	Yes	
row_4	PLPP1	2662	1.8280319636687636E-4	0.02102753	Yes	
row_5	ARSA	3008	6.300949462456629E-5	0.03408083	Yes	
row_6	SPHK2	3164	3.263696999056265E-5	0.056143142	Yes	
row_7	SMPD3	3798	5.952874744252767E-7	0.05554068	Yes	
row_8	GALC	4870	2.0446516657557368E-7	0.034170084	Yes	
row_9	SGPL1	5547	1.2952652639341977E-7	0.031528745	Yes	
row_10	UGCG	5638	1.2332043297647033E-7	0.056673083	Yes	
row_11	ASAH1	6055	9.90410882195647E-8	0.06635986	Yes	
row_12	SMPD1	6103	9.666985789635874E-8	0.09354308	Yes	
row_13	NEU3	6343	8.528004968866298E-8	0.11162246	Yes	
row_14	SGPP1	6404	8.273236318245836E-8	0.13818927	Yes	
row_15	DEGS2	6799	6.815453446051833E-8	0.1489192	Yes	
row_16	UGT8	7189	5.788950119267611E-8	0.15988621	Yes	
row_17	GLB1	7505	4.9922949330039046E-8	0.17436197	Yes	
row_18	SMPD4	8006	3.917152824328696E-8	0.18006583	Yes	
row_19	ASAH2	8147	3.6428762228979394E-8	0.20283937	Yes	
row_20	ACER2	8491	3.0400453709944486E-8	0.2159875	Yes	
row_21	B4GALT6	8868	2.4385007790783675E-8	0.22757092	Yes	
row_22	SGMS1	8947	2.3258472481302306E-8	0.25328425	Yes	
row_23	ACER3	9915	8.63678639717591E-9	0.2368449	No	
row_24	GLA	11840	-1.1367608188095346E-8	0.17502859	No	
row_25	SMPD2	13671	-4.182763291282754E-8	0.117669374	No	
row_26	DEGS1	14187	-5.251131085515226E-8	0.122661985	No	
row_27	KDSR	14189	-5.254170076796072E-8	0.15202633	No	
row_28	CERK	15384	-9.230619468780787E-8	0.124823585	No	
row_29	GAL3ST1	16108	-1.3692013567379036E-7	0.1199537	No	
row_30	SPTLC1	17739	-5.812113954561937E-7	0.072077654	No	
row_31	SGMS2	18967	-2.5185837876051664E-4	0.043310188	No	
row_32	PLPP2	20242	-0.011252562515437603	0.012314175	No	
row_33	SPHK1	20316	-0.01428491435945034	0.038264584	No	
