NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LSM2	527	0.08809507638216019	-0.017030722	No	
row_1	U2AF2	778	0.025906872004270554	-0.020870969	No	
row_2	PPIL1	1660	0.0019890593830496073	-0.05475883	No	
row_3	SNRPC	2404	3.52093338733539E-4	-0.08207527	No	
row_4	SNRPE	2470	2.9612748767249286E-4	-0.07710599	No	
row_5	PRPF31	2552	2.3326670634560287E-4	-0.07289862	No	
row_6	SNRNP70	2679	1.7503478738944978E-4	-0.0708341	No	
row_7	SRSF10	2776	1.2973934644833207E-4	-0.067341015	No	
row_8	DHX16	3031	5.783136293757707E-5	-0.071371734	No	
row_9	SNRPD2	3083	4.7563196858391166E-5	-0.065735795	No	
row_10	LSM3	3167	3.187879337929189E-5	-0.061623655	No	
row_11	SF3B1	3196	2.7677553589455783E-5	-0.054892473	No	
row_12	BCAS2	3423	4.966598226019414E-6	-0.057589862	No	
row_13	PRPF40B	6397	8.311381805015117E-8	-0.19109677	No	
row_14	CDC5L	6956	6.355577397698653E-8	-0.20960368	No	
row_15	PRPF18	7304	5.5302319168504255E-8	-0.21806298	No	
row_16	MAGOHB	7372	5.3560288648668575E-8	-0.21318895	No	
row_17	SRSF9	7554	4.8714049682985205E-8	-0.21374348	No	
row_18	SNU13	8048	3.8416505532268275E-8	-0.22915515	No	
row_19	NCBP2	8233	3.482793786702132E-8	-0.22985254	Yes	
row_20	LSM5	8251	3.458311326198782E-8	-0.22259754	Yes	
row_21	PQBP1	8272	3.419967242734856E-8	-0.21548541	Yes	
row_22	SNRPA1	8290	3.3847314284685126E-8	-0.20823042	Yes	
row_23	HSPA1B	8392	3.2049754850049794E-8	-0.20497543	Yes	
row_24	U2SURP	8563	2.924194753006759E-8	-0.20500615	Yes	
row_25	DDX42	8685	2.7285025794299145E-8	-0.20270354	Yes	
row_26	RBM17	8693	2.7148805870069737E-8	-0.19497235	Yes	
row_27	DHX15	8769	2.595301396013383E-8	-0.19047926	Yes	
row_28	PRPF40A	8794	2.567125712005236E-8	-0.1835576	Yes	
row_29	THOC1	8867	2.4413973065406935E-8	-0.17892165	Yes	
row_30	DDX39B	8885	2.4112427610134546E-8	-0.17166667	Yes	
row_31	SNRPF	9183	1.9530240535914345E-8	-0.17774501	Yes	
row_32	PRPF38B	9205	1.910179925346256E-8	-0.1706805	Yes	
row_33	DDX5	9454	1.5216757631719702E-8	-0.1744255	Yes	
row_34	CWC15	9534	1.3987648372904005E-8	-0.17012289	Yes	
row_35	CCDC12	9761	1.0497076985416243E-8	-0.17282028	Yes	
row_36	HNRNPC	9790	1.0166084862817115E-8	-0.1660891	Yes	
