NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT2	466	0.1336897909641266	0.0011506012	Yes	
row_1	ABAT	1128	0.0076629179529845715	-0.006948833	Yes	
row_2	MCCC1	1233	0.005652484949678183	0.011373629	Yes	
row_3	ACAA1	1521	0.0027519927825778723	0.021015288	Yes	
row_4	BCAT1	2075	7.262714789249003E-4	0.01803895	Yes	
row_5	ALDH9A1	2133	6.45350432023406E-4	0.038590908	Yes	
row_6	DBT	2393	3.6260869819670916E-4	0.049560778	Yes	
row_7	ACADM	2444	3.199084894731641E-4	0.070444785	Yes	
row_8	ECHS1	2561	2.2724163136444986E-4	0.08819801	Yes	
row_9	HIBADH	2913	8.554748637834564E-5	0.094803765	Yes	
row_10	ACADS	2926	8.004752453416586E-5	0.117490344	Yes	
row_11	DLD	2985	6.709637818858027E-5	0.13799487	Yes	
row_12	ACAT2	3005	6.42004088149406E-5	0.1603494	Yes	
row_13	EHHADH	4321	3.192063786627841E-7	0.121226765	Yes	
row_14	AOX1	4791	2.1672812522410823E-7	0.12223506	Yes	
row_15	ACADSB	5202	1.6044778305968066E-7	0.12604208	Yes	
row_16	ALDH1B1	5354	1.453314268928807E-7	0.14213505	Yes	
row_17	PCCB	5694	1.198428520865491E-7	0.14931004	Yes	
row_18	ALDH6A1	5991	1.0241785730613628E-7	0.15852477	Yes	
row_19	ACAA2	6075	9.803498812743783E-8	0.17784339	Yes	
row_20	MCCC2	6692	7.162025639217973E-8	0.17187858	Yes	
row_21	HMGCS1	6797	6.829236554040108E-8	0.19020103	Yes	
row_22	HSD17B10	6816	6.75905340585814E-8	0.212603	Yes	
row_23	ACAT1	6882	6.579661970818051E-8	0.23277546	Yes	
row_24	PCCA	7025	6.19066113927147E-8	0.24929535	Yes	
row_25	HIBCH	7258	5.60687105632951E-8	0.26154602	Yes	
row_26	ACAD8	9663	1.1815962430716809E-8	0.17076549	No	
row_27	BCKDHA	9686	1.1475207450928337E-8	0.19297771	No	
row_28	HADHB	10186	4.83593032285512E-9	0.19256292	No	
row_29	ALDH3A2	10265	3.758728439606784E-9	0.21211872	No	
row_30	HMGCS2	11458	-5.992498053331019E-9	0.17883073	No	
row_31	AUH	12302	-1.8336439921995407E-8	0.16209792	No	
row_32	BCKDHB	12471	-2.105832308529898E-8	0.17738448	No	
row_33	MCEE	12812	-2.6929100727102195E-8	0.18451202	No	
row_34	HMGCL	13420	-3.7313430567564865E-8	0.17897414	No	
row_35	HADHA	14318	-5.571714467578204E-8	0.15967979	No	
row_36	IVD	16277	-1.520232899565599E-7	0.09005576	No	
row_37	HADH	16282	-1.5248430429437576E-7	0.11312183	No	
row_38	OXCT1	16929	-2.3793181469500269E-7	0.10573394	No	
row_39	ALDH2	17778	-6.173410156407044E-7	0.08876396	No	
row_40	IL4I1	19802	-0.0024020299315452576	0.016056582	No	
row_41	OXCT2	20722	-0.13483335077762604	-0.0042813593	No	
row_42	ALDH7A1	21086	-8.558453559875488	0.0017551582	No	
