NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	107	0.2877123	3.5008678	0.0	0.0	0.0	11720	tags=84%, list=55%, signal=188%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	86	0.3057557	3.2939413	0.0	0.0	0.0	13708	tags=95%, list=65%, signal=270%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	105	0.2459512	2.8729267	0.0	0.0	0.0	13338	tags=88%, list=63%, signal=237%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	39	0.32154223	2.3848007	0.0	0.005827642	0.023	13260	tags=95%, list=63%, signal=254%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	17	0.47686717	2.3783917	0.0	0.005064703	0.025	7330	tags=82%, list=35%, signal=126%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	22	0.3895495	2.177756	0.003816794	0.024358444	0.136	9062	tags=82%, list=43%, signal=143%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	43	0.26154602	2.0714278	0.0041067763	0.038630933	0.24	7258	tags=60%, list=34%, signal=92%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	Details ...	30	0.29010782	1.8690875	0.025641026	0.115601175	0.601	7258	tags=63%, list=34%, signal=96%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Details ...	44	0.23795068	1.8563184	0.02357564	0.111424334	0.632	5545	tags=50%, list=26%, signal=68%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	156	0.1256506	1.8373017	0.009861933	0.112664886	0.676	13749	tags=78%, list=65%, signal=221%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	Details ...	29	0.28846514	1.8301897	0.013409962	0.10662723	0.688	13581	tags=93%, list=64%, signal=260%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	119	0.1386525	1.820362	0.012096774	0.10280595	0.709	9690	tags=60%, list=46%, signal=110%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	Details ...	24	0.30003953	1.771079	0.021231422	0.12275102	0.79	13912	tags=96%, list=66%, signal=280%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	109	0.14571242	1.7566007	0.014989293	0.122613706	0.816	2557	tags=27%, list=12%, signal=30%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Details ...	16	0.35568267	1.7368073	0.018442623	0.1274615	0.85	7014	tags=69%, list=33%, signal=103%	
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM	Details ...	34	0.25328425	1.7314533	0.023762377	0.12261183	0.858	8947	tags=68%, list=42%, signal=117%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS	Details ...	46	0.21394244	1.7304384	0.014553014	0.11580623	0.861	13399	tags=85%, list=63%, signal=231%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	Details ...	34	0.24592085	1.6955686	0.030241935	0.13021892	0.912	8481	tags=65%, list=40%, signal=108%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	26	0.27037564	1.6841279	0.019723866	0.12930015	0.921	7294	tags=62%, list=35%, signal=94%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Details ...	32	0.23593068	1.628929	0.027726432	0.16106649	0.963	6905	tags=56%, list=33%, signal=83%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR		44	0.19614458	1.544448	0.071283095	0.22525495	0.989	15548	tags=93%, list=74%, signal=352%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR		34	0.21585642	1.5073531	0.0708502	0.25242597	0.995	15328	tags=94%, list=73%, signal=342%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		38	0.20339513	1.5019845	0.06786427	0.2475708	0.995	7384	tags=55%, list=35%, signal=85%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		38	0.20115867	1.494408	0.073033705	0.24623264	0.995	2984	tags=34%, list=14%, signal=40%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR		23	0.2593304	1.4883975	0.07378641	0.24284631	0.996	13814	tags=91%, list=65%, signal=264%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		144	0.105719745	1.4861665	0.08266129	0.23563826	0.996	13624	tags=75%, list=64%, signal=210%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		23	0.25601095	1.4844973	0.075664625	0.22860159	0.996	7455	tags=61%, list=35%, signal=94%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		40	0.20077784	1.4791137	0.087649405	0.22547285	0.997	7384	tags=55%, list=35%, signal=84%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		29	0.22619675	1.4777881	0.08865979	0.2190893	0.997	6882	tags=55%, list=33%, signal=82%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		52	0.17544979	1.4621638	0.09690721	0.22647853	1.0	10520	tags=67%, list=50%, signal=134%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		40	0.19223583	1.4541141	0.08	0.22697061	1.0	12317	tags=78%, list=58%, signal=186%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		34	0.20894207	1.4338846	0.09406953	0.23960604	1.0	7397	tags=56%, list=35%, signal=86%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		37	0.20157677	1.4268095	0.1042471	0.23876806	1.0	12305	tags=78%, list=58%, signal=187%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		23	0.24684592	1.4235656	0.09677419	0.2350885	1.0	13159	tags=87%, list=62%, signal=230%	
KEGG_PEROXISOME	KEGG_PEROXISOME		72	0.13973866	1.4184445	0.098196395	0.23312597	1.0	13487	tags=78%, list=64%, signal=214%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		65	0.14875059	1.3872912	0.104743086	0.25585157	1.0	6616	tags=46%, list=31%, signal=67%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE		23	0.23855041	1.3780842	0.10655738	0.25856495	1.0	6905	tags=57%, list=33%, signal=84%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		33	0.19833969	1.3737706	0.105675146	0.25609595	1.0	7338	tags=55%, list=35%, signal=83%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS		30	0.2067002	1.3304505	0.14141414	0.2979133	1.0	6905	tags=53%, list=33%, signal=79%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		23	0.22697873	1.3268118	0.13836478	0.29448095	1.0	2557	tags=35%, list=12%, signal=40%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		41	0.16787308	1.2790486	0.17586912	0.34783125	1.0	8825	tags=59%, list=42%, signal=100%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		19	0.23552163	1.2427936	0.18604651	0.38751554	1.0	7258	tags=58%, list=34%, signal=88%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE		24	0.21498422	1.2205904	0.20717132	0.40963033	1.0	6905	tags=54%, list=33%, signal=80%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		72	0.12042403	1.2176365	0.21694215	0.40481862	1.0	3625	tags=29%, list=17%, signal=35%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE		17	0.24873263	1.2127444	0.20428015	0.40319157	1.0	15873	tags=100%, list=75%, signal=402%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION		19	0.2256462	1.2048373	0.232	0.4043263	1.0	9690	tags=68%, list=46%, signal=126%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS		33	0.17747195	1.1908096	0.25311205	0.41564676	1.0	7138	tags=52%, list=34%, signal=78%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION		63	0.12599006	1.1730367	0.2475442	0.43320158	1.0	13440	tags=76%, list=64%, signal=209%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		53	0.13352251	1.1618195	0.24444444	0.4413254	1.0	5954	tags=42%, list=28%, signal=58%	
KEGG_PHENYLALANINE_METABOLISM	KEGG_PHENYLALANINE_METABOLISM		15	0.24801746	1.147934	0.24612403	0.45381948	1.0	7438	tags=60%, list=35%, signal=93%	
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION		23	0.19502476	1.1406733	0.29352227	0.45531768	1.0	6905	tags=52%, list=33%, signal=77%	
KEGG_MELANOMA	KEGG_MELANOMA		57	0.12920184	1.133177	0.28942117	0.4582549	1.0	8395	tags=53%, list=40%, signal=87%	
