NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UCP2	46	315.04132080078125	0.0034642983	Yes	
row_1	ACADL	175	107.79270935058594	0.003520167	Yes	
row_2	ALDH2	193	99.8298110961914	0.008189885	Yes	
row_3	FZD4	199	96.19297790527344	0.013358398	Yes	
row_4	IDH1	207	91.86485290527344	0.018443778	Yes	
row_5	ME1	219	87.6077651977539	0.023362895	Yes	
row_6	CD151	575	25.910781860351562	0.013983233	Yes	
row_7	SCARB1	758	18.24431800842285	0.011794526	Yes	
row_8	LPL	958	12.995362281799316	0.008899193	Yes	
row_9	ABCA1	1047	11.24023723602295	0.010617711	Yes	
row_10	C3	1099	10.469695091247559	0.013874178	Yes	
row_11	VEGFB	1105	10.375248908996582	0.019042691	Yes	
row_12	BCL6	1155	9.500954627990723	0.02238229	Yes	
row_13	UCK1	1160	9.442536354064941	0.027592368	Yes	
row_14	PLIN2	1229	8.419995307922363	0.03014221	Yes	
row_15	ACLY	1329	7.226151466369629	0.0314035	Yes	
row_16	IDH3A	1349	7.076425075531006	0.035990085	Yes	
row_17	MYLK	1519	5.717942237854004	0.03434174	Yes	
row_18	DHCR7	1578	5.311770915985107	0.037307244	Yes	
row_19	LPCAT3	1766	4.0847086906433105	0.034910705	Yes	
row_20	NMT1	1811	3.8873178958892822	0.038458135	Yes	
row_21	PTGER3	1831	3.79227352142334	0.043044724	Yes	
row_22	ESYT1	1919	3.4007673263549805	0.044804804	Yes	
row_23	DHRS7B	2017	3.0335536003112793	0.046149228	Yes	
row_24	NDUFS3	2051	2.896449327468872	0.050153885	Yes	
row_25	LIFR	2218	2.453012466430664	0.048630238	Yes	
row_26	GRPEL1	2233	2.4207942485809326	0.053424656	Yes	
row_27	COQ9	2311	2.255575656890869	0.0556004	Yes	
row_28	RTN3	2344	2.1903271675109863	0.059646625	Yes	
row_29	CS	2496	1.9064058065414429	0.058746472	Yes	
row_30	UBQLN1	2533	1.8554283380508423	0.06262643	Yes	
row_31	RMDN3	2571	1.7771906852722168	0.06646483	Yes	
row_32	TKT	2604	1.7243107557296753	0.07051105	Yes	
row_33	MTCH2	2630	1.6778792142868042	0.07484824	Yes	
row_34	BAZ2A	2711	1.5472947359085083	0.07689929	Yes	
row_35	GPAT4	2806	1.410856008529663	0.07836841	Yes	
row_36	TALDO1	2906	1.2731833457946777	0.0796297	Yes	
row_37	CD302	3022	1.1640608310699463	0.08022592	Yes	
row_38	MCCC1	3048	1.1398485898971558	0.084563114	Yes	
row_39	AGPAT3	3428	0.861175537109375	0.07418586	Yes	
row_40	PPM1B	3464	0.8427909016609192	0.07810739	Yes	
row_41	MAP4K3	3465	0.8427833914756775	0.08348373	Yes	
row_42	LIPE	3493	0.8268359899520874	0.08773779	Yes	
row_43	AIFM1	3530	0.8019490242004395	0.09161775	Yes	
row_44	ARAF	3551	0.7892308831214905	0.096162766	Yes	
row_45	ESRRA	3599	0.77325439453125	0.0995855	Yes	
row_46	MIGA2	3723	0.7106144428253174	0.0998492	Yes	
row_47	JAGN1	3751	0.6936780214309692	0.10410326	Yes	
row_48	IFNGR1	3774	0.6851122975349426	0.108565144	Yes	
row_49	GADD45A	3788	0.67891925573349	0.11340113	Yes	
row_50	QDPR	3810	0.6650623083114624	0.11790458	Yes	
row_51	DNAJB9	4131	0.5229401588439941	0.10997974	Yes	
row_52	PIM3	4144	0.5168716907501221	0.114857286	Yes	
row_53	GPX3	4428	0.421863853931427	0.108470395	Yes	
row_54	GPD2	4638	0.36680877208709717	0.105159394	Yes	
row_55	RIOK3	4681	0.3545708954334259	0.10878996	Yes	
row_56	PPP1R15B	4716	0.3462187647819519	0.112753056	Yes	
row_57	PPARG	4763	0.33791565895080566	0.11621735	Yes	
row_58	ATP1B3	4805	0.328081339597702	0.11988948	Yes	
row_59	AK2	4933	0.2994106113910675	0.119986914	Yes	
row_60	ECH1	4973	0.2880241572856903	0.12374218	Yes	
row_61	COL4A1	5019	0.2786869704723358	0.12724805	Yes	
row_62	COL15A1	5073	0.2674534022808075	0.13042137	Yes	
