NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	17	562.5037841796875	0.006813725	Yes	
row_1	STAT1	41	328.4022521972656	0.013378601	Yes	
row_2	TAP1	69	240.75120544433594	0.019777577	Yes	
row_3	LY75	84	202.22389221191406	0.026715726	Yes	
row_4	CCL5	95	183.63307189941406	0.033819776	Yes	
row_5	B2M	118	155.6141357421875	0.040426124	Yes	
row_6	IL7	261	68.95134735107422	0.042055495	Yes	
row_7	HLA-A	379	43.37940216064453	0.044721734	Yes	
row_8	TGFB2	397	41.22673797607422	0.05153546	Yes	
row_9	CTSS	417	39.72042465209961	0.058266234	Yes	
row_10	TLR2	421	39.21595001220703	0.06566061	Yes	
row_11	ICOSLG	684	20.39909553527832	0.062312994	Yes	
row_12	HIF1A	699	19.83258628845215	0.06925114	Yes	
row_13	ICAM1	741	18.571630477905273	0.07506947	Yes	
row_14	CD47	862	14.931375503540039	0.07761129	Yes	
row_15	IRF7	915	13.725424766540527	0.08297339	Yes	
row_16	CD7	1071	10.834399223327637	0.08406359	Yes	
row_17	GBP2	1217	8.544351577758789	0.08556853	Yes	
row_18	HLA-E	1236	8.337691307067871	0.09234078	Yes	
row_19	TRAF2	1280	7.745082855224609	0.098076165	Yes	
row_20	ACVR2A	1310	7.367054462432861	0.104392186	Yes	
row_21	TAPBP	1311	7.362537384033203	0.111910984	Yes	
row_22	CD8A	1351	7.053627967834473	0.11781226	Yes	
row_23	TLR3	1455	6.148696422576904	0.12105915	Yes	
row_24	TAP2	1633	4.855977535247803	0.1212369	Yes	
row_25	GALNT1	1793	3.961256980895996	0.122161195	Yes	
row_26	IKBKB	2234	2.4194958209991455	0.11143106	Yes	
row_27	PSMB10	2271	2.3373353481292725	0.117456764	Yes	
row_28	HLA-DOB	2616	1.703727126121521	0.110708214	Yes	
row_29	CD74	2658	1.6333959102630615	0.116526544	Yes	
row_30	EIF3J	2856	1.342154860496521	0.1158748	Yes	
row_31	C2	2944	1.237113356590271	0.11978528	Yes	
row_32	LCK	3010	1.186794400215149	0.12460821	Yes	
row_33	CFP	3440	0.854057788848877	0.1143343	Yes	
row_34	CCND3	3468	0.8421028256416321	0.120733276	Yes	
row_35	TPD52	3524	0.8052195906639099	0.12597096	Yes	
row_36	CSF1	3619	0.7651025652885437	0.12959112	Yes	
row_37	DYRK3	3678	0.73329758644104	0.13470438	Yes	
row_38	IFNGR1	3774	0.6851122975349426	0.13828306	Yes	
row_39	BCAT1	4202	0.49590015411376953	0.1280921	No	
row_40	EIF4G3	4346	0.4421955347061157	0.12968	No	
row_41	DEGS1	4448	0.41672390699386597	0.13300984	No	
row_42	IL1B	4705	0.34951168298721313	0.12991107	No	
row_43	LYN	5133	0.2586365342140198	0.11972011	No	
row_44	IL15	5436	0.20558468997478485	0.1147135	No	
row_45	CCR1	5499	0.19677060842514038	0.119660854	No	
row_46	CDKN2A	5576	0.18866461515426636	0.124027565	No	
row_47	HLA-DRA	5633	0.18264968693256378	0.12922378	No	
row_48	BCL3	5714	0.17237131297588348	0.13342458	No	
row_49	BRCA1	5804	0.16316723823547363	0.13725212	No	
row_50	PRKCG	6317	0.11451797932386398	0.12353579	No	
row_51	CAPG	6552	0.09690883010625839	0.12134948	No	
row_52	HCLS1	6608	0.09277382493019104	0.12658715	No	
row_53	MAP3K7	6716	0.08539921045303345	0.12966815	No	
row_54	FLNA	7009	0.0691005066037178	0.1250763	No	
row_55	RIPK2	7065	0.06662788987159729	0.13031396	No	
row_56	WAS	7524	0.04609512910246849	0.11883728	No	
row_57	IL12A	8102	0.02684122323989868	0.1024251	No	
row_58	NME1	8158	0.02543335035443306	0.107662775	No	
row_59	JAK2	8539	0.017842037603259087	0.099421136	No	
row_60	TRAT1	8605	0.01641211099922657	0.10424407	No	
row_61	AKT1	8851	0.012341163121163845	0.101601526	No	
row_62	HLA-DMB	8990	0.010492242872714996	0.103396796	No	
row_63	CCL2	9103	0.008759381249547005	0.10627041	No	
row_64	MAP4K1	9518	0.004269074182957411	0.096618615	No	
row_65	NCF4	9885	0.0020765922963619232	0.08895762	No	
row_66	UBE2N	9974	0.0016704390291124582	0.092826635	No	
row_67	ELF4	10641	8.604945469414815E-5	0.07272318	No	
row_68	SOCS1	11261	-1.2653390876948833E-4	0.054569047	No	
row_69	CCL13	11505	-4.930974100716412E-4	0.05200946	No	
row_70	IRF8	11517	-5.111679201945662E-4	0.059072033	No	
row_71	IL16	12351	-0.004563516937196255	0.032042284	No	
row_72	TIMP1	12824	-0.008620965294539928	0.019984951	No	
row_73	FGR	12829	-0.008667659014463425	0.02733785	No	
row_74	IFNAR2	13174	-0.013567845337092876	0.0205893	No	
row_75	EIF5A	13426	-0.01754155568778515	0.01769791	No	
row_76	NCK1	13592	-0.020412614569067955	0.018373357	No	
row_77	RPL39	13977	-0.028666870668530464	0.009965814	No	
row_78	SRGN	14208	-0.03416801244020462	0.007945396	No	
row_79	BCL10	14477	-0.042029984295368195	0.0043489346	No	
row_80	STAT4	14700	-0.05047732964158058	0.0026603157	No	
row_81	TNF	14727	-0.05159340798854828	0.009100767	No	
row_82	EIF3A	14838	-0.05537978559732437	0.012057331	No	
row_83	CSK	15077	-0.06495640426874161	0.009705115	No	
row_84	NOS2	15215	-0.07006140798330307	0.011541858	No	
row_85	HLA-DMA	15824	-0.10078869014978409	-0.0061560515	No	
row_86	PTPN6	15997	-0.10970795154571533	-0.005770928	No	
row_87	IFNGR2	16560	-0.14913026988506317	-0.021560995	No	
row_88	ETS1	16793	-0.1670447289943695	-0.023664363	No	
row_89	RPS19	16821	-0.16934703290462494	-0.017265385	No	
row_90	NPM1	16836	-0.1707220822572708	-0.010327236	No	
row_91	GZMB	17025	-0.19025792181491852	-0.010605711	No	
row_92	NLRP3	17034	-0.19067582488059998	-0.0034187117	No	
row_93	ACHE	17153	-0.20177608728408813	-7.9394644E-4	No	
row_94	LIF	17349	-0.22447463870048523	-0.0013627444	No	
row_95	CD40	17822	-0.2847937345504761	-0.013420074	No	
row_96	ABCE1	18119	-0.3260650336742401	-0.018177832	No	
row_97	F2R	18426	-0.3818371295928955	-0.023350338	No	
row_98	IL11	18679	-0.4300321042537689	-0.026283203	No	
row_99	RPS9	18794	-0.4569571912288666	-0.023492537	No	
row_100	SOCS5	18919	-0.48747092485427856	-0.021116622	No	
row_101	APBB1	19240	-0.5754509568214417	-0.026869776	No	
row_102	TLR1	19781	-0.767602264881134	-0.041747395	No	
row_103	PRKCB	19900	-0.8237526416778564	-0.03912263	No	
row_104	UBE2D1	20435	-1.0833479166030884	-0.0537514	No	
row_105	STAB1	20833	-1.366118311882019	-0.06269812	No	
row_106	ABI1	20901	-1.419580340385437	-0.057958134	No	
row_107	INHBA	21106	-1.6422145366668701	-0.058900207	No	
row_108	IL2RB	21820	-2.7381999492645264	-0.08095297	No	
row_109	EGFR	22064	-3.363140344619751	-0.08351257	No	
row_110	FAS	22417	-4.8459978103637695	-0.09059291	No	
row_111	RPS3A	22424	-4.908402919769287	-0.083322965	No	
row_112	RPL9	22517	-5.452342510223389	-0.079619855	No	
row_113	EIF3D	22751	-7.223942756652832	-0.0817647	No	
row_114	MTIF2	22828	-7.856942176818848	-0.07739799	No	
row_115	IL4R	22835	-7.997370719909668	-0.07012804	No	
row_116	IL18	22911	-8.723916053771973	-0.06571986	No	
row_117	KRT1	22955	-9.211423873901367	-0.059984475	No	
row_118	IL27RA	23170	-12.375765800476074	-0.061341297	No	
row_119	TGFB1	23171	-12.378412246704102	-0.0538225	No	
row_120	ITGB2	23248	-13.82431697845459	-0.04945579	No	
row_121	MMP9	23315	-15.333648681640625	-0.044674333	No	
row_122	GCNT1	23340	-15.887316703796387	-0.038150933	No	
row_123	ST8SIA4	23343	-15.936688423156738	-0.030715086	No	
row_124	MRPL3	23345	-15.999856948852539	-0.023237763	No	
row_125	HDAC9	23498	-20.82400131225586	-0.022023143	No	
row_126	GLMN	23634	-27.414594650268555	-0.020103449	No	
row_127	TLR6	23766	-37.85212326049805	-0.018017858	No	
row_128	EREG	23785	-39.6539306640625	-0.011245607	No	
row_129	INHBB	23889	-50.83715057373047	-0.00799872	No	
row_130	THY1	23935	-57.593994140625	-0.0023462905	No	
row_131	HLA-G	23969	-63.529945373535156	0.0038038369	No	
row_132	CCND2	24173	-179.17657470703125	0.0029032403	No	
