NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	182	102.64530944824219	0.018796992	No	
row_1	NCOA6	340	49.9672966003418	0.038626786	No	
row_2	GAS1	1771	4.053938388824463	0.005866313	No	
row_3	FLOT2	2124	2.685539960861206	0.017640254	No	
row_4	ADAM10	2272	2.3329312801361084	0.03788317	No	
row_5	SRPX	3610	0.76904296875	0.008964717	No	
row_6	PCSK9	3681	0.7327110767364502	0.03238866	No	
row_7	GSTM3	4550	0.3912372291088104	0.022845572	No	
row_8	TMEM8B	4660	0.3620705306529999	0.044658348	No	
row_9	LYN	5133	0.2586365342140198	0.05147484	No	
row_10	BRCA1	5804	0.16316723823547363	0.05011154	No	
row_11	DCBLD2	7007	0.06915387511253357	0.026770217	No	
row_12	AKAP7	7973	0.030574489384889603	0.013219858	No	
row_13	ADIPOR2	8383	0.02069254219532013	0.02263901	No	
row_14	NTNG1	9204	0.007405150681734085	0.015078899	No	
row_15	B4GALT1	10250	7.500751526094973E-4	-0.0017764266	No	
row_16	SLC2A4	10562	1.85017182957381E-4	0.011691309	No	
row_17	CX3CL1	11202	-7.280884892679751E-5	0.011608684	No	
row_18	HSPB1	12998	-0.010818080976605415	-0.0362307	No	
row_19	SLC34A3	14281	-0.03643067553639412	-0.062876984	No	
row_20	GHRL	16873	-0.1745971292257309	-0.14360078	No	
row_21	RHCG	18018	-0.30934980511665344	-0.164546	No	
row_22	MDGA1	18762	-0.45065611600875854	-0.16892508	No	
row_23	MAL	19368	-0.6149425506591797	-0.16760309	No	
row_24	APP	20848	-1.3749479055404663	-0.20238785	Yes	
row_25	ATP8B1	21074	-1.6090368032455444	-0.18536729	Yes	
row_26	PLAUR	21560	-2.2306971549987793	-0.17908785	Yes	
row_27	CROCC	21680	-2.458061695098877	-0.1576882	Yes	
row_28	SHROOM2	21798	-2.691520929336548	-0.13620591	Yes	
row_29	IL2RB	21820	-2.7381999492645264	-0.11075768	Yes	
row_30	EFNA5	22531	-5.606581211090088	-0.113773465	Yes	
row_31	RTN4RL1	22678	-6.593428134918213	-0.09348924	Yes	
row_32	EPHB4	22728	-7.004467487335205	-0.06919774	Yes	
row_33	GATA3	23231	-13.423614501953125	-0.063620605	Yes	
row_34	LYPD3	23359	-16.263723373413086	-0.04255145	Yes	
row_35	THY1	23935	-57.593994140625	-0.039990105	Yes	
row_36	SULF2	23953	-60.18266296386719	-0.014376618	Yes	
row_37	AFAP1L2	24099	-107.49368286132812	0.0059489207	Yes	
