NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC1A1	81	204.73992919921875	0.0019520054	No	
row_1	NPY1R	146	124.560302734375	0.0046106954	No	
row_2	PDLIM3	183	102.6187973022461	0.008433336	No	
row_3	IL6ST	258	69.42382049560547	0.010676329	No	
row_4	GLA	315	54.148807525634766	0.013667576	No	
row_5	DHRS3	394	41.48331832885742	0.015744291	No	
row_6	MICB	491	31.72605323791504	0.017072752	No	
row_7	GFRA1	510	30.025917053222656	0.021643646	No	
row_8	UGCG	529	28.730998992919922	0.02621454	No	
row_9	PODXL	565	26.498926162719727	0.03007875	No	
row_10	PDZK1	601	24.22987937927246	0.03394296	No	
row_11	RHOBTB3	656	21.863739013671875	0.03701735	No	
row_12	GAB2	704	19.730762481689453	0.04038272	No	
row_13	SCARB1	758	18.24431800842285	0.04349868	No	
row_14	RASGRP1	966	12.710407257080078	0.040212907	No	
row_15	TUBB2B	1033	11.442471504211426	0.042788457	No	
row_16	ELOVL5	1058	11.112018585205078	0.04710993	No	
row_17	KLF10	1085	10.691506385803223	0.05134827	No	
row_18	ITPK1	1297	7.529670715332031	0.047896218	No	
row_19	ADD3	1336	7.187831401824951	0.05163572	No	
row_20	LRIG1	1436	6.29210090637207	0.05283947	No	
row_21	DHCR7	1578	5.311770915985107	0.052297298	No	
row_22	AFF1	1673	4.602406978607178	0.053708896	No	
row_23	FDFT1	1705	4.404455184936523	0.057739384	No	
row_24	STC2	1786	3.9922170639038086	0.05973296	No	
row_25	SH3BP5	1881	3.522411823272705	0.06114456	No	
row_26	CALCR	1929	3.3687832355499268	0.064509936	No	
row_27	SLC27A2	2200	2.4999747276306152	0.058605272	No	
row_28	SEMA3B	2398	2.075575590133667	0.055735197	No	
row_29	SYT12	2407	2.0555036067962646	0.06072179	No	
row_30	PEX11A	2678	1.5980576276779175	0.054817125	No	
row_31	BCL2	2705	1.5569409132003784	0.059055462	No	
row_32	MAPT	2738	1.4996851682662964	0.063044384	No	
row_33	REEP1	2966	1.2241286039352417	0.058927216	No	
row_34	MPPED2	3141	1.0657609701156616	0.05701324	No	
row_35	PMAIP1	3198	1.0072892904281616	0.060004488	No	
row_36	DYNLT3	3242	0.9736302495002747	0.06353614	No	
row_37	BHLHE40	3383	0.8849297761917114	0.06303553	No	
row_38	ELF1	3450	0.849615752696991	0.06561109	No	
row_39	MED13L	3726	0.7095043659210205	0.059498575	No	
row_40	RARA	3763	0.6877164840698242	0.06332122	No	
row_41	CYP26B1	3782	0.6821515560150146	0.06789211	No	
row_42	TMEM164	4012	0.5728997588157654	0.0636918	No	
row_43	FCMR	4102	0.5357299447059631	0.06531125	No	
row_44	DLC1	4122	0.5264432430267334	0.06984058	No	
row_45	SLC39A6	4386	0.4342227280139923	0.0642269	No	
row_46	FRK	4656	0.3630247414112091	0.05836381	No	
row_47	SYBU	4889	0.3096770644187927	0.054038797	No	
row_48	GJA1	5218	0.2426912486553192	0.04572309	No	
row_49	PTGES	5485	0.19873292744159698	0.03998471	No	
row_50	MYBL1	5628	0.1830638349056244	0.039400965	No	
row_51	GREB1	5630	0.18299436569213867	0.044678543	No	
row_52	FASN	5653	0.18072476983070374	0.049083162	No	
row_53	FKBP4	5664	0.17904528975486755	0.053986613	No	
row_54	FLNB	5800	0.16348828375339508	0.053693857	No	
row_55	MED24	5854	0.15702608227729797	0.056809813	No	
row_56	BLVRB	6012	0.140237957239151	0.055602524	No	
row_57	NADSYN1	6417	0.10640155524015427	0.044127524	No	
row_58	XBP1	7135	0.06322307884693146	0.01964122	No	
row_59	CHPT1	7151	0.062379784882068634	0.024336824	No	
row_60	SLC1A4	7267	0.05720590800046921	0.02487546	No	
