NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	17	562.5037841796875	0.013582479	Yes	
row_1	STAT1	41	328.4022521972656	0.02691676	Yes	
row_2	IL6ST	258	69.42382049560547	0.032267254	Yes	
row_3	IL7	261	68.95134735107422	0.046470232	Yes	
row_4	BAK1	350	47.79911422729492	0.057115674	Yes	
row_5	STAT2	355	46.34101867675781	0.07123592	Yes	
row_6	TLR2	421	39.21595001220703	0.0828328	Yes	
row_7	IL15RA	583	25.233131408691406	0.09045846	Yes	
row_8	IRF1	703	19.75404167175293	0.09982153	Yes	
row_9	CXCL1	993	12.047887802124023	0.10215225	Yes	
row_10	CNTFR	1044	11.279129981994629	0.11436963	Yes	
row_11	CD14	1140	9.775151252746582	0.124725506	Yes	
row_12	GRB2	1426	6.358062744140625	0.12722169	Yes	
row_13	PTPN2	1511	5.778293609619141	0.1380326	Yes	
row_14	IRF9	1682	4.55526876449585	0.14528596	Yes	
row_15	STAT3	2034	2.963216781616211	0.14505194	Yes	
row_16	PTPN1	2106	2.754424810409546	0.15640062	Yes	
row_17	IL1R1	2435	2.0103800296783447	0.15711804	Yes	
row_18	CXCL10	2595	1.745460867881775	0.16482644	Yes	
row_19	HMOX1	3139	1.0683417320251465	0.15665	Yes	
row_20	CSF1	3619	0.7651025652885437	0.15112104	Yes	
row_21	IFNGR1	3774	0.6851122975349426	0.15903628	Yes	
row_22	IL13RA1	4099	0.5363911986351013	0.15991916	Yes	
row_23	EBI3	4525	0.3972245156764984	0.156624	Yes	
row_24	IL1B	4705	0.34951168298721313	0.16350506	Yes	
row_25	TYK2	4799	0.3294319808483124	0.17394367	Yes	
row_26	CXCL3	5016	0.2793930470943451	0.17929417	Yes	
row_27	MAP3K8	5191	0.24685271084308624	0.18638206	Yes	
row_28	IL18R1	5231	0.24136152863502502	0.19905446	Yes	
row_29	OSMR	5498	0.19677111506462097	0.20233662	Yes	
row_30	CCR1	5499	0.19677060842514038	0.21662234	Yes	
row_31	HAX1	5596	0.18683001399040222	0.22693685	Yes	
row_32	CD36	6005	0.14163169264793396	0.22434492	Yes	
row_33	INHBE	6225	0.12215621769428253	0.22957131	Yes	
row_34	ITGB3	6481	0.10151559114456177	0.23330851	Yes	
row_35	CSF2	6802	0.08056887984275818	0.23435687	Yes	
row_36	LTBR	8621	0.016074493527412415	0.1734378	No	
row_37	MYD88	8805	0.013093095272779465	0.1801534	No	
row_38	CXCL11	9013	0.010142402723431587	0.1858762	No	
row_39	STAM2	10355	4.746605409309268E-4	0.1446891	No	
row_40	PLA2G2A	10510	2.195488050347194E-4	0.15260433	No	
row_41	CD38	10726	1.9721785065485165E-5	0.1579962	No	
row_42	CSF3R	11220	-8.507509483024478E-5	0.15188809	No	
row_43	SOCS1	11261	-1.2653390876948833E-4	0.16451913	No	
row_44	IL10RB	11559	-5.826970445923507E-4	0.16651893	No	
row_45	TNFRSF1B	11946	-0.0018599416362121701	0.16483706	No	
row_46	IFNAR1	13023	-0.011200165376067162	0.13461214	No	
row_47	SOCS3	13523	-0.019084811210632324	0.12825586	No	
row_48	TNF	14727	-0.05159340798854828	0.09277736	No	
row_49	IL17RA	15956	-0.10749004036188126	0.05626469	No	
row_50	IFNGR2	16560	-0.14913026988506317	0.045606248	No	
row_51	PDGFC	16738	-0.1629495620727539	0.05257005	No	
row_52	IL17RB	17686	-0.26403722167015076	0.027681442	No	
row_53	TNFRSF12A	18042	-0.3136442303657532	0.027281957	No	
row_54	PIM1	19244	-0.5761962532997131	-0.008113806	No	
row_55	TNFRSF21	20596	-1.1928119659423828	-0.049714584	No	
row_56	JUN	20862	-1.3881938457489014	-0.04639106	No	
row_57	ITGA4	20910	-1.4292020797729492	-0.03404958	No	
row_58	CBL	20985	-1.511343240737915	-0.022825008	No	
row_59	IL1R2	21133	-1.6683813333511353	-0.014620207	No	
row_60	ACVR1B	21188	-1.727020502090454	-0.0025682978	No	
row_61	PTPN11	21354	-1.9451282024383545	0.0048919013	No	
row_62	TNFRSF1A	21391	-1.9906589984893799	0.017688412	No	
row_63	FAS	22417	-4.8459978103637695	-0.010426801	No	
row_64	LEPR	22501	-5.366572856903076	4.2547277E-4	No	
row_65	IL4R	22835	-7.997370719909668	9.3605655E-4	No	
row_66	ACVRL1	22934	-8.982709884643555	0.011167829	No	
row_67	TGFB1	23171	-12.378412246704102	0.015690988	No	
row_68	CD44	23178	-12.521074295043945	0.029728502	No	
row_69	CD9	23742	-35.77402114868164	0.02072473	No	
