NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	17	562.5037841796875	0.005505288	Yes	
row_1	CCL5	95	183.63307189941406	0.008519192	Yes	
row_2	SLC4A4	215	89.58638000488281	0.009789128	Yes	
row_3	TLR2	421	39.21595001220703	0.0074880803	Yes	
row_4	IL7R	426	38.978363037109375	0.0135331685	Yes	
row_5	FPR1	476	33.3172607421875	0.017709719	Yes	
row_6	BEST1	478	33.07783508300781	0.023879375	Yes	
row_7	TNFAIP6	488	31.991247177124023	0.029716847	Yes	
row_8	EIF2AK2	499	30.876651763916016	0.035512798	Yes	
row_9	IL15RA	583	25.233131408691406	0.038277563	Yes	
row_10	NMI	625	23.178386688232422	0.042786296	Yes	
row_11	LAMP3	648	22.162267684936523	0.048083972	Yes	
row_12	ICOSLG	684	20.39909553527832	0.052841842	Yes	
row_13	HIF1A	699	19.83258628845215	0.058471702	Yes	
row_14	IRF1	703	19.75404167175293	0.06455831	Yes	
row_15	ICAM1	741	18.571630477905273	0.06923314	Yes	
row_16	LY6E	750	18.475494384765625	0.075112134	Yes	
row_17	IFITM1	804	16.50455665588379	0.079122595	Yes	
row_18	NAMPT	877	14.6536865234375	0.082344115	Yes	
row_19	IRF7	915	13.725424766540527	0.08701894	Yes	
row_20	RASGRP1	966	12.710407257080078	0.091153964	Yes	
row_21	PCDH7	1020	11.562291145324707	0.095164426	Yes	
row_22	ABCA1	1047	11.24023723602295	0.100296006	Yes	
row_23	CD14	1140	9.775151252746582	0.10268706	Yes	
row_24	RTP4	1144	9.746941566467285	0.10877367	Yes	
row_25	BST2	1175	9.2069730758667	0.11373916	Yes	
row_26	SLC31A1	1251	8.115184783935547	0.116836116	Yes	
row_27	SELL	1266	7.923202991485596	0.12246597	Yes	
row_28	ACVR2A	1310	7.367054462432861	0.12689166	Yes	
row_29	TAPBP	1311	7.362537384033203	0.13310283	Yes	
row_30	TLR3	1455	6.148696422576904	0.13337623	Yes	
row_31	OLR1	1468	6.049313545227051	0.13908912	Yes	
row_32	RHOG	1526	5.689718246459961	0.14293349	Yes	
row_33	NFKBIA	1606	5.091718673706055	0.14586435	Yes	
row_34	PVR	1704	4.4056715965271	0.14804779	Yes	
row_35	TNFRSF9	2048	2.9155237674713135	0.14001656	Yes	
row_36	SEMA4D	2064	2.865471839904785	0.1456049	Yes	
row_37	CXCL8	2096	2.7723779678344727	0.15052886	Yes	
row_38	EDN1	2169	2.5815072059631348	0.15375037	Yes	
row_39	GCH1	2191	2.5217318534851074	0.15908958	Yes	
row_40	C5AR1	2215	2.4643185138702393	0.16434573	Yes	
row_41	RELA	2329	2.2071430683135986	0.1658648	Yes	
row_42	CCRL2	2339	2.193894863128662	0.17170227	Yes	
row_43	IL1R1	2435	2.0103800296783447	0.17396876	Yes	
row_44	CXCL10	2595	1.745460867881775	0.17357777	Yes	
row_45	LCK	3010	1.186794400215149	0.1625984	Yes	
row_46	CD55	3020	1.1678308248519897	0.16843587	Yes	
row_47	RNF144B	3068	1.126548171043396	0.17269547	Yes	
row_48	PSEN1	3259	0.9626911282539368	0.17101727	Yes	
row_49	CSF1	3619	0.7651025652885437	0.16232167	Yes	
row_50	SCARF1	3807	0.6668527126312256	0.16076805	Yes	
row_51	ADM	3972	0.5882418751716614	0.16016944	Yes	
row_52	NFKB1	4047	0.5574640035629272	0.1633079	Yes	
row_53	CCL20	4071	0.5460659861564636	0.16856407	Yes	
row_54	TNFSF10	4418	0.4258762001991272	0.16040826	Yes	
row_55	EBI3	4525	0.3972245156764984	0.16221799	Yes	
row_56	IL1B	4705	0.34951168298721313	0.16099654	Yes	
row_57	LDLR	4846	0.3192141056060791	0.16139449	Yes	
row_58	IL1A	4918	0.30314183235168457	0.16465755	Yes	
row_59	LYN	5133	0.2586365342140198	0.16198279	Yes	
row_60	PTGER4	5159	0.25322043895721436	0.16715589	Yes	
row_61	IL18R1	5231	0.24136152863502502	0.17041893	Yes	
row_62	CSF3	5424	0.20772583782672882	0.16865769	Yes	
row_63	IL15	5436	0.20558468997478485	0.17441212	Yes	
row_64	SERPINE1	5462	0.20215491950511932	0.17958522	Yes	
row_65	OSMR	5498	0.19677111506462097	0.18434308	Yes	
row_66	C3AR1	5558	0.1907285451889038	0.1881044	Yes	
row_67	GABBR1	5759	0.16784881055355072	0.18601097	Yes	
row_68	SLC7A1	5839	0.1586967259645462	0.18894184	Yes	
row_69	CHST2	6461	0.10330776870250702	0.1693672	No	
row_70	ITGB3	6481	0.10151559114456177	0.17478943	No	
row_71	DCBLD2	7007	0.06915387511253357	0.159201	No	
row_72	RIPK2	7065	0.06662788987159729	0.16304536	No	
row_73	AXL	7811	0.034982118755578995	0.13832186	No	
row_74	CYBB	8446	0.019408268854022026	0.118207425	No	
row_75	LTA	8865	0.01218852587044239	0.10706196	No	
row_76	CXCL11	9013	0.010142402723431587	0.107169256	No	
row_77	CCL2	9103	0.008759381249547005	0.10968488	No	
row_78	SLC31A2	9168	0.007787330076098442	0.11323859	No	
row_79	HRH1	10309	5.74349716771394E-4	0.07211347	No	
row_80	CX3CL1	11202	-7.280884892679751E-5	0.041286077	No	
row_81	CSF3R	11220	-8.507509483024478E-5	0.046791367	No	
row_82	OPRK1	11489	-4.773647815454751E-4	0.041874364	No	
row_83	ATP2A2	11833	-0.001407407340593636	0.033843134	No	
row_84	TNFRSF1B	11946	-0.0018599416362121701	0.035403732	No	
row_85	MEFV	12026	-0.0022582027595490217	0.03833459	No	
row_86	PDE4B	12104	-0.0026176488026976585	0.041348495	No	
row_87	EMP3	12395	-0.004924533423036337	0.035517987	No	
row_88	ROS1	12554	-0.006274719722568989	0.03516852	No	
row_89	ADRM1	12569	-0.006361907348036766	0.04079838	No	
row_90	TIMP1	12824	-0.008620965294539928	0.0364627	No	
row_91	FZD5	12951	-0.010189620777964592	0.037441976	No	
row_92	IFNAR1	13023	-0.011200165376067162	0.040705018	No	
row_93	PTGER2	13255	-0.014909978955984116	0.03732437	No	
row_94	NOD2	13670	-0.021527118980884552	0.026345002	No	
row_95	CALCRL	13709	-0.022251062095165253	0.030978305	No	
row_96	F3	13754	-0.02325413189828396	0.03536247	No	
row_97	ATP2B1	13927	-0.027447037398815155	0.034431685	No	
row_98	CXCL6	14096	-0.03147934377193451	0.03366699	No	
row_99	KLF6	14383	-0.03947632014751434	0.028002573	No	
row_100	GPR132	14488	-0.042674362659454346	0.029895356	No	
row_101	GNAI3	14681	-0.049738992005586624	0.028134108	No	
row_102	TPBG	14702	-0.05051031336188316	0.033514827	No	
row_103	ITGA5	15136	-0.06713266670703888	0.02174652	No	
row_104	KIF1B	15195	-0.06929469108581543	0.025549361	No	
row_105	PTPRE	15276	-0.07227723300457001	0.028438697	No	
row_106	SCN1B	15673	-0.0925668478012085	0.018206744	No	
row_107	NDP	15972	-0.1083407774567604	0.012044051	No	
