NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI44L	0	928.614990234375	0.010526316	Yes	
row_1	C1S	26	427.64935302734375	0.020017393	Yes	
row_2	RSAD2	30	394.0117492675781	0.03041948	Yes	
row_3	ISG15	31	388.82501220703125	0.0409458	Yes	
row_4	LAP3	33	377.3689270019531	0.051430702	Yes	
row_5	CMPK2	35	365.4635009765625	0.06191561	Yes	
row_6	IFIT3	40	329.8153381347656	0.07227629	Yes	
row_7	LGALS3BP	49	297.5231628417969	0.082471326	Yes	
row_8	IFI27	58	267.64483642578125	0.092666365	Yes	
row_9	PARP14	62	263.2463073730469	0.103068456	Yes	
row_10	DDX60	66	249.56845092773438	0.11347054	Yes	
row_11	TAP1	69	240.75120544433594	0.12391404	Yes	
row_12	OAS1	76	215.7890625	0.1341919	Yes	
row_13	IFI35	99	171.04811096191406	0.1438072	Yes	
row_14	MX1	107	167.23231506347656	0.15404366	Yes	
row_15	PLSCR1	109	163.97177124023438	0.16452856	Yes	
row_16	B2M	118	155.6141357421875	0.1747236	Yes	
row_17	IFITM3	126	143.8456268310547	0.18496005	Yes	
row_18	HERC6	129	141.67909240722656	0.19540355	Yes	
row_19	ADAR	168	111.06378173828125	0.2043563	Yes	
row_20	IFI44	176	107.60782623291016	0.21459274	Yes	
row_21	PSMB8	198	96.79298400878906	0.22424947	Yes	
row_22	USP18	229	84.49496459960938	0.23353349	Yes	
row_23	TRIM25	232	82.05035400390625	0.24397698	Yes	
row_24	IL7	261	68.95134735107422	0.25334382	Yes	
row_25	SAMD9L	272	65.85026550292969	0.26345605	Yes	
row_26	HLA-C	291	59.123146057128906	0.273237	Yes	
row_27	TRIM5	316	54.04518127441406	0.28276947	Yes	
row_28	UBE2L6	322	53.444374084472656	0.29308876	Yes	
row_29	STAT2	355	46.34101867675781	0.30228996	Yes	
row_30	PARP9	356	46.05946350097656	0.3128163	Yes	
row_31	OASL	376	43.78776168823242	0.3225558	Yes	
row_32	CNP	378	43.51725769042969	0.3330407	Yes	
row_33	GBP4	383	42.969337463378906	0.3434014	Yes	
row_34	PSME1	385	42.69231414794922	0.3538863	Yes	
row_35	TDRD7	395	41.41678237915039	0.36403993	Yes	
row_36	HELZ2	442	36.92938232421875	0.3726614	Yes	
row_37	TMEM140	457	35.11943435668945	0.382608	Yes	
