NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI44L	0	928.614990234375	0.0055555557	Yes	
row_1	OAS2	9	643.8240966796875	0.010778665	Yes	
row_2	HLA-B	11	624.1608276367188	0.016292665	Yes	
row_3	OAS3	15	568.1785888671875	0.021723552	Yes	
row_4	IL6	17	562.5037841796875	0.027237553	Yes	
row_5	MX2	18	532.7069091796875	0.03279311	Yes	
row_6	C1S	26	427.64935302734375	0.038057774	Yes	
row_7	RSAD2	30	394.0117492675781	0.043488663	Yes	
row_8	ISG15	31	388.82501220703125	0.049044218	Yes	
row_9	LAP3	33	377.3689270019531	0.054558218	Yes	
row_10	CMPK2	35	365.4635009765625	0.060072217	Yes	
row_11	IFIT3	40	329.8153381347656	0.065461546	Yes	
row_12	STAT1	41	328.4022521972656	0.0710171	Yes	
row_13	LGALS3BP	49	297.5231628417969	0.07628177	Yes	
row_14	IFI27	58	267.64483642578125	0.08150488	Yes	
row_15	PARP14	62	263.2463073730469	0.086935766	Yes	
row_16	DDX60	66	249.56845092773438	0.09236665	Yes	
row_17	TAP1	69	240.75120544433594	0.097839095	Yes	
row_18	CCL5	95	183.63307189941406	0.102355756	Yes	
row_19	C1R	96	179.29672241210938	0.10791131	Yes	
row_20	IFI35	99	171.04811096191406	0.113383755	Yes	
row_21	MX1	107	167.23231506347656	0.118648425	Yes	
row_22	PLSCR1	109	163.97177124023438	0.12416242	Yes	
row_23	SAMHD1	117	155.70565795898438	0.12942709	Yes	
row_24	B2M	118	155.6141357421875	0.13498265	Yes	
row_25	IFITM3	126	143.8456268310547	0.1402473	Yes	
row_26	HERC6	129	141.67909240722656	0.14571975	Yes	
row_27	ADAR	168	111.06378173828125	0.14969619	Yes	
row_28	IFI44	176	107.60782623291016	0.15496086	Yes	
row_29	PSMB8	198	96.79298400878906	0.15964374	Yes	
row_30	ZNFX1	212	90.79810333251953	0.16465907	Yes	
row_31	USP18	229	84.49496459960938	0.16954972	Yes	
row_32	TRIM25	232	82.05035400390625	0.17502217	Yes	
row_33	IL7	261	68.95134735107422	0.17941415	Yes	
row_34	SAMD9L	272	65.85026550292969	0.18455416	Yes	
row_35	IDO1	281	62.88947296142578	0.18977727	Yes	
row_36	RNF213	283	62.32200622558594	0.19529127	Yes	
row_37	XAF1	285	62.021183013916016	0.20080526	Yes	
