NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI44L	0	928.614990234375	0.007874016	No	
row_1	RSAD2	30	394.0117492675781	0.01454556	No	
row_2	SLC12A3	70	237.91644287109375	0.020802459	No	
row_3	MX1	107	167.23231506347656	0.027183753	No	
row_4	PNMT	131	138.93714904785156	0.034104083	No	
row_5	KCND1	262	68.64607238769531	0.03658771	No	
row_6	TGFB2	397	41.22673797607422	0.03890548	No	
row_7	PTPRJ	564	26.551237106323242	0.039896384	No	
row_8	COPZ2	712	19.200237274169922	0.041675117	No	
row_9	SIDT1	857	15.101438522338867	0.04357824	No	
row_10	SKIL	880	14.48696517944336	0.050540037	No	
row_11	CNTFR	1044	11.279129981994629	0.051655333	No	
row_12	EDN2	1059	11.105489730834961	0.058948845	No	
row_13	PDE6B	1232	8.41362476348877	0.059690963	No	
row_14	C5	1342	7.144076347351074	0.063045345	No	
row_15	IDUA	1651	4.697342395782471	0.058148287	No	
row_16	PTGFR	1726	4.298811435699463	0.06295393	No	
row_17	GTF3C5	2054	2.8904623985290527	0.057269044	No	
row_18	SLC16A7	2108	2.747009515762329	0.06294544	No	
row_19	EDN1	2169	2.5815072059631348	0.068331584	No	
row_20	SGK1	2338	2.198582410812378	0.06923956	No	
row_21	HTR1B	2866	1.3272135257720947	0.055261772	No	
row_22	CCDC106	3013	1.1778124570846558	0.057081964	No	
row_23	CLSTN3	3029	1.1614453792572021	0.06433401	No	
row_24	MTHFR	3672	0.736160933971405	0.045587804	No	
row_25	BARD1	3971	0.5896816253662109	0.04110539	No	
row_26	TEX15	4174	0.5048582553863525	0.04060357	No	
row_27	MSH5	4232	0.4862382709980011	0.04611411	No	
row_28	TG	4326	0.44732579588890076	0.050131924	No	
row_29	IGFBP2	4521	0.39786407351493835	0.049961824	No	
row_30	P2RX6	4641	0.3665658235549927	0.05290156	No	
row_31	COQ8A	5112	0.261382520198822	0.041287247	No	
row_32	NRIP2	5352	0.21948260068893433	0.03925124	No	
row_33	PDK2	5711	0.17270416021347046	0.03228096	No	
row_34	CDH16	5753	0.16868481040000916	0.038454928	No	
row_35	ASB7	5784	0.1643849015235901	0.04508501	No	
row_36	CPEB3	5819	0.16033580899238586	0.05154923	No	
row_37	NR6A1	6070	0.13495126366615295	0.049057115	No	
row_38	CHST2	6461	0.10330776870250702	0.040759966	No	
row_39	SPHK2	6580	0.09445280581712723	0.043741167	No	
row_40	NTF3	7026	0.06821657717227936	0.03316347	No	
row_41	ZC2HC1C	7243	0.05844709277153015	0.032081146	No	
row_42	AKR1B10	8033	0.028939876705408096	0.0072396523	No	
row_43	HTR1D	8071	0.027977002784609795	0.01357948	No	
row_44	MFSD6	8269	0.023069344460964203	0.013284985	No	
row_45	RYR1	9112	0.0085892453789711	-0.01375413	No	
row_46	MAGIX	9684	0.0030732848681509495	-0.029556358	No	
row_47	GDNF	9706	0.0029684456530958414	-0.022553097	No	
row_48	TFF2	9848	0.00221222429536283	-0.02052558	No	
row_49	THRB	10280	6.536057917401195E-4	-0.030522775	No	
row_50	ZNF112	10654	7.379207818303257E-5	-0.03811503	No	
row_51	ABCB11	10800	0.0	-0.036253367	No	
row_52	ACTC1	10809	0.0	-0.028711068	No	
row_53	CLDN8	10831	0.0	-0.021707809	No	
row_54	SMPX	11390	-3.133751160930842E-4	-0.036971	No	
row_55	RIBC2	11980	-0.0020083729177713394	-0.053519588	No	
row_56	MEFV	12026	-0.0022582027595490217	-0.047511473	No	
row_57	ITGB1BP2	12125	-0.0027557245921343565	-0.043700982	No	
row_58	TFCP2L1	12402	-0.005020773503929377	-0.047271177	No	
row_59	VPS50	13147	-0.012940586544573307	-0.07024677	No	
row_60	EPHA5	14810	-0.05436684563755989	-0.1312868	No	
row_61	CCNA1	15165	-0.06836126744747162	-0.13809122	No	
row_62	GPR3	15399	-0.07834944128990173	-0.13987844	Yes	
row_63	NR4A2	15456	-0.08080560714006424	-0.13432644	Yes	
row_64	THNSL2	15493	-0.08305341005325317	-0.12794514	Yes	
row_65	EGF	15516	-0.08439525961875916	-0.12098335	Yes	
row_66	CLDN16	15573	-0.08732713013887405	-0.115431346	Yes	
row_67	CYP39A1	15837	-0.10129398107528687	-0.1184625	Yes	
row_68	ABCG4	16375	-0.13525639474391937	-0.13285494	Yes	
row_69	FGFR3	16403	-0.13701292872428894	-0.12610047	Yes	
row_70	CDKAL1	16465	-0.1417522132396698	-0.120755784	Yes	
row_71	GPR19	16634	-0.15525729954242706	-0.119847804	Yes	
row_72	BRDT	16750	-0.16430778801441193	-0.11674221	Yes	
row_73	SLC30A3	16901	-0.1766861379146576	-0.115087874	Yes	
row_74	GRID2	16930	-0.17899589240550995	-0.108374864	Yes	
row_75	CAMK1D	17023	-0.190177783370018	-0.10431559	Yes	
row_76	ADRA2C	17228	-0.21154920756816864	-0.10490033	Yes	
row_77	SNCB	17276	-0.21592891216278076	-0.09897515	Yes	
row_78	SLC25A23	17308	-0.21963582932949066	-0.09238654	Yes	
row_79	CALML5	17937	-0.29824283719062805	-0.11055224	Yes	
row_80	YPEL1	18339	-0.3667478561401367	-0.1193055	Yes	
row_81	MAST3	18589	-0.41356930136680603	-0.12175615	Yes	
row_82	GAMT	18735	-0.4435635507106781	-0.11989449	Yes	
row_83	KMT2D	18860	-0.4700652062892914	-0.11716208	Yes	
row_84	TGM1	18935	-0.49165016412734985	-0.11235643	Yes	
row_85	GPRC5C	18937	-0.49188023805618286	-0.10452388	Yes	
row_86	KLK8	19001	-0.5081456899642944	-0.09926213	Yes	
row_87	BMPR1B	19400	-0.6254863739013672	-0.107891	Yes	
row_88	ENTPD7	19474	-0.6531173586845398	-0.10304389	Yes	
row_89	SNN	19551	-0.6857993006706238	-0.098321185	Yes	
row_90	ALOX12B	19656	-0.7176499962806702	-0.09475948	Yes	
row_91	CELSR2	19719	-0.7433025240898132	-0.08945626	Yes	
row_92	FGGY	20182	-0.9477725028991699	-0.10073885	Yes	
row_93	EDAR	20266	-0.9892745018005371	-0.0963064	Yes	
row_94	SHOX2	20681	-1.2459169626235962	-0.105598696	Yes	
