NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP5	91	190.5023651123047	0.0014248645	Yes	
row_1	MCM2	201	95.13514709472656	0.0021013506	Yes	
row_2	IDH1	207	91.86485290527344	0.007101801	Yes	
row_3	ME1	219	87.6077651977539	0.011852792	Yes	
row_4	HMGCS1	226	86.08495330810547	0.016811667	Yes	
row_5	FADS1	302	56.60759353637695	0.018901756	Yes	
row_6	GLA	315	54.148807525634766	0.023611171	Yes	
row_7	GLRX	329	51.89326095581055	0.028279008	Yes	
row_8	SQSTM1	334	50.879913330078125	0.033321034	Yes	
row_9	NFIL3	561	26.672842025756836	0.029133061	Yes	
row_10	SQLE	576	25.81253433227539	0.033759322	Yes	
row_11	G6PD	622	23.331378936767578	0.03709671	Yes	
row_12	DDIT3	725	18.878543853759766	0.03806423	Yes	
row_13	INSIG1	760	18.16951560974121	0.04185896	Yes	
row_14	CALR	782	17.512205123901367	0.04619419	Yes	
row_15	DHCR24	799	16.73082160949707	0.050737295	Yes	
row_16	TMEM97	817	16.267728805541992	0.055238828	Yes	
row_17	EBP	842	15.53456974029541	0.059449323	Yes	
row_18	PPP1R15A	864	14.893318176269531	0.06378455	Yes	
row_19	NAMPT	877	14.6536865234375	0.06849396	Yes	
row_20	RIT1	889	14.166296005249023	0.07324495	Yes	
row_21	PSMA4	936	13.36950969696045	0.07654076	Yes	
row_22	TXNRD1	968	12.698554992675781	0.08046022	Yes	
row_23	STIP1	992	12.048521995544434	0.0847123	Yes	
row_24	PSAT1	1012	11.711474418640137	0.08913068	Yes	
row_25	ELOVL5	1058	11.112018585205078	0.09246806	Yes	
row_26	CXCR4	1269	7.899800777435303	0.088945314	Yes	
row_27	ACLY	1329	7.226151466369629	0.09170063	Yes	
row_28	ADD3	1336	7.187831401824951	0.096659504	Yes	
row_29	HSP90B1	1398	6.6509552001953125	0.09933166	Yes	
row_30	PLOD2	1466	6.051189422607422	0.10175437	Yes	
row_31	EIF2S2	1477	6.007434368133545	0.10654693	Yes	
row_32	VLDLR	1516	5.755926609039307	0.110175356	Yes	
row_33	GSR	1564	5.388835906982422	0.11342959	Yes	
row_34	DHCR7	1578	5.311770915985107	0.11809743	Yes	
row_35	HSPA5	1637	4.836238861083984	0.12089432	Yes	
row_36	UFM1	1652	4.690974712371826	0.12552059	Yes	
row_37	GTF2H1	1707	4.384466171264648	0.12848377	Yes	
row_38	NMT1	1811	3.8873178958892822	0.12940973	Yes	
row_39	SLC7A11	1822	3.8146650791168213	0.13420229	Yes	
row_40	HSPD1	1860	3.615424871444702	0.1378723	Yes	
row_41	SHMT2	2045	2.924297332763672	0.13543053	Yes	
row_42	IDI1	2078	2.837320327758789	0.13930842	Yes	
row_43	CACYBP	2263	2.3535008430480957	0.13686666	Yes	
row_44	PSMD13	2298	2.2758471965789795	0.14066139	Yes	
row_45	M6PR	2306	2.2638068199157715	0.14557868	Yes	
row_46	CYP51A1	2335	2.2019550800323486	0.14962287	Yes	
row_47	SLC2A3	2415	2.042297124862671	0.15154666	Yes	
row_48	SERP1	2637	1.6690596342086792	0.14756657	Yes	
row_49	EEF1E1	2710	1.549211859703064	0.14978139	Yes	
row_50	GMPS	2762	1.455719232559204	0.15286931	Yes	
row_51	GCLC	2773	1.4422156810760498	0.15766189	Yes	
row_52	PSMD14	2810	1.408789038658142	0.16137347	Yes	
row_53	TBK1	2821	1.3928427696228027	0.16616602	Yes	
row_54	PSMC2	2839	1.3629182577133179	0.17066756	Yes	
row_55	NFKBIB	2915	1.2684991359710693	0.17275766	Yes	
row_56	ATP6V1D	2926	1.2570927143096924	0.17755021	Yes	
row_57	CYB5B	2950	1.2340925931930542	0.18180229	Yes	
row_58	CDC25A	2983	1.2109419107437134	0.18568017	Yes	
row_59	CTSC	3001	1.194676399230957	0.1901817	Yes	
row_60	LGMN	3050	1.1371898651123047	0.19339436	Yes	
row_61	ACTR3	3062	1.130053162574768	0.19814534	Yes	
row_62	CTH	3101	1.1037594079971313	0.20177378	Yes	
row_63	CANX	3147	1.0611969232559204	0.20511116	Yes	
row_64	UNG	3240	0.9746259450912476	0.20649445	Yes	
row_65	HSPE1	3305	0.9401407837867737	0.20904188	Yes	
row_66	BHLHE40	3383	0.8849297761917114	0.21104883	Yes	
row_67	CFP	3440	0.854057788848877	0.21392886	Yes	
row_68	PGK1	3495	0.8253278136253357	0.21689206	Yes	
row_69	GGA2	3592	0.7756440043449402	0.21810904	Yes	
