NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	207	91.86485290527344	-0.0031687082	Yes	
row_1	NNT	455	35.25266647338867	-0.007999927	Yes	
row_2	ATP1B1	487	32.123504638671875	-0.0038535895	Yes	
row_3	HCCS	652	21.96017837524414	-0.0052350992	Yes	
row_4	CYB5A	1027	11.514162063598633	-0.015344788	Yes	
row_5	ATP6V1G1	1187	9.05343246459961	-0.016518485	Yes	
row_6	IDH3A	1349	7.076425075531006	-0.017775305	Yes	
row_7	NQO2	1462	6.065749645233154	-0.016995551	Yes	
row_8	COX10	1512	5.776516914367676	-0.013597344	Yes	
row_9	ATP6V0E1	1566	5.3844122886657715	-0.010365387	Yes	
row_10	FH	1703	4.425637245178223	-0.01058314	Yes	
row_11	TIMM17A	1713	4.3640217781066895	-0.005522422	Yes	
row_12	SLC25A4	1717	4.348047256469727	-2.1232762E-4	Yes	
row_13	ATP6V1C1	1778	4.015355110168457	0.0027286897	Yes	
row_14	SURF1	1869	3.5886974334716797	0.004422824	Yes	
row_15	NDUFS3	2051	2.896449327468872	0.0023347475	Yes	
row_16	NDUFA8	2207	2.487652540206909	0.0013273027	Yes	
row_17	IDH2	2226	2.4338393211364746	0.006013956	Yes	
row_18	GRPEL1	2233	2.4207942485809326	0.011199362	Yes	
row_19	MRPS30	2238	2.412492513656616	0.016467893	Yes	
row_20	CS	2496	1.9064058065414429	0.0112210475	Yes	
row_21	PDHB	2513	1.8764615058898926	0.015990825	Yes	
row_22	ATP6AP1	2549	1.8158705234527588	0.019970912	Yes	
row_23	PDP1	2685	1.5886067152023315	0.019794723	Yes	
row_24	NDUFB3	2693	1.5717816352844238	0.024938567	Yes	
row_25	PDHA1	2845	1.3587926626205444	0.024097372	Yes	
row_26	ATP6V1D	2926	1.2570927143096924	0.026207134	Yes	
row_27	COX5A	3124	1.080918788909912	0.023454053	Yes	
row_28	AFG3L2	3206	1.0012147426605225	0.025522253	Yes	
row_29	CYB5R3	3316	0.9307186603546143	0.026426695	Yes	
row_30	AIFM1	3530	0.8019490242004395	0.02300861	Yes	
row_31	HSD17B10	3535	0.7983191013336182	0.028277142	Yes	
row_32	ISCA1	3574	0.7819993495941162	0.03213254	Yes	
row_33	ATP6V1E1	3616	0.7668784856796265	0.03586325	Yes	
row_34	PDHX	3801	0.6712085008621216	0.033650484	Yes	
row_35	CYCS	4046	0.5578055381774902	0.028943954	Yes	
row_36	BAX	4216	0.4910169541835785	0.027354632	Yes	
row_37	ATP6V1H	4219	0.49018555879592896	0.032706287	Yes	
row_38	ATP6V0C	4380	0.43494337797164917	0.03149103	Yes	
row_39	NDUFC2	4412	0.4269042909145355	0.035637368	Yes	
row_40	SLC25A11	4420	0.4255346655845642	0.04078121	Yes	
row_41	ECI1	4668	0.35960114002227783	0.03594999	Yes	
row_42	SLC25A12	4715	0.3466361165046692	0.039472885	Yes	
row_43	PMPCA	4932	0.29941704869270325	0.035930116	Yes	
row_44	ECH1	4973	0.2880241572856903	0.039702386	Yes	
row_45	MRPS11	4977	0.2870326638221741	0.04501248	Yes	
