NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAP1	69	240.75120544433594	0.0023124432	No	
row_1	SEC61A1	82	204.19058227539062	0.0069948505	No	
row_2	DRAM1	319	53.66899490356445	0.0023637153	No	
row_3	BAK1	350	47.79911422729492	0.006297713	No	
row_4	EPHX1	473	33.50615310668945	0.0064065056	No	
row_5	NINJ1	484	32.76483154296875	0.011172069	No	
row_6	PDGFA	673	20.8577938079834	0.008536694	No	
row_7	DDIT3	725	18.878543853759766	0.011597547	No	
row_8	PPP1R15A	864	14.893318176269531	0.011041086	No	
row_9	NOL8	1588	5.237441539764404	-0.013838688	No	
row_10	SLC7A11	1822	3.8146650791168213	-0.018345088	No	
row_11	TRAFD1	1861	3.6141507625579834	-0.014743717	No	
row_12	ABHD4	2057	2.8760852813720703	-0.017670142	No	
row_13	CASP1	2133	2.6657795906066895	-0.015607168	No	
row_14	SLC3A2	2250	2.3837459087371826	-0.015248906	No	
row_15	CD81	2277	2.318305730819702	-0.011148594	No	
row_16	OSGIN1	2461	1.9658422470092773	-0.013576079	No	
row_17	CTSF	2723	1.5247299671173096	-0.019246671	No	
row_18	HMOX1	3139	1.0683417320251465	-0.031320326	No	
row_19	CDKN2B	3438	0.8550045490264893	-0.038529318	No	
row_20	CCND3	3468	0.8421028256416321	-0.03455374	No	
row_21	NDRG1	3612	0.7684970498085022	-0.03531809	No	
row_22	MXD4	3648	0.7490521669387817	-0.031591985	No	
row_23	GADD45A	3788	0.67891925573349	-0.032190025	No	
row_24	CSRNP2	3839	0.6476444602012634	-0.029087594	No	
row_25	RRP8	4113	0.5307829976081848	-0.035257127	No	
row_26	BAX	4216	0.4910169541835785	-0.034316767	No	
row_27	AEN	4221	0.4896235167980194	-0.029301733	No	
row_28	TSPYL2	4402	0.4306710958480835	-0.031604484	No	
row_29	PLK2	4505	0.40272268652915955	-0.030664124	No	
row_30	PPM1D	4737	0.34131112694740295	-0.03508737	No	
row_31	RB1	4822	0.32454532384872437	-0.0333986	No	
row_32	IL1A	4918	0.30314183235168457	-0.032167193	No	
row_33	CDKN2AIP	4971	0.2896134853363037	-0.029147917	No	
row_34	TRIAP1	5057	0.27027180790901184	-0.027500726	No	
row_35	KIF13B	5107	0.2621318995952606	-0.024356717	No	
row_36	COQ8A	5112	0.261382520198822	-0.019341683	No	
row_37	PMM1	5356	0.21837957203388214	-0.024263866	No	
row_38	CCP110	5461	0.20216165482997894	-0.023406664	No	
row_39	CDKN2A	5576	0.18866461515426636	-0.022965245	No	
row_40	CCNG1	6000	0.1425769180059433	-0.035371527	No	
row_41	AK1	6188	0.12544657289981842	-0.037965324	No	
row_42	RAD9A	6292	0.11630871146917343	-0.03706654	No	
row_43	TCN2	6420	0.10629520565271378	-0.03716564	No	
row_44	APAF1	6488	0.10113980621099472	-0.03477004	No	
row_45	XPC	6719	0.0852963924407959	-0.039151706	No	
row_46	TRIB3	6770	0.0818893238902092	-0.036049277	No	
row_47	PLXNB2	6777	0.0816602110862732	-0.031117398	No	
row_48	HINT1	6784	0.08122743666172028	-0.02618552	No	
row_49	NHLH2	6838	0.07883025705814362	-0.023207825	No	
row_50	IER5	7028	0.06816814094781876	-0.02588478	No	
row_51	UPP1	7053	0.06711393594741821	-0.021701312	No	
row_52	NUDT15	7123	0.06387334316968918	-0.019388868	No	
row_53	NUPR1	7770	0.036302391439676285	-0.041067112	No	
row_54	SLC19A2	7951	0.031272199004888535	-0.043369863	No	
row_55	TM7SF3	8105	0.02669614367187023	-0.044549998	No	
row_56	LDHB	8214	0.024155985563993454	-0.04385911	No	
row_57	CDH13	8417	0.02004087157547474	-0.04707658	No	
row_58	IFI30	8728	0.014288607984781265	-0.05478451	No	
row_59	HRAS	8794	0.013205569237470627	-0.052305754	No	
row_60	TRAF4	8998	0.010355934500694275	-0.055564806	No	
row_61	CYFIP2	9219	0.007277574855834246	-0.059530687	No	
row_62	CCNK	9852	0.0022055453155189753	-0.08062684	No	
row_63	TPD52L1	9901	0.00201058154925704	-0.077441245	No	
row_64	HEXIM1	10119	0.0011505080619826913	-0.08128239	No	
row_65	RAD51C	10299	5.931547493673861E-4	-0.08354356	No	
row_66	EPHA2	10347	4.8766672261990607E-4	-0.0803164	No	
row_67	ERCC5	10720	2.5030079996213317E-5	-0.09060218	No	
row_68	CDK5R1	11252	-1.1423529213061556E-4	-0.10749892	No	
row_69	SOCS1	11261	-1.2653390876948833E-4	-0.1026502	No	
row_70	ATF3	11421	-3.5642876173369586E-4	-0.104079805	No	
row_71	DCXR	11576	-6.120680482126772E-4	-0.10530152	No	
row_72	KRT17	11890	-0.001606968231499195	-0.11313418	No	
row_73	WWP1	12044	-0.0023473063483834267	-0.11431432	No	
row_74	RRAD	12253	-0.0036394225899130106	-0.11778127	No	
row_75	VAMP8	12717	-0.007655650842934847	-0.13185067	No	
row_76	MKNK2	12823	-0.00860726460814476	-0.13103504	No	
row_77	ABCC5	12965	-0.010363223031163216	-0.13171625	No	
row_78	SP1	13270	-0.01504963357001543	-0.1391747	No	
row_79	HSPA4L	13429	-0.017606940120458603	-0.14056273	No	
row_80	RETSAT	13547	-0.019454792141914368	-0.14024605	No	
row_81	IP6K2	14080	-0.031020062044262886	-0.15718436	No	
row_82	EPS8L2	14154	-0.03246196731925011	-0.15503824	No	
row_83	RNF19B	14646	-0.04847906902432442	-0.17027184	No	
row_84	POM121	14752	-0.05230191349983215	-0.16945621	No	
row_85	PRKAB1	14875	-0.05680389329791069	-0.16934742	No	
row_86	ANKRA2	15224	-0.07032079994678497	-0.17863533	No	
row_87	CTSD	15238	-0.07060051709413528	-0.1739945	No	
row_88	PHLDA3	15261	-0.07170768827199936	-0.16972788	No	
row_89	RPS27L	15274	-0.07221613824367523	-0.16504547	No	
row_90	PTPRE	15276	-0.07227723300457001	-0.1599057	No	
row_91	ADA	15427	-0.0796576738357544	-0.1609611	No	
row_92	CGRRF1	15481	-0.08227642625570297	-0.1579834	No	
row_93	PCNA	15582	-0.08784519135951996	-0.15695989	No	
row_94	RAB40C	15722	-0.09512252360582352	-0.15755793	No	
row_95	MXD1	16104	-0.117014579474926	-0.16821791	No	
row_96	BLCAP	16174	-0.1213444173336029	-0.16590548	No	
row_97	IER3	16779	-0.1663147509098053	-0.18583743	Yes	
row_98	FDXR	16795	-0.16709676384925842	-0.18127976	Yes	
row_99	FUCA1	16830	-0.17012037336826324	-0.17751208	Yes	
row_100	DNTTIP2	17007	-0.18746769428253174	-0.1796485	Yes	
row_101	S100A10	17062	-0.192546546459198	-0.1767124	Yes	
row_102	SPHK1	17068	-0.19276677072048187	-0.17173894	Yes	
row_103	PTPN14	17297	-0.2181406170129776	-0.17603745	Yes	
row_104	LIF	17349	-0.22447463870048523	-0.1729766	Yes	
row_105	ISCU	17426	-0.23287822306156158	-0.1709552	Yes	
row_106	ALOX15B	17553	-0.24911707639694214	-0.17101271	Yes	
row_107	MDM2	17572	-0.2505750358104706	-0.16657978	Yes	
row_108	TAX1BP3	17679	-0.2629253566265106	-0.16580574	Yes	
row_109	STEAP3	17736	-0.2716788053512573	-0.16295278	Yes	
row_110	RALGDS	17755	-0.27435582876205444	-0.15851983	Yes	
row_111	RGS16	17892	-0.29161301255226135	-0.15899314	Yes	
row_112	RPL18	17948	-0.3005066514015198	-0.1560986	Yes	
row_113	IRAK1	18078	-0.3195154070854187	-0.15628086	Yes	
row_114	RPL36	18166	-0.3342965543270111	-0.15471682	Yes	
row_115	WRAP73	18250	-0.34920167922973633	-0.15298648	Yes	
row_116	TCHH	18251	-0.34930598735809326	-0.14780512	Yes	
row_117	TPRKB	18325	-0.3628382086753845	-0.145659	Yes	
row_118	SERTAD3	18371	-0.3723846971988678	-0.14234868	Yes	
row_119	F2R	18426	-0.3818371295928955	-0.13941255	Yes	
row_120	RCHY1	18444	-0.38497689366340637	-0.13493805	Yes	
row_121	PIDD1	18657	-0.4255925118923187	-0.13857129	Yes	
row_122	BTG1	18661	-0.42643678188323975	-0.13351469	Yes	
row_123	POLH	18664	-0.4267125427722931	-0.1284165	Yes	
row_124	ZMAT3	18866	-0.4709068536758423	-0.1315924	Yes	
row_125	KLK8	19001	-0.5081456899642944	-0.13198254	Yes	
row_126	PRMT2	19014	-0.5126387476921082	-0.12730013	Yes	
row_127	FBXW7	19115	-0.5387632846832275	-0.12627661	Yes	
row_128	TSC22D1	19267	-0.583797812461853	-0.12737359	Yes	
row_129	PVT1	19393	-0.6237824559211731	-0.12738954	Yes	
row_130	RAP2B	19478	-0.6575967669487	-0.12570077	Yes	
row_131	BMP2	19710	-0.7407434582710266	-0.130124	Yes	
row_132	GLS2	19829	-0.7903836965560913	-0.1298489	Yes	
row_133	KLF4	19846	-0.799310028553009	-0.1253328	Yes	
row_134	RHBDF2	19909	-0.8255101442337036	-0.12272932	Yes	
row_135	NOTCH1	20178	-0.9451478719711304	-0.12869096	Yes	
row_136	RACK1	20253	-0.9784858822822571	-0.1265864	Yes	
row_137	SAT1	20499	-1.1291468143463135	-0.13159175	Yes	
row_138	TOB1	20570	-1.1752042770385742	-0.12932087	Yes	
row_139	DDB2	20589	-1.187901496887207	-0.12488794	Yes	
row_140	APP	20848	-1.3749479055404663	-0.1304338	Yes	
row_141	JUN	20862	-1.3881938457489014	-0.12579298	Yes	
row_142	ITGB4	20968	-1.490298867225647	-0.12497735	Yes	
row_143	ZFP36L1	20999	-1.5278184413909912	-0.121043354	Yes	
row_144	PLK3	21057	-1.5934661626815796	-0.11823197	Yes	
row_145	MAPKAPK3	21085	-1.6237543821334839	-0.11417323	Yes	
row_146	ACVR1B	21188	-1.727020502090454	-0.11323287	Yes	
row_147	DEF6	21294	-1.8759360313415527	-0.11241725	Yes	
row_148	SESN1	21306	-1.8883650302886963	-0.10769327	Yes	
row_149	RXRA	21310	-1.8904274702072144	-0.10263666	Yes	
row_150	TXNIP	21385	-1.983728289604187	-0.10053211	Yes	
row_151	FOXO3	21453	-2.0717411041259766	-0.09813651	Yes	
row_152	BAIAP2	21561	-2.231938600540161	-0.09740403	Yes	
row_153	TNFSF9	21565	-2.242713212966919	-0.09234742	Yes	
row_154	PROCR	21812	-2.721548557281494	-0.09739434	Yes	
row_155	BTG2	21944	-3.030088424682617	-0.09765975	Yes	
row_156	CDKN1A	22188	-3.8091721534729004	-0.10258194	Yes	
row_157	FAM162A	22193	-3.836822986602783	-0.0975669	Yes	
row_158	FGF13	22242	-4.028059959411621	-0.09438132	Yes	
row_159	HDAC3	22291	-4.251757621765137	-0.091195725	Yes	
row_160	RPS12	22329	-4.44043493270874	-0.08755278	Yes	
row_161	GM2A	22413	-4.812410831451416	-0.08582243	Yes	
row_162	FAS	22417	-4.8459978103637695	-0.08076582	Yes	
row_163	JAG2	22422	-4.900781154632568	-0.07575078	Yes	
row_164	GPX2	22440	-5.003921985626221	-0.07127627	Yes	
row_165	CLCA2	22466	-5.167321681976318	-0.06713438	Yes	
row_166	S100A4	22536	-5.629389762878418	-0.064821936	Yes	
row_167	VDR	22540	-5.657641887664795	-0.059765324	Yes	
row_168	TP53	22695	-6.719432353973389	-0.06098704	Yes	
row_169	ABAT	22721	-6.957607269287109	-0.05684515	Yes	
row_170	SLC35D1	22870	-8.353816986083984	-0.057817392	Yes	
row_171	DDIT4	23056	-10.535594940185547	-0.060328033	Yes	
row_172	TGFB1	23171	-12.378412246704102	-0.059886616	Yes	
row_173	DGKA	23341	-15.932188987731934	-0.061732	Yes	
row_174	FOS	23389	-16.91425323486328	-0.05850484	Yes	
row_175	EI24	23724	-33.718292236328125	-0.067210644	Yes	
row_176	ZNF365	23731	-34.24189758300781	-0.06227877	Yes	
row_177	HBEGF	23739	-35.015750885009766	-0.05738847	Yes	
row_178	SDC1	23801	-41.427188873291016	-0.0547434	Yes	
row_179	PERP	23833	-44.131752014160156	-0.050850984	Yes	
row_180	SERPINB5	23837	-44.703853607177734	-0.04579437	Yes	
row_181	INHBB	23889	-50.83715057373047	-0.042733517	Yes	
row_182	CD82	23920	-55.213436126708984	-0.03879952	Yes	
row_183	SFN	23961	-61.37424850463867	-0.035281304	Yes	
row_184	VWA5A	23986	-68.92701721191406	-0.031097837	Yes	
row_185	TM4SF1	24028	-80.8192367553711	-0.027621202	Yes	
row_186	CEBPA	24035	-83.06410217285156	-0.022689324	Yes	
row_187	TP63	24066	-95.41040802001953	-0.018755326	Yes	
row_188	TGFA	24074	-98.67707061767578	-0.013865028	Yes	
row_189	ST14	24077	-99.1564712524414	-0.008766837	Yes	
row_190	STOM	24115	-114.27745056152344	-0.005123888	Yes	
row_191	PITPNC1	24146	-142.50376892089844	-0.0011898904	Yes	
row_192	CCND2	24173	-179.17657470703125	0.0029104203	Yes	
