NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPAN8	116	159.13265991210938	0.005949574	Yes	
row_1	GLA	315	54.148807525634766	0.008503844	Yes	
row_2	ARFGEF2	471	33.8006477355957	0.012838578	Yes	
row_3	SH3GL2	726	18.878437042236328	0.013074103	Yes	
row_4	NAPA	777	17.74406623840332	0.021756483	Yes	
row_5	CLTC	835	15.648391723632812	0.03014902	Yes	
row_6	ABCA1	1047	11.24023723602295	0.03216501	Yes	
row_7	IGF2R	1083	10.696377754211426	0.041468482	Yes	
row_8	SCAMP3	1246	8.153679847717285	0.045513373	Yes	
row_9	SEC22B	1390	6.71533727645874	0.05034498	Yes	
row_10	STAM	1635	4.837349891662598	0.050994568	Yes	
row_11	COPB1	1745	4.190846920013428	0.057233986	Yes	
row_12	CLTA	1932	3.3503832817077637	0.06028513	Yes	
row_13	OCRL	1979	3.143372058868408	0.06913313	Yes	
row_14	RAB9A	1993	3.100907564163208	0.07934754	Yes	
row_15	GOSR2	2075	2.8386194705963135	0.086746335	Yes	
row_16	AP2M1	2208	2.4853835105895996	0.09203341	Yes	
row_17	ADAM10	2272	2.3329312801361084	0.10017751	Yes	
row_18	M6PR	2306	2.2638068199157715	0.1095638	Yes	
row_19	ERGIC3	2489	1.9175539016723633	0.11278056	Yes	
row_20	LAMP2	2653	1.6394680738449097	0.11678405	Yes	
row_21	TSG101	2675	1.6031051874160767	0.1266672	Yes	
row_22	LMAN1	2703	1.5574806928634644	0.13630193	Yes	
row_23	GOLGA4	2744	1.494323968887329	0.14539836	Yes	
row_24	CTSC	3001	1.194676399230957	0.14555109	Yes	
row_25	VAMP3	3063	1.1294491291046143	0.153778	Yes	
row_26	AP2S1	3275	0.9548963308334351	0.15579398	Yes	
row_27	COG2	3340	0.9174649715423584	0.16389668	Yes	
row_28	TPD52	3524	0.8052195906639099	0.16707204	Yes	
row_29	CD63	3976	0.5869699120521545	0.15915056	No	
row_30	ATP6V1H	4219	0.49018555879592896	0.15988295	No	
row_31	SCRN1	4736	0.3415257930755615	0.14927007	No	
row_32	SNAP23	4821	0.3246903717517853	0.15654464	No	
row_33	RAB5A	4904	0.306087464094162	0.16390201	No	
row_34	ARF1	6910	0.07491836696863174	0.09163537	No	
row_35	SOD1	6970	0.07086135447025299	0.0999451	No	
row_36	TMED2	7070	0.06645487993955612	0.10659857	No	
row_37	CLN5	8048	0.028530841693282127	0.07689745	No	
row_38	ANP32E	8087	0.027502097189426422	0.08607671	No	
row_39	RAB2A	8559	0.017196984961628914	0.077327095	No	
row_40	DNM1L	8760	0.013676775619387627	0.07979855	No	
row_41	RER1	9278	0.006550396326929331	0.06914426	No	
row_42	GNAS	9534	0.0041232542134821415	0.069338374	No	
row_43	SSPN	9643	0.0033435903023928404	0.0756192	No	
row_44	RAB14	9740	0.00279286690056324	0.082396895	No	
row_45	VPS4B	10102	0.0012052248930558562	0.078201964	No	
row_46	SEC24D	10154	0.0010552607709541917	0.08684294	No	
row_47	ATP1A1	10222	8.398005156777799E-4	0.094821416	No	
row_48	MON2	10469	2.601781452540308E-4	0.09538819	No	
row_49	CAV2	11698	-9.208437986671925E-4	0.05529412	No	
row_50	KRT18	11709	-9.78618860244751E-4	0.065632746	No	
row_51	YKT6	11816	-0.0013374906266108155	0.07199638	No	
row_52	PPT1	11898	-0.0016489085974171758	0.07939517	No	
row_53	TMX1	12101	-0.0025944102089852095	0.081783816	No	
row_54	RPS6KA3	12241	-0.003542635589838028	0.08678105	No	
row_55	BET1	12269	-0.0037348861806094646	0.09641577	No	
row_56	SNX2	12489	-0.005778301972895861	0.09810051	No	
row_57	STX16	12548	-0.006247570738196373	0.10645164	No	
row_58	SGMS1	12700	-0.007545028813183308	0.110952	No	
row_59	COPE	12797	-0.008353128097951412	0.1177297	No	
