NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP1R15A	864	14.893318176269531	-0.016847838	No	
row_1	SKIL	880	14.48696517944336	0.0014000224	No	
row_2	KLF10	1085	10.691506385803223	0.011835059	No	
row_3	SMAD6	1715	4.356293678283691	0.0047015785	No	
row_4	TGFBR1	2481	1.9305113554000854	-0.008053828	No	
row_5	BMPR2	2719	1.5389796495437622	0.0010170651	No	
row_6	CDK9	3850	0.6413525342941284	-0.026826598	No	
row_7	FNTA	4200	0.4967421889305115	-0.022385525	No	
row_8	ENG	5396	0.21213877201080322	-0.052916136	No	
row_9	SERPINE1	5462	0.20215491950511932	-0.036735162	No	
row_10	RHOA	5821	0.15993116796016693	-0.032666128	No	
row_11	SKI	6539	0.09788034856319427	-0.043437324	No	
row_12	MAP3K7	6716	0.08539921045303345	-0.031844836	No	
row_13	ARID4B	7000	0.06944143772125244	-0.024675475	No	
row_14	SMAD7	7804	0.03508409485220909	-0.039001714	No	
row_15	TGIF1	9880	0.002098045079037547	-0.10590949	No	
row_16	HDAC1	10417	3.6603808985091746E-4	-0.10919856	No	
row_17	ACVR1	10725	2.154539106413722E-5	-0.10302131	No	
row_18	XIAP	11208	-7.39675379008986E-5	-0.10407815	No	
row_19	PPM1A	11514	-5.048260209150612E-4	-0.09781822	No	
row_20	TJP1	12526	-0.006033339537680149	-0.1207427	No	
row_21	THBS1	12826	-0.008633585646748543	-0.114234746	No	
row_22	TRIM33	12831	-0.008676637895405293	-0.09553217	No	
row_23	APC	13133	-0.012769604101777077	-0.08910689	No	
row_24	UBE2D3	14540	-0.04448629543185234	-0.12835975	No	
row_25	SMAD3	14958	-0.059932317584753036	-0.12672964	No	
row_26	CTNNB1	15868	-0.10298379510641098	-0.14543767	No	
row_27	HIPK2	15877	-0.10344240814447403	-0.12690045	No	
row_28	IFNGR2	16560	-0.14913026988506317	-0.13622484	No	
row_29	SPTBN1	17377	-0.22740358114242554	-0.15108846	Yes	
row_30	NCOR2	17554	-0.2491610050201416	-0.13949597	Yes	
row_31	SMAD1	18218	-0.34404629468917847	-0.14803493	Yes	
row_32	JUNB	18410	-0.3788723945617676	-0.1370625	Yes	
row_33	PPP1CA	18744	-0.44616612792015076	-0.13196002	Yes	
row_34	FURIN	19410	-0.6273988485336304	-0.14058167	Yes	
row_35	BMP2	19710	-0.7407434582710266	-0.1340737	Yes	
row_36	SLC20A1	20325	-1.0170526504516602	-0.14058712	Yes	
row_37	ID3	20911	-1.4293404817581177	-0.14590174	Yes	
row_38	WWTR1	21229	-1.789516806602478	-0.14013787	Yes	
row_39	FKBP1A	21693	-2.4739084243774414	-0.14040929	Yes	
row_40	CDH1	21839	-2.7937076091766357	-0.12753533	Yes	
row_41	BMPR1A	21896	-2.9182255268096924	-0.110982314	Yes	
row_42	CDKN1C	22670	-6.5374860763549805	-0.124068424	Yes	
row_43	SMURF1	22719	-6.935957908630371	-0.10718471	Yes	
row_44	SMURF2	22902	-8.66063404083252	-0.095840245	Yes	
row_45	TGFB1	23171	-12.378412246704102	-0.08805082	Yes	
row_46	BCAR3	23246	-13.780978202819824	-0.07224188	Yes	
row_47	ID1	23313	-15.293296813964844	-0.056102246	Yes	
row_48	PMEPA1	23432	-18.688499450683594	-0.042112168	Yes	
row_49	RAB31	23893	-52.0716667175293	-0.042259578	Yes	
row_50	ID2	24031	-81.80953979492188	-0.029054917	Yes	
row_51	NOG	24043	-85.31244659423828	-0.010641707	Yes	
row_52	LTBP2	24214	-290.6279296875	0.0011988111	Yes	
