NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP5	91	190.5023651123047	0.0034713834	No	
row_1	COL5A2	156	119.88440704345703	0.00806282	No	
row_2	DAB2	242	78.28167724609375	0.011783103	No	
row_3	DLG1	461	34.782806396484375	0.00998609	No	
row_4	PLPP3	674	20.809080123901367	0.008437975	No	
row_5	COL3A1	742	18.567567825317383	0.012904962	No	
row_6	INSIG1	760	18.16951560974121	0.01944612	No	
row_7	KALRN	832	15.716705322265625	0.023747172	No	
row_8	FZD2	912	13.739107131958008	0.027716357	No	
row_9	ABCC1	927	13.542767524719238	0.034381967	No	
row_10	CDC42BPA	1163	9.412469863891602	0.03187973	No	
row_11	NRP1	1267	7.918044567108154	0.034853313	No	
row_12	ACVR2A	1310	7.367054462432861	0.040357385	No	
row_13	ADD3	1336	7.187831401824951	0.046566676	No	
row_14	PTPRM	1395	6.6634697914123535	0.051407013	No	
row_15	VLDLR	1516	5.755926609039307	0.053675376	No	
row_16	PDGFRB	1520	5.708085060119629	0.060797304	No	
row_17	DDAH1	1719	4.345057487487793	0.059829958	No	
row_18	PTGFR	1726	4.298811435699463	0.06682743	No	
row_19	NOTCH2	2010	3.057854413986206	0.062333997	No	
row_20	DYRK1A	2228	2.428013801574707	0.060578465	No	
row_21	LAMC1	2242	2.407217025756836	0.06728556	No	
row_22	NEK7	2384	2.105147361755371	0.06868277	No	
row_23	PIK3CD	2459	1.9709737300872803	0.07285937	No	
row_24	MGMT	2578	1.7610043287277222	0.0752107	No	
row_25	RBPMS	2627	1.684309720993042	0.080465876	No	
row_26	AKT3	2729	1.5130846500396729	0.083522424	No	
row_27	MAP1B	3015	1.1760900020599365	0.07894602	No	
row_28	PLCB4	3114	1.0903518199920654	0.08212701	No	
row_29	BHLHE40	3383	0.8849297761917114	0.078255825	No	
row_30	RND3	3506	0.8146738409996033	0.08044122	No	
row_31	MAGI2	3816	0.6623565554618835	0.074869215	No	
row_32	NFKB1	4047	0.5574640035629272	0.0725744	No	
row_33	DLC1	4122	0.5264432430267334	0.076751	No	
row_34	ADGRL2	4373	0.43821844458580017	0.07362652	No	
row_35	MAPK14	4434	0.42021533846855164	0.078383885	No	
row_36	SLC22A18	4580	0.3829767107963562	0.07961517	No	
row_37	SDC2	4694	0.3515557050704956	0.08217391	No	
row_38	PPARG	4763	0.33791565895080566	0.08659942	No	
row_39	LDLR	4846	0.3192141056060791	0.09044415	No	
row_40	COL1A2	4915	0.3039577603340149	0.09486965	No	
row_41	GJA1	5218	0.2426912486553192	0.08958803	No	
row_42	SERPINE1	5462	0.20215491950511932	0.08675393	No	
row_43	SLC7A1	5839	0.1586967259645462	0.07840253	No	
row_44	NIPBL	5950	0.14750570058822632	0.08108573	No	
row_45	ITGB3	6481	0.10151559114456177	0.06634588	No	
row_46	CDK13	6497	0.10033626854419708	0.07297	No	
row_47	ATRX	6657	0.08896370977163315	0.07362051	No	
row_48	ATP2B4	6694	0.08662144839763641	0.07937349	No	
row_49	SYNJ2	6847	0.07841672748327255	0.080314375	No	
row_50	SCN8A	6911	0.07484811544418335	0.084947295	No	
row_51	BDNF	7021	0.06864991039037704	0.08767198	No	
row_52	SFMBT1	7553	0.04462068900465965	0.07289065	No	
row_53	PMP22	7718	0.03811352699995041	0.07333373	No	
row_54	CDON	7746	0.03733839467167854	0.07946006	No	
row_55	SMAD7	7804	0.03508409485220909	0.08434188	No	
row_56	ATXN1	7897	0.032577034085989	0.08777178	No	
row_57	PEX14	7993	0.03002074733376503	0.09107723	No	
row_58	APBB2	8344	0.02125951275229454	0.0838044	No	
row_59	CITED2	8580	0.016758177429437637	0.081302166	No	
row_60	SYNE1	8684	0.014991788193583488	0.08427575	No	
row_61	MRPS31	8814	0.012954751029610634	0.08617076	No	
row_62	NR1D2	8880	0.012044872157275677	0.09072071	No	
row_63	TFPI	9157	0.007899437099695206	0.08651766	No	
row_64	CAP2	9651	0.0032852396834641695	0.0733127	No	
row_65	YTHDC1	10381	4.318928986322135E-4	0.05031764	No	
row_66	BCKDHB	10711	3.534326970111579E-5	0.043915965	No	
row_67	SCHIP1	11207	-7.377596921287477E-5	0.030628037	No	
row_68	FBLN5	11285	-1.6433693235740066E-4	0.034680188	No	
row_69	DBP	11570	-6.007567280903459E-4	0.030145265	No	
row_70	TGFBR3	12357	-0.004645730368793011	0.0047856537	No	
row_71	TJP1	12526	-0.006033339537680149	0.0050628115	No	
row_72	CDKN1B	12766	-0.008112011477351189	0.0023946448	No	
row_73	NFIB	12991	-0.010767804458737373	3.4872966E-4	No	
row_74	AMPH	13362	-0.016542136669158936	-0.0077537685	No	
row_75	PRDM2	13368	-0.016616402193903923	-7.1480894E-4	No	
row_76	FYN	13397	-0.017049843445420265	0.0053700316	No	
row_77	SPOP	13454	-0.017900537699460983	0.010293336	No	
row_78	KIT	13671	-0.021545203402638435	0.008579288	No	
row_79	PTEN	13702	-0.02212703786790371	0.014581162	No	
row_80	F3	13754	-0.02325413189828396	0.019711882	No	
row_81	ATP2B1	13927	-0.027447037398815155	0.019823106	No	
row_82	CELF2	14633	-0.04807116836309433	-0.0021763463	No	
row_83	ANXA2	14775	-0.053165003657341	-7.791353E-4	No	
row_84	PHF3	14880	-0.05705804005265236	0.002152963	No	
row_85	SMAD3	14958	-0.059932317584753036	0.0062051145	No	
row_86	ERBB2	15216	-0.07010635733604431	0.002790246	No	
row_87	AGGF1	15375	-0.07736147195100784	0.0034822382	No	
row_88	COL1A1	15849	-0.10182444751262665	-0.008893055	No	
row_89	EFEMP1	16360	-0.13429655134677887	-0.022803236	No	
row_90	VAV2	17231	-0.21184396743774414	-0.05164746	No	
row_91	WDR37	17787	-0.27987462282180786	-0.067424394	No	
row_92	PRKCA	17946	-0.30011528730392456	-0.0667324	No	
row_93	MGLL	18716	-0.43817847967147827	-0.091386795	No	
row_94	TGFBR2	18847	-0.46741798520088196	-0.08953327	No	
row_95	MYC	18855	-0.4696723520755768	-0.08257727	No	
row_96	PDLIM5	19462	-0.6492160558700562	-0.100469865	Yes	
row_97	MAP2K5	19493	-0.660251796245575	-0.09446799	Yes	
row_98	SNAI2	19562	-0.6900935173034668	-0.09004249	Yes	
row_99	ATP2C1	19632	-0.7083646655082703	-0.08565847	Yes	
row_100	IGF1R	19826	-0.7895258069038391	-0.0864184	Yes	
row_101	SIPA1L1	20008	-0.8660224676132202	-0.086680524	Yes	
row_102	PTPN21	20046	-0.8837195634841919	-0.080969036	Yes	
row_103	GRK5	20667	-1.2341350317001343	-0.09944239	Yes	
row_104	MTA1	20854	-1.3791710138320923	-0.09991194	Yes	
row_105	PRKCE	20938	-1.4540413618087769	-0.09610869	Yes	
row_106	CAV1	21032	-1.558951735496521	-0.09272027	Yes	
row_107	RUNX1	21072	-1.6066579818725586	-0.08709175	Yes	
row_108	DUSP1	21113	-1.6471418142318726	-0.08150471	Yes	
row_109	LPAR1	21196	-1.7345341444015503	-0.07765998	Yes	
row_110	RASA2	21258	-1.8393925428390503	-0.07294409	Yes	
row_111	SCAF8	21298	-1.8785202503204346	-0.06731556	Yes	
row_112	RXRA	21310	-1.8904274702072144	-0.060525507	Yes	
row_113	ADORA2B	21460	-2.081505060195923	-0.059460163	Yes	
row_114	ANXA4	21601	-2.2960968017578125	-0.05802147	Yes	
row_115	INPP4B	21682	-2.459271192550659	-0.05409377	Yes	
row_116	BMPR1A	21896	-2.9182255268096924	-0.055683367	Yes	
row_117	PIK3R3	22003	-3.185267686843872	-0.052834235	Yes	
row_118	SRI	22254	-4.092031478881836	-0.055958718	Yes	
row_119	ZMIZ1	22321	-4.410394668579102	-0.05145025	Yes	
row_120	IRS1	22375	-4.628881454467773	-0.046402495	Yes	
row_121	HAS2	22581	-5.923533916473389	-0.047660224	Yes	
row_122	RGS4	22646	-6.4145188331604	-0.04306879	Yes	
row_123	MIOS	22740	-7.1195807456970215	-0.039680373	Yes	
row_124	ATRN	22773	-7.378495216369629	-0.033761464	Yes	
row_125	NR3C1	22789	-7.50740385055542	-0.027137341	Yes	
row_126	PIAS3	22831	-7.896454811096191	-0.021591784	Yes	
row_127	KCNMA1	22954	-9.209450721740723	-0.01940639	Yes	
row_128	ARHGEF9	22974	-9.403111457824707	-0.012948197	Yes	
row_129	MET	23115	-11.422835350036621	-0.011509502	Yes	
row_130	ID1	23313	-15.293296813964844	-0.012435365	Yes	
