NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	183	-0.20025496	-3.179753	0.0	0.0	0.0	3264	tags=33%, list=13%, signal=38%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	193	-0.19101878	-3.1451395	0.0	0.0	0.0	7466	tags=50%, list=31%, signal=71%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	188	-0.1798021	-2.777517	0.0	0.0	0.0	3800	tags=34%, list=16%, signal=39%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	175	-0.1725781	-2.7546911	0.0	0.0	0.0	2497	tags=27%, list=10%, signal=30%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	168	-0.16716903	-2.4881566	0.0	2.2714287E-4	0.002	7521	tags=48%, list=31%, signal=69%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	180	-0.123998925	-1.945259	0.008080808	0.017453628	0.157	6580	tags=39%, list=27%, signal=54%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	127	-0.14775245	-1.9229234	0.013752456	0.017560782	0.181	8846	tags=51%, list=36%, signal=80%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	38	-0.22870365	-1.6920886	0.03950104	0.053029522	0.504	3397	tags=37%, list=14%, signal=43%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	138	-0.10771624	-1.4672683	0.07539683	0.13438721	0.873	4783	tags=30%, list=20%, signal=38%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	-0.16995639	-1.4612836	0.083333336	0.12396353	0.883	6868	tags=45%, list=28%, signal=63%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	186	-0.09046729	-1.42857	0.09561753	0.13015452	0.914	7470	tags=40%, list=31%, signal=57%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	198	-0.08777621	-1.4221902	0.10330579	0.12248274	0.924	11849	tags=58%, list=49%, signal=112%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	86	-0.09346897	-1.0069889	0.42362526	0.490599	1.0	18886	tags=87%, list=78%, signal=393%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	40	-0.124066256	-0.93419343	0.5272727	0.5596113	1.0	8514	tags=48%, list=35%, signal=73%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	-0.1378844	-0.91422534	0.5310621	0.5496757	1.0	7168	tags=43%, list=30%, signal=61%	
