NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-B	11	624.1608276367188	0.01954534	Yes	
row_1	TAP1	69	240.75120544433594	0.037189387	Yes	
row_2	B2M	118	155.6141357421875	0.05520542	Yes	
row_3	HLA-F	223	87.0169448852539	0.07090683	Yes	
row_4	HLA-C	291	59.123146057128906	0.08813755	Yes	
row_5	HLA-A	379	43.37940216064453	0.10454162	Yes	
row_6	NFYB	380	43.062042236328125	0.12454162	Yes	
row_7	PSME1	385	42.69231414794922	0.1443763	Yes	
row_8	CTSS	417	39.72042465209961	0.16309498	Yes	
row_9	CALR	782	17.512205123901367	0.16804993	Yes	
row_10	PDIA3	1142	9.767126083374023	0.17321153	Yes	
row_11	HLA-E	1236	8.337691307067871	0.1893676	Yes	
row_12	TAPBP	1311	7.362537384033203	0.20630899	Yes	
row_13	CD8A	1351	7.053627967834473	0.22469702	Yes	
row_14	CREB1	1517	5.749574661254883	0.23787716	Yes	
row_15	TAP2	1633	4.855977535247803	0.2531239	Yes	
row_16	HSPA5	1637	4.836238861083984	0.2729999	Yes	
row_17	PSME2	1708	4.382696628570557	0.29010662	Yes	
row_18	HSPA1B	2009	3.059295892715454	0.29770687	Yes	
row_19	HLA-DOB	2616	1.703727126121521	0.29265934	Yes	
row_20	CD74	2658	1.6333959102630615	0.3109647	Yes	
row_21	RFXAP	2932	1.2481459379196167	0.3196809	Yes	
row_22	KLRC2	3026	1.1621190309524536	0.33583698	Yes	
row_23	LGMN	3050	1.1371898651123047	0.35488632	Yes	
row_24	CANX	3147	1.0611969232559204	0.3709184	Yes	
row_25	HSP90AB1	3944	0.6019246578216553	0.35801768	Yes	
row_26	RFX5	4125	0.5251596570014954	0.3705778	Yes	
row_27	PSME3	4498	0.40410155057907104	0.37520212	Yes	
row_28	CIITA	4615	0.37280499935150146	0.39040753	Yes	
row_29	CTSL	5610	0.18540671467781067	0.36932296	No	
row_30	HLA-DRA	5633	0.18264968693256378	0.38841364	No	
row_31	HSP90AA1	6878	0.07709454745054245	0.35699594	No	
row_32	HLA-DPA1	7653	0.03978535905480385	0.34500453	No	
row_33	RFXANK	8162	0.025339534506201744	0.34400758	No	
row_34	IFI30	8728	0.014288607984781265	0.3406547	No	
row_35	LTA	8865	0.01218852587044239	0.35503346	No	
row_36	HLA-DMB	8990	0.010492242872714996	0.3699082	No	
row_37	CTSB	9867	0.002138579962775111	0.3537009	No	
row_38	HSPA8	10590	1.5114451525732875E-4	0.34385878	No	
row_39	HLA-DRB1	13507	-0.01882188208401203	0.24333304	No	
row_40	HSPA1L	13960	-0.02828400209546089	0.24465072	No	
row_41	HLA-DMA	15824	-0.10078869014978409	0.18764816	No	
row_42	HSPA4	17415	-0.23194846510887146	0.14192939	No	
row_43	HLA-DQB1	19365	-0.6140488386154175	0.081372224	No	
row_44	HSPA6	19665	-0.7220194339752197	0.08901379	No	
row_45	HSPA2	20350	-1.0292969942092896	0.080742314	No	
row_46	NFYA	21419	-2.024357795715332	0.05659914	No	
row_47	NFYC	23057	-10.537797927856445	0.008937738	No	
row_48	HSPA1A	23062	-10.605584144592285	0.028772406	No	
row_49	HLA-G	23969	-63.529945373535156	0.011325106	No	
