NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD4	199	96.19297790527344	0.0121833235	No	
row_1	FZD1	528	28.73541259765625	0.019034967	No	
row_2	FZD2	912	13.739107131958008	0.023613414	No	
row_3	AXIN1	1360	6.9969611167907715	0.025546685	No	
row_4	BMP4	1594	5.181392669677734	0.03632476	No	
row_5	WNT3	1820	3.839336395263672	0.04743348	No	
row_6	DVL2	1863	3.6078622341156006	0.066105746	No	
row_7	WNT6	2273	2.3299641609191895	0.06960959	No	
row_8	WNT11	2300	2.2727699279785156	0.08894315	No	
row_9	WNT5A	2590	1.7518553733825684	0.0974067	No	
row_10	WNT4	4379	0.4356978237628937	0.0439153	No	
row_11	FZD6	5014	0.27958980202674866	0.038119704	No	
row_12	FZD7	5966	0.14571993052959442	0.019222226	No	
row_13	GSK3B	6434	0.10521794110536575	0.020328881	No	
row_14	DVL3	6459	0.10342568904161453	0.039745104	No	
row_15	FZD8	8449	0.019366223365068436	-0.022053797	No	
row_16	FZD9	10157	0.001033721026033163	-0.0721974	No	
row_17	AXIN2	10636	8.833318861434236E-5	-0.071545385	No	
row_18	HHIP	12105	-0.0026314742863178253	-0.11181091	No	
row_19	GLI1	12446	-0.0053726015612483025	-0.105455235	No	
row_20	FZD5	12951	-0.010189620777964592	-0.105877824	No	
row_21	APC	13133	-0.012769604101777077	-0.092950545	No	
row_22	CTNNB1	15868	-0.10298379510641098	-0.18554093	No	
row_23	GLI2	16837	-0.17077381908893585	-0.20514104	No	
row_24	STK36	17363	-0.2261158972978592	-0.20643157	Yes	
row_25	LEF1	17509	-0.2435225546360016	-0.19201638	Yes	
row_26	PTCH1	17800	-0.2813737094402313	-0.18359417	Yes	
row_27	WNT10A	18289	-0.35594168305397034	-0.18335545	Yes	
row_28	FZD10	18644	-0.4238751232624054	-0.17757842	Yes	
row_29	SUFU	18804	-0.45876654982566833	-0.16374186	Yes	
row_30	BMP2	19710	-0.7407434582710266	-0.1807381	Yes	
row_31	APC2	19938	-0.8386783003807068	-0.16971205	Yes	
row_32	WNT7A	20506	-1.1341487169265747	-0.17273848	Yes	
row_33	WNT9A	20720	-1.2721304893493652	-0.1611338	Yes	
row_34	WNT5B	20746	-1.2916162014007568	-0.1417589	Yes	
row_35	WNT7B	21343	-1.927828311920166	-0.14598392	Yes	
row_36	WNT10B	21569	-2.2473883628845215	-0.13487521	Yes	
row_37	TCF7L1	21650	-2.396604061126709	-0.11777351	Yes	
row_38	DVL1	21817	-2.730583429336548	-0.10422627	Yes	
row_39	WNT2B	22120	-3.5557146072387695	-0.09630002	Yes	
row_40	PTCH2	22294	-4.278895378112793	-0.0830421	Yes	
row_41	SHH	22637	-6.362034320831299	-0.076769084	Yes	
row_42	TP53	22695	-6.719432353973389	-0.05871678	Yes	
row_43	TCF7	23029	-10.168211936950684	-0.05207179	Yes	
row_44	GLI3	23423	-18.160511016845703	-0.047906652	Yes	
row_45	WNT16	23701	-31.787555694580078	-0.038947135	Yes	
row_46	SMO	23991	-69.81101989746094	-0.030483589	Yes	
row_47	FZD3	24004	-73.06983947753906	-0.010571397	Yes	
row_48	TCF7L2	24058	-91.36444854736328	0.007646231	Yes	
