NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A2	156	119.88440704345703	0.008039807	No	
row_1	COL3A1	742	18.567567825317383	-0.0016659906	No	
row_2	RELN	850	15.360376358032227	0.008400704	No	
row_3	CD47	862	14.931375503540039	0.022438442	No	
row_4	LAMB2	1101	10.44435977935791	0.027086316	No	
row_5	COL5A1	1192	8.986050605773926	0.037856214	No	
row_6	ITGAV	1780	4.010423183441162	0.028067688	No	
row_7	ITGB5	1897	3.46781063079834	0.037762094	No	
row_8	LAMC1	2242	2.407217025756836	0.038025275	No	
row_9	SV2A	2980	1.2115349769592285	0.02203199	No	
row_10	FN1	3713	0.7122308015823364	0.006245531	No	
row_11	COL4A2	3744	0.6979856491088867	0.019497333	No	
row_12	ITGA2B	4096	0.5376088619232178	0.019470956	No	
row_13	VWF	4360	0.44046133756637573	0.023084704	No	
row_14	SDC2	4694	0.3515557050704956	0.023802897	No	
row_15	ITGA1	4837	0.32107725739479065	0.032421816	No	
row_16	COL1A2	4915	0.3039577603340149	0.04372946	No	
row_17	COL4A1	5019	0.2786869704723358	0.053961616	No	
row_18	GP6	5754	0.1686800718307495	0.038092427	No	
row_19	CD36	6005	0.14163169264793396	0.042243917	No	
row_20	ITGA11	6361	0.11122062802314758	0.042052083	No	
row_21	ITGB3	6481	0.10151559114456177	0.051622394	No	
row_22	COL6A1	6536	0.09798366576433182	0.063881435	No	
row_23	AGRN	7516	0.04642924293875694	0.03787781	No	
row_24	THBS3	8195	0.024674834683537483	0.024325063	No	
row_25	THBS4	8273	0.02296268939971924	0.03563271	No	
row_26	ITGA3	8470	0.018881943076848984	0.042017914	No	
row_27	LAMA4	9465	0.004802953451871872	0.015393814	No	
row_28	VTN	11033	0.0	-0.034932457	No	
row_29	THBS1	12826	-0.008633585646748543	-0.09456586	No	
row_30	COL11A2	13195	-0.013844621367752552	-0.095295444	No	
row_31	COL4A4	13610	-0.020623384043574333	-0.09792782	No	
row_32	DAG1	14062	-0.0305714700371027	-0.1020907	No	
row_33	ITGA5	15136	-0.06713266670703888	-0.13198264	No	
row_34	COL6A3	15175	-0.06875794380903244	-0.11906176	No	
row_35	ITGB7	15252	-0.07143855094909668	-0.10771275	No	
row_36	COL1A1	15849	-0.10182444751262665	-0.117873564	No	
row_37	TNN	15892	-0.10399366170167923	-0.10511814	No	
row_38	ITGA7	16453	-0.1408127397298813	-0.11378981	No	
row_39	TNXB	17043	-0.19091792404651642	-0.12366107	No	
row_40	ITGA10	18946	-0.49410879611968994	-0.18784463	No	
row_41	LAMA5	19998	-0.8618072271347046	-0.21682654	No	
row_42	SPP1	20495	-1.1268210411071777	-0.22285084	Yes	
row_43	LAMA2	20622	-1.2111822366714478	-0.21357009	Yes	
row_44	LAMB1	20878	-1.3995327949523926	-0.20962542	Yes	
row_45	ITGA4	20910	-1.4292020797729492	-0.19641499	Yes	
row_46	ITGB4	20968	-1.490298867225647	-0.18428004	Yes	
row_47	HSPG2	21194	-1.73342764377594	-0.17909442	Yes	
row_48	LAMB4	21198	-1.738978385925293	-0.16472577	Yes	
row_49	COL5A3	21203	-1.7425087690353394	-0.15039846	Yes	
row_50	SV2B	21422	-2.028966188430786	-0.1449233	Yes	
row_51	LAMA3	21748	-2.579200029373169	-0.14387418	Yes	
row_52	ITGB1	21974	-3.085472822189331	-0.13868856	Yes	
row_53	TNC	22044	-3.3282105922698975	-0.12705	Yes	
row_54	THBS2	22285	-4.206352710723877	-0.122484855	Yes	
row_55	HMMR	22520	-5.492339611053467	-0.11767152	Yes	
row_56	ITGB8	22606	-6.120256423950195	-0.106694795	Yes	
row_57	ITGA6	22736	-7.059847831726074	-0.09753813	Yes	
row_58	ITGA2	22752	-7.236333847045898	-0.083665855	Yes	
row_59	LAMA1	23139	-11.735275268554688	-0.085140005	Yes	
row_60	CD44	23178	-12.521074295043945	-0.072219126	Yes	
row_61	LAMB3	23225	-13.259393692016602	-0.05962916	Yes	
row_62	LAMC2	23296	-14.916740417480469	-0.04803196	Yes	
row_63	COL6A2	23339	-15.880167007446289	-0.03527654	Yes	
row_64	SDC3	23436	-18.722816467285156	-0.02475483	Yes	
row_65	COL4A6	23439	-18.772558212280273	-0.010344806	Yes	
row_66	SDC4	23563	-22.983022689819336	-9.399524E-4	Yes	
row_67	SDC1	23801	-41.427188873291016	0.0037492858	Yes	
row_68	ITGB6	23864	-47.67965316772461	0.015677407	Yes	
