NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-B	11	624.1608276367188	0.005290126	No	
row_1	HLA-F	223	87.0169448852539	0.0022711535	No	
row_2	DAB2	242	78.28167724609375	0.007270461	No	
row_3	EHD4	250	73.09728240966797	0.012726769	No	
row_4	FLT1	269	66.62992858886719	0.017726077	No	
row_5	HLA-C	291	59.123146057128906	0.022600748	No	
row_6	HLA-A	379	43.37940216064453	0.024733417	No	
row_7	AP2A2	542	27.826576232910156	0.023750173	No	
row_8	SH3GL2	726	18.878437042236328	0.021894474	No	
row_9	CLTC	835	15.648391723632812	0.023154687	No	
row_10	PARD6B	1042	11.30855941772461	0.020343442	No	
row_11	CHMP5	1185	9.103412628173828	0.020191109	No	
row_12	HLA-E	1236	8.337691307067871	0.023860961	No	
row_13	CXCR4	1269	7.899800777435303	0.028278632	No	
row_14	PIKFYVE	1324	7.242467403411865	0.031782303	No	
row_15	RAB5C	1374	6.866949558258057	0.035493698	No	
row_16	STAM	1635	4.837349891662598	0.030438997	No	
row_17	CHMP4B	1915	3.410146474838257	0.024594931	No	
row_18	CLTA	1932	3.3503832817077637	0.02967733	No	
row_19	HSPA1B	2009	3.059295892715454	0.032266997	No	
row_20	AP2M1	2208	2.4853835105895996	0.029788118	No	
row_21	CBLB	2333	2.203373670578003	0.030383602	No	
row_22	KDR	2451	1.9880266189575195	0.031269908	No	
row_23	GRK4	2468	1.9547457695007324	0.036352307	No	
row_24	EHD2	2583	1.7581806182861328	0.037363246	No	
row_25	EHD1	2655	1.6386818885803223	0.04016064	No	
row_26	TSG101	2675	1.6031051874160767	0.045118403	No	
row_27	USP8	2843	1.3597729206085205	0.04392743	No	
row_28	EPN1	2852	1.3482847213745117	0.049342196	No	
row_29	RUFY1	2995	1.2015405893325806	0.049189862	No	
row_30	PARD6A	3123	1.0823049545288086	0.049660712	No	
row_31	HGS	3209	0.996402382850647	0.05187647	No	
row_32	AP2S1	3275	0.9548963308334351	0.05492314	No	
row_33	CHMP2B	3332	0.9231663942337036	0.05834372	No	
row_34	RNF41	3382	0.8853687047958374	0.062055115	No	
row_35	AP2A1	3583	0.7774113416671753	0.059493143	No	
row_36	PLD1	4028	0.5665729641914368	0.04679407	No	
row_37	EPS15	4085	0.5418277382850647	0.050214652	No	
row_38	ACAP3	4197	0.4975074827671051	0.05135023	No	
row_39	LDLR	4846	0.3192141056060791	0.030175874	No	
row_40	RAB5A	4904	0.306087464094162	0.033554908	No	
row_41	DNM2	5059	0.2694929242134094	0.03290403	No	
row_42	DNM3	5233	0.2411889284849167	0.031463783	No	
row_43	PRKCI	5399	0.2119665890932083	0.030355904	No	
row_44	PIP4K2B	5429	0.20643828809261322	0.03489821	No	
row_45	DNM1	5870	0.1556745022535324	0.022365322	No	
row_46	SH3GL1	6263	0.11877986043691635	0.011826615	No	
row_47	RABEP1	6501	0.09984134137630463	0.00772746	No	
row_48	SNF8	6675	0.0882885605096817	0.006287216	No	
row_49	ERBB4	6691	0.08678441494703293	0.01141116	No	
row_50	SRC	7360	0.05291297286748886	-0.010594103	No	
row_51	VPS37A	7423	0.05036739632487297	-0.0074227965	No	
row_52	PIP5K1C	7554	0.04457828029990196	-0.0070765843	No	
row_53	CHMP4A	7595	0.042342040687799454	-0.0029912775	No	
row_54	GRK3	7642	0.040286559611558914	8.447564E-4	No	
row_55	TRAF6	7964	0.030729567632079124	-0.0067442204	No	
row_56	ARAP3	8084	0.027530310675501823	-0.0059410073	No	
row_57	DNAJC6	8186	0.024834008887410164	-0.0043899757	No	
row_58	ITCH	8379	0.02076285518705845	-0.006619584	No	
row_59	DNM1L	8760	0.013676775619387627	-0.016659744	No	
row_60	HRAS	8794	0.013205569237470627	-0.0122836195	No	
row_61	ARFGAP2	8804	0.013108467683196068	-0.0069104023	No	
row_62	MVB12B	8833	0.01256056223064661	-0.00232655	No	
row_63	SH3GLB1	9077	0.009070397354662418	-0.006674978	No	
row_64	RAB5B	9192	0.007503644097596407	-0.005664038	No	
row_65	PIP5K1B	9493	0.004501620307564735	-0.012380559	No	
row_66	VPS25	9573	0.003827345557510853	-0.009915527	No	
row_67	PSD	9612	0.003475473029538989	-0.0057471287	No	
row_68	LDLRAP1	9618	0.0034496437292546034	-2.0772997E-4	No	
row_69	ARAP1	9783	0.002579504158347845	-0.0012740643	No	
row_70	VPS4B	10102	0.0012052248930558562	-0.008738404	No	
row_71	STAM2	10355	4.746605409309268E-4	-0.013460742	No	
row_72	HSPA8	10590	1.5114451525732875E-4	-0.01743526	No	
row_73	GRK7	10777	1.9350538877915824E-6	-0.019415597	No	
row_74	PDCD6IP	11062	-1.9196411358279875E-6	-0.02546739	No	
row_75	VPS4A	11248	-1.1101558629889041E-4	-0.027406178	No	
row_76	EEA1	11379	-3.0060973949730396E-4	-0.027059967	No	
row_77	ACAP2	11395	-3.1705352012068033E-4	-0.021936024	No	
row_78	GRK1	11549	-5.644441116601229E-4	-0.022545356	No	
row_79	CHMP6	11572	-6.059642764739692E-4	-0.017712232	No	
row_80	ARRB1	11635	-7.516035693697631E-4	-0.014540926	No	
row_81	TFRC	11697	-9.195932652801275E-4	-0.011328074	No	
row_82	ASAP1	11790	-0.0012726770946756005	-0.009403133	No	
row_83	SH3GL3	11969	-0.0019404650665819645	-0.011051104	No	
row_84	WWP1	12044	-0.0023473063483834267	-0.008378344	No	
row_85	RAB11FIP2	12268	-0.0037244176492094994	-0.011895862	No	
row_86	PIP5K1A	12290	-0.003955688327550888	-0.0070211915	No	
row_87	VPS37C	12411	-0.005158991552889347	-0.0062595243	No	
row_88	IQSEC1	12527	-0.0060424283146858215	-0.005290129	No	
row_89	GRK6	12989	-0.010736336000263691	-0.018695476	No	
row_90	GIT2	13156	-0.013084189966320992	-0.0198449	No	
row_91	CHMP1B	13214	-0.014184914529323578	-0.016465867	No	
row_92	PRKCZ	13261	-0.014964180998504162	-0.012629833	No	
row_93	RET	13460	-0.017992746084928513	-0.015108714	No	
row_94	RBSN	13618	-0.020740821957588196	-0.01588423	No	
row_95	SH3KBP1	13665	-0.021395603194832802	-0.012048196	No	
row_96	KIT	13671	-0.021545203402638435	-0.0065087974	No	
row_97	CLTCL1	13726	-0.02255869098007679	-0.0030051274	No	
row_98	HSPA1L	13960	-0.02828400209546089	-0.006938101	No	
row_99	RAB11B	14222	-0.034564144909381866	-0.012034348	No	
row_100	ARFGAP1	14623	-0.04769320413470268	-0.022905419	No	
row_101	ARF6	14687	-0.04983001947402954	-0.019775659	No	
row_102	NTRK1	15160	-0.06816183775663376	-0.033638004	No	
row_103	ACAP1	15337	-0.07575653493404388	-0.035202883	No	
row_104	VPS45	15386	-0.07780405879020691	-0.03144994	No	
row_105	SH3GLB2	15393	-0.07813648879528046	-0.025952088	No	
row_106	EGF	15516	-0.08439525961875916	-0.025273511	No	
row_107	ARFGAP3	15709	-0.09404636174440384	-0.02750312	No	
row_108	IQSEC2	15900	-0.10429775714874268	-0.029649638	No	
row_109	CSF1R	15932	-0.10618641972541809	-0.02519042	No	
row_110	CLTB	15944	-0.10676781088113785	-0.019900294	No	
row_111	FGFR3	16403	-0.13701292872428894	-0.033181004	No	
row_112	PSD2	16446	-0.1405482143163681	-0.029178789	No	
row_113	AP2B1	16630	-0.15468089282512665	-0.031034486	No	
row_114	RAB11FIP3	16710	-0.16110935807228088	-0.028569454	No	
row_115	PARD3	17223	-0.2112906128168106	-0.04409362	No	
row_116	ARAP2	17389	-0.22861063480377197	-0.0452015	No	
row_117	VPS36	17432	-0.2337152063846588	-0.041199286	No	
row_118	MDM2	17572	-0.2505750358104706	-0.041226983	No	
row_119	ARRB2	17610	-0.25529104471206665	-0.03701704	No	
