NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	95	183.63307189941406	0.01220049	Yes	
row_1	ATP6V0A4	182	102.64530944824219	0.024773158	Yes	
row_2	CASP3	482	32.81084060668945	0.02853762	Yes	
row_3	ATP6V1B2	886	14.264290809631348	0.028001364	Yes	
row_4	CXCL1	993	12.047887802124023	0.03974697	Yes	
row_5	ATP6V1G1	1187	9.05343246459961	0.047894858	Yes	
row_6	ATP6V0E1	1566	5.3844122886657715	0.04839243	Yes	
row_7	NFKBIA	1606	5.091718673706055	0.062908694	Yes	
row_8	MAP3K14	1722	4.3180646896362305	0.07428212	Yes	
row_9	ATP6V1C1	1778	4.015355110168457	0.08813673	Yes	
row_10	ATP6V1A	1900	3.4608354568481445	0.099262044	Yes	
row_11	CXCL8	2096	2.7723779678344727	0.10732722	Yes	
row_12	IKBKB	2234	2.4194958209991455	0.117790885	Yes	
row_13	ADAM10	2272	2.3329312801361084	0.13238986	Yes	
row_14	RELA	2329	2.2071430683135986	0.14620312	Yes	
row_15	ATP6AP1	2549	1.8158705234527588	0.15327582	Yes	
row_16	PLCG1	2563	1.8002305030822754	0.16886726	Yes	
row_17	ATP6V0A2	2778	1.4390901327133179	0.17614675	Yes	
row_18	ATP6V1D	2926	1.2570927143096924	0.18619686	Yes	
row_19	IKBKG	3372	0.8964967727661133	0.18392378	Yes	
row_20	ATP6V1E1	3616	0.7668784856796265	0.19000402	Yes	
row_21	ATP6V0D1	4008	0.5744492411613464	0.189964	Yes	
row_22	NFKB1	4047	0.5574640035629272	0.20452161	Yes	
row_23	ATP6V1H	4219	0.49018555879592896	0.21357927	Yes	
row_24	ATP6V0C	4380	0.43494337797164917	0.22309181	Yes	
row_25	MAPK14	4434	0.42021533846855164	0.23702914	Yes	
row_26	PLCG2	4773	0.3357473313808441	0.23918082	Yes	
row_27	LYN	5133	0.2586365342140198	0.2404641	Yes	
row_28	RAC1	5673	0.17766444385051727	0.23430383	No	
row_29	ATP6V1F	7175	0.061251234263181686	0.1883619	No	
row_30	SRC	7360	0.05291297286748886	0.19688196	No	
row_31	NOD1	9405	0.005362750496715307	0.12848532	No	
row_32	ATP6V1C2	9580	0.0037312014028429985	0.13741891	No	
row_33	MAPK9	9989	0.0016249606851488352	0.1366759	No	
row_34	MAP2K4	10054	0.0013688214821740985	0.15015833	No	
row_35	CHUK	11254	-1.1619428551057354E-4	0.11670502	No	
row_36	PAK1	11496	-4.8302244977094233E-4	0.122867964	No	
row_37	TCIRG1	11620	-7.201842963695526E-4	0.13391057	No	
row_38	MAPK12	12459	-0.0054951380006968975	0.115385726	No	
row_39	TJP1	12526	-0.006033339537680149	0.12878546	No	
row_40	ATP6V1G2	13087	-0.012180712074041367	0.12175677	No	
row_41	JAM2	13572	-0.0197902899235487	0.11787091	No	
row_42	ATP6V0E2	13816	-0.024580765515565872	0.123951145	No	
row_43	ATP6V0B	14755	-0.052430324256420135	0.10129099	No	
row_44	CSK	15077	-0.06495640426874161	0.10414569	No	
row_45	PTPRZ1	16242	-0.12562544643878937	0.07213975	No	
row_46	ADAM17	16724	-0.16220717132091522	0.06837795	No	
row_47	ATP6V0A1	18713	-0.43774843215942383	0.002297075	No	
row_48	MAPK11	18865	-0.4707982838153839	0.012181792	No	
row_49	GIT1	19054	-0.5229528546333313	0.020536447	No	
row_50	F11R	19303	-0.5943787097930908	0.026409917	No	
row_51	MAPK13	19482	-0.6580772995948792	0.035178103	No	
row_52	CDC42	20171	-0.9404710531234741	0.022856219	No	
row_53	JUN	20862	-1.3881938457489014	0.010451632	No	
row_54	PTPN11	21354	-1.9451282024383545	0.006276305	No	
row_55	JAM3	21772	-2.6361448764801025	0.005161105	No	
row_56	EGFR	22064	-3.363140344619751	0.009256393	No	
row_57	MAPK8	22156	-3.702256441116333	0.021622295	No	
row_58	MAPK10	22783	-7.463927268981934	0.011864304	No	
row_59	MET	23115	-11.422835350036621	0.014305469	No	
row_60	HBEGF	23739	-35.015750885009766	0.004671536	No	
row_61	ATP6V1E2	24149	-143.9922637939453	0.0038871611	No	
