NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHC3	295	58.709739685058594	-3.0550297E-4	No	
row_1	ELK1	1173	9.269685745239258	-0.02470041	No	
row_2	GRB2	1426	6.358062744140625	-0.023226112	No	
row_3	PIK3R1	1974	3.1625537872314453	-0.03396208	No	
row_4	CBLB	2333	2.203373670578003	-0.036875196	No	
row_5	EIF4EBP1	2414	2.0476315021514893	-0.028281694	No	
row_6	PIK3CD	2459	1.9709737300872803	-0.018198123	No	
row_7	PLCG1	2563	1.8002305030822754	-0.010556607	No	
row_8	AKT3	2729	1.5130846500396729	-0.005481315	No	
row_9	BAD	3283	0.948881208896637	-0.016465627	No	
row_10	ARAF	3551	0.7892308831214905	-0.015612189	No	
row_11	CAMK2B	3706	0.7163751125335693	-0.010081599	No	
row_12	NRAS	4625	0.370421439409256	-0.036173526	No	
row_13	PLCG2	4773	0.3357473313808441	-0.030353202	No	
row_14	MAP2K2	5076	0.2670208215713501	-0.03094844	No	
row_15	PAK3	5440	0.20488998293876648	-0.03406851	No	
row_16	MTOR	5845	0.15830421447753906	-0.038885605	No	
row_17	PRKCG	6317	0.11451797932386398	-0.046475876	No	
row_18	GSK3B	6434	0.10521794110536575	-0.039372437	No	
row_19	ERBB4	6691	0.08678441494703293	-0.0380637	No	
row_20	CRK	6884	0.07669796794652939	-0.03410596	No	
row_21	SRC	7360	0.05291297286748886	-0.041861795	No	
row_22	RPS6KB2	7416	0.05060167610645294	-0.03223352	No	
row_23	NRG1	7591	0.04245409369468689	-0.027530747	No	
row_24	HRAS	8794	0.013205569237470627	-0.065377645	No	
row_25	AKT1	8851	0.012341163121163845	-0.05579076	No	
row_26	PIK3CA	9562	0.003909295424818993	-0.07327341	No	
row_27	KRAS	9789	0.0025441220495849848	-0.07072296	No	
row_28	MAPK9	9989	0.0016249606851488352	-0.06705495	No	
row_29	SOS2	9992	0.0016175340861082077	-0.055232972	No	
row_30	MAP2K4	10054	0.0013688214821740985	-0.045853045	No	
row_31	PAK2	10217	8.505621808581054E-4	-0.04065358	No	
row_32	AKT2	10660	7.018591713858768E-5	-0.04704352	No	
row_33	NRG4	10934	0.0	-0.046438426	No	
row_34	STAT5A	11020	0.0	-0.038051877	No	
row_35	PAK1	11496	-4.8302244977094233E-4	-0.04580771	No	
row_36	ABL2	11681	-8.8070536730811E-4	-0.04151884	No	
row_37	BTC	12223	-0.003364973934367299	-0.052006464	No	
row_38	CDKN1B	12766	-0.008112011477351189	-0.06253548	No	
row_39	MAP2K1	13137	-0.012849205173552036	-0.06594528	No	
row_40	NCK1	13592	-0.020412614569067955	-0.072831914	No	
row_41	SHC4	14021	-0.02969112992286682	-0.07864238	No	
row_42	ERBB2	15216	-0.07010635733604431	-0.11615815	No	
row_43	SOS1	15316	-0.07461699098348618	-0.108351074	No	
row_44	PIK3R2	15391	-0.0780576840043068	-0.099509224	No	
row_45	EGF	15516	-0.08439525961875916	-0.092736915	No	
row_46	MAPK1	16205	-0.12376239150762558	-0.10930897	No	
row_47	RPS6KB1	16954	-0.18226413428783417	-0.12836447	No	
row_48	MAP2K7	17219	-0.21091751754283905	-0.12738687	No	
row_49	MAPK3	17616	-0.25590866804122925	-0.13187283	No	
row_50	PRKCA	17946	-0.30011528730392456	-0.13358562	No	
row_51	ABL1	18825	-0.46311119198799133	-0.15802191	Yes	
row_52	PAK4	18848	-0.46813729405403137	-0.14702775	Yes	
row_53	MYC	18855	-0.4696723520755768	-0.13537134	Yes	
row_54	BRAF	19312	-0.5953294634819031	-0.14234075	Yes	
row_55	NRG2	19594	-0.698888897895813	-0.14206678	Yes	
row_56	GAB1	19742	-0.7507686018943787	-0.13624646	Yes	
row_57	PRKCB	19900	-0.8237526416778564	-0.13084003	Yes	
row_58	PIK3CG	20022	-0.8712494969367981	-0.12394355	Yes	
row_59	CRKL	20067	-0.8929473161697388	-0.11385998	Yes	
row_60	RAF1	20241	-0.971383810043335	-0.10911582	Yes	
row_61	STAT5B	20439	-1.084966778755188	-0.10536503	Yes	
row_62	SHC2	20620	-1.2105090618133545	-0.1009106	Yes	
row_63	JUN	20862	-1.3881938457489014	-0.098981	Yes	
row_64	CBL	20985	-1.511343240737915	-0.09212591	Yes	
row_65	NCK2	21366	-1.9566354751586914	-0.09594962	Yes	
row_66	PIK3R3	22003	-3.185267686843872	-0.11036936	Yes	
row_67	EGFR	22064	-3.363140344619751	-0.10094804	Yes	
row_68	CAMK2A	22078	-3.4222006797790527	-0.08958136	Yes	
row_69	PTK2	22099	-3.5031771659851074	-0.07850441	Yes	
row_70	MAPK8	22156	-3.702256441116333	-0.068917535	Yes	
row_71	CDKN1A	22188	-3.8091721534729004	-0.058295883	Yes	
row_72	PIK3CB	22400	-4.766401767730713	-0.055124566	Yes	
row_73	MAPK10	22783	-7.463927268981934	-0.05903106	Yes	
row_74	SHC1	22799	-7.622358798980713	-0.04774716	Yes	
row_75	ERBB3	22941	-9.042953491210938	-0.041678492	Yes	
row_76	CAMK2G	22952	-9.18734073638916	-0.030187637	Yes	
row_77	PAK6	23249	-13.840167999267578	-0.03053453	Yes	
row_78	CBLC	23440	-18.854473114013672	-0.026494008	Yes	
row_79	CAMK2D	23616	-26.350467681884766	-0.021832623	Yes	
row_80	HBEGF	23739	-35.015750885009766	-0.014977529	Yes	
row_81	EREG	23785	-39.6539306640625	-0.00493535	Yes	
row_82	TGFA	24074	-98.67707061767578	-0.0049511176	Yes	
row_83	AREG	24082	-100.47761535644531	0.006663909	Yes	
