NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST3GAL6	1972	3.171257734298706	-0.03379118	No	
row_1	GCNT2	2893	1.2948890924453735	-0.024152564	No	
row_2	B3GALT2	3738	0.7023710608482361	-0.011376433	No	
row_3	FUT4	8201	0.024514149874448776	-0.14796248	No	
row_4	B4GAT1	8667	0.015280750580132008	-0.11954006	No	
row_5	B3GNT2	10081	0.0012813808862119913	-0.130254	No	
row_6	B4GALT1	10250	7.500751526094973E-4	-0.08957051	No	
row_7	FUT9	14570	-0.04579365625977516	-0.22025308	No	
row_8	B4GALT4	17740	-0.27215689420700073	-0.3034601	Yes	
row_9	ST8SIA1	18129	-0.32738083600997925	-0.27185887	Yes	
row_10	FUT1	18863	-0.47077879309654236	-0.25450033	Yes	
row_11	B4GALT3	20163	-0.9343761205673218	-0.260508	Yes	
row_12	ST3GAL3	20561	-1.170188307762146	-0.22927834	Yes	
row_13	ST3GAL4	21150	-1.6838717460632324	-0.20593373	Yes	
row_14	B3GNT4	21404	-2.0116069316864014	-0.1687593	Yes	
row_15	B4GALT2	22082	-3.434258460998535	-0.1490889	Yes	
row_16	FUT3	22425	-4.913121700286865	-0.115588665	Yes	
row_17	ABO	22667	-6.504260063171387	-0.077918835	Yes	
row_18	B3GNT3	23195	-12.869653701782227	-0.05205597	Yes	
row_19	B3GALT5	23524	-21.567407608032227	-0.017977772	Yes	
row_20	B3GNT5	23841	-44.89212417602539	0.016595824	Yes	
