NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCB2	871	14.699356079101562	-0.016772866	Yes	
row_1	ITPK1	1297	7.529670715332031	-0.015109887	Yes	
row_2	PIKFYVE	1324	7.242467403411865	0.0030461475	Yes	
row_3	INPPL1	1469	6.046102523803711	0.016324537	Yes	
row_4	PLCD3	1473	6.029845714569092	0.0354313	Yes	
row_5	OCRL	1979	3.143372058868408	0.0337874	Yes	
row_6	PIK3C2A	1998	3.0895845890045166	0.052274123	Yes	
row_7	PIK3CD	2459	1.9709737300872803	0.052490342	Yes	
row_8	INPP1	2488	1.917654037475586	0.070563704	Yes	
row_9	PLCG1	2563	1.8002305030822754	0.08673561	Yes	
row_10	PLCB4	3114	1.0903518199920654	0.0832316	Yes	
row_11	IMPA1	3408	0.8714404702186584	0.090350926	Yes	
row_12	INPP5K	3650	0.7482649087905884	0.099619724	Yes	
row_13	IPMK	4020	0.5695056915283203	0.103597514	Yes	
row_14	ITPKB	4599	0.37617355585098267	0.09893609	Yes	
row_15	PLCG2	4773	0.3357473313808441	0.11101574	Yes	
row_16	PIP4K2B	5429	0.20643828809261322	0.103171445	Yes	
row_17	ISYNA1	5926	0.14951957762241364	0.101899564	Yes	
row_18	PIP4K2C	6330	0.11373963207006454	0.10447194	Yes	
row_19	PIK3C3	6352	0.11195078492164612	0.12283465	Yes	
row_20	PLCD4	6519	0.09882058948278427	0.13520364	Yes	
row_21	SYNJ2	6847	0.07841672748327255	0.14091755	Yes	
row_22	PI4KB	7185	0.0609315000474453	0.1462181	Yes	
row_23	PIP5K1C	7554	0.04457828029990196	0.15023723	Yes	
row_24	PLCB3	7967	0.030676651746034622	0.15243758	Yes	
row_25	INPP5J	8067	0.02802446484565735	0.16757609	Yes	
row_26	PIP4K2A	8121	0.026180032640695572	0.18461604	Yes	
row_27	INPP5E	8715	0.014554246328771114	0.17933458	Yes	
row_28	IPPK	8855	0.012312756851315498	0.19281965	Yes	
row_29	ITPKA	9284	0.006509981583803892	0.19435863	Yes	
row_30	PIP5K1B	9493	0.004501620307564735	0.20499152	Yes	
row_31	SYNJ1	9555	0.003991470206528902	0.22170079	Yes	
row_32	PIK3CA	9562	0.003909295424818993	0.24068354	Yes	
row_33	PI4KA	10070	0.0013111690059304237	0.23895697	No	
row_34	PIP5K1A	12290	-0.003955688327550888	0.16646321	No	
row_35	TPI1	12612	-0.006660777144134045	0.17242512	No	
row_36	CDIPT	12873	-0.009205049835145473	0.18090855	No	
row_37	PTEN	13702	-0.02212703786790371	0.16591312	No	
row_38	PIK3C2B	17435	-0.23388880491256714	0.030878026	No	
row_39	PLCE1	18411	-0.37914061546325684	0.009806218	No	
row_40	PIK3CG	20022	-0.8712494969367981	-0.037513938	No	
row_41	ALDH6A1	20183	-0.947963297367096	-0.024896923	No	
row_42	PIK3C2G	20882	-1.4069849252700806	-0.034518667	No	
row_43	INPP5A	20941	-1.4561060667037964	-0.017685382	No	
row_44	IMPA2	21488	-2.107534170150757	-0.021024056	No	
row_45	INPP4B	21682	-2.459271192550659	-0.009771129	No	
row_46	MINPP1	21815	-2.7259905338287354	0.0040032915	No	
row_47	PLCB1	21880	-2.8810346126556396	0.020588558	No	
row_48	INPP4A	22352	-4.542669296264648	0.020350084	No	
row_49	PIK3CB	22400	-4.766401767730713	0.03763806	No	
row_50	INPP5B	22724	-6.970142841339111	0.04351731	No	
row_51	PLCD1	23174	-12.443906784057617	0.044188228	No	
