NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FTH1	12	621.6311645507812	0.036541518	Yes	
row_1	HCCS	652	21.96017837524414	0.04719213	Yes	
row_2	CPOX	1008	11.87881851196289	0.06957004	Yes	
row_3	UGT1A9	1079	10.734711647033691	0.10371655	Yes	
row_4	MMAB	1125	10.003613471984863	0.13889539	Yes	
row_5	COX10	1512	5.776516914367676	0.15999322	Yes	
row_6	CP	2119	2.714740037918091	0.1720065	Yes	
row_7	FECH	2869	1.32498300075531	0.17811485	Yes	
row_8	HMOX1	3139	1.0683417320251465	0.20404398	Yes	
row_9	HMOX2	4433	0.4203413426876068	0.18768878	Yes	
row_10	UGT1A10	4595	0.37689465284347534	0.2180776	Yes	
row_11	ALAS1	5105	0.2626069486141205	0.23409633	Yes	
row_12	BLVRA	5869	0.15578970313072205	0.23962659	Yes	
row_13	BLVRB	6012	0.140237957239151	0.27079996	Yes	
row_14	EARS2	9840	0.002250458812341094	0.14980751	No	
row_15	UROD	10456	2.764647069852799E-4	0.16144916	No	
row_16	UGT1A7	11100	-1.0455191841174383E-5	0.1719346	No	
row_17	GUSB	11177	-5.2094750571995974E-5	0.20583336	No	
row_18	COX15	13003	-0.01083857100456953	0.1675101	No	
row_19	PPOX	14008	-0.02934660203754902	0.16308866	No	
row_20	UROS	19874	-0.8120461702346802	-0.04205955	No	
row_21	ALAD	19989	-0.8586592674255371	-0.009729948	No	
row_22	UGT1A1	20031	-0.8775157928466797	0.025614064	No	
row_23	UGT2B7	20672	-1.2373483180999756	0.036223385	No	
row_24	UGT1A6	21104	-1.6391992568969727	0.055463005	No	
row_25	HMBS	21951	-3.047084093093872	0.057565905	No	
row_26	UGT1A4	22415	-4.835463523864746	0.07548414	No	
