NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAP1	69	240.75120544433594	0.049783282	Yes	
row_1	IL7R	426	38.978363037109375	0.0877193	Yes	
row_2	BTK	961	12.91907787322998	0.11830754	Yes	
row_3	CD8A	1351	7.053627967834473	0.15488133	Yes	
row_4	TAP2	1633	4.855977535247803	0.19591331	Yes	
row_5	DCLRE1C	2297	2.276291608810425	0.22117648	Yes	
row_6	RFXAP	2932	1.2481459379196167	0.24763675	Yes	
row_7	LCK	3010	1.186794400215149	0.2970898	Yes	
row_8	UNG	3240	0.9746259450912476	0.3402683	Yes	
row_9	IKBKG	3372	0.8964967727661133	0.38749227	Yes	
row_10	RFX5	4125	0.5251596570014954	0.40908155	Yes	
row_11	CIITA	4615	0.37280499935150146	0.44152737	Yes	
row_12	RFXANK	8162	0.025339534506201744	0.34778124	No	
row_13	ADA	15427	-0.0796576738357544	0.10055729	No	
row_14	CD40	17822	-0.2847937345504761	0.054365344	No	
row_15	TNFRSF13C	18232	-0.34626469016075134	0.09011354	No	
row_16	JAK3	19641	-0.712279200553894	0.084623344	No	
row_17	BLNK	21248	-1.8271985054016113	0.07095978	No	
row_18	RAG1	22777	-7.417162895202637	0.060516022	No	
