NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1S	26	427.64935302734375	0.033409044	Yes	
row_1	C1R	96	179.29672241210938	0.06504233	Yes	
row_2	C4B	520	29.210830688476562	0.082056575	Yes	
row_3	TRIM21	631	23.002620697021484	0.111996695	Yes	
row_4	C3	1099	10.469695091247559	0.12719388	Yes	
row_5	C5	1342	7.144076347351074	0.15168284	Yes	
row_6	ACTN4	2151	2.6167123317718506	0.15279785	Yes	
row_7	ACTN1	2495	1.90682053565979	0.17311583	Yes	
row_8	HLA-DOB	2616	1.703727126121521	0.20264299	Yes	
row_9	SSB	2834	1.372403860092163	0.22816436	Yes	
row_10	C2	2944	1.237113356590271	0.25814578	Yes	
row_11	ACTN2	5000	0.282398521900177	0.20776378	No	
row_12	HLA-DRA	5633	0.18264968693256378	0.21614702	No	
row_13	C8G	6455	0.10380884259939194	0.21672517	No	
row_14	HLA-DPA1	7653	0.03978535905480385	0.20177576	No	
row_15	HLA-DMB	8990	0.010492242872714996	0.18108611	No	
row_16	SNRPD1	9151	0.008030163124203682	0.20896138	No	
row_17	C4A	9843	0.0022381499875336885	0.21490812	No	
row_18	C9	10818	0.0	0.20916787	No	
row_19	HLA-DRB1	13507	-0.01882188208401203	0.13264506	No	
row_20	TNF	14727	-0.05159340798854828	0.11678712	No	
row_21	HLA-DMA	15824	-0.10078869014978409	0.10600868	No	
row_22	C6	16469	-0.14203818142414093	0.11389635	No	
row_23	GRIN2B	16905	-0.17727234959602356	0.13041504	No	
row_24	GRIN2A	17142	-0.20077426731586456	0.15515177	No	
row_25	CD40	17822	-0.2847937345504761	0.16159406	No	
row_26	HLA-DQB1	19365	-0.6140488386154175	0.13239728	No	
row_27	SNRPB	20770	-1.3108031749725342	0.108899444	No	
row_28	SNRPD3	21365	-1.956598162651062	0.11885195	No	
