NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PITX2	44	320.9820251464844	0.010999773	No	
row_1	TGFB2	397	41.22673797607422	0.009254367	No	
row_2	CREBBP	1199	8.830537796020508	-0.0110708615	No	
row_3	ACVR2A	1310	7.367054462432861	-0.0028021988	No	
row_4	PPP2R1A	1465	6.060072422027588	0.0036457248	No	
row_5	BMP4	1594	5.181392669677734	0.01116954	No	
row_6	SMAD6	1715	4.356293678283691	0.019024398	No	
row_7	PPP2CB	2028	2.982309341430664	0.01893421	No	
row_8	TGFBR1	2481	1.9305113554000854	0.013050759	No	
row_9	BMPR2	2719	1.5389796495437622	0.016064106	No	
row_10	CDKN2B	3438	0.8550045490264893	-8.2654617E-4	No	
row_11	RBL1	3644	0.7517984509468079	0.003510974	No	
row_12	GDF7	4816	0.32535094022750854	-0.032125022	No	
row_13	E2F5	5067	0.2683087885379791	-0.029649623	No	
row_14	BMP8A	5725	0.1707638055086136	-0.044016067	No	
row_15	RHOA	5821	0.15993116796016693	-0.035126697	No	
row_16	SMAD9	5836	0.15886780619621277	-0.022885509	No	
row_17	INHBE	6225	0.12215621769428253	-0.02612061	No	
row_18	SMAD4	7362	0.05279171094298363	-0.060308293	No	
row_19	ACVR1C	7378	0.0519978404045105	-0.048108485	No	
row_20	RPS6KB2	7416	0.05060167610645294	-0.03681905	No	
row_21	SMAD7	7804	0.03508409485220909	-0.04001277	No	
row_22	THBS3	8195	0.024674834683537483	-0.043330636	No	
row_23	THBS4	8273	0.02296268939971924	-0.033696417	No	
row_24	ACVR1	10725	2.154539106413722E-5	-0.12229939	No	
row_25	INHBC	10898	0.0	-0.11659632	No	
row_26	TGFB3	11061	-1.8117190165867214E-6	-0.11047944	No	
row_27	BMP5	11432	-3.816628595814109E-4	-0.11296969	No	
row_28	AMH	11760	-0.0011591308284550905	-0.113680586	No	
row_29	PPP2CA	12025	-0.002254474675282836	-0.11178451	No	
row_30	SMAD2	12122	-0.002742759883403778	-0.10293652	No	
row_31	THBS1	12826	-0.008633585646748543	-0.119206466	No	
row_32	TFDP1	12888	-0.009385334327816963	-0.10891016	No	
row_33	ROCK1	13240	-0.014651023782789707	-0.11061419	No	
row_34	SP1	13270	-0.01504963357001543	-0.0989937	No	
row_35	TNF	14727	-0.05159340798854828	-0.14642313	Yes	
row_36	CHRD	14862	-0.05628693476319313	-0.1391476	Yes	
row_37	E2F4	14904	-0.05774060636758804	-0.12802368	Yes	
row_38	SMAD3	14958	-0.059932317584753036	-0.11739633	Yes	
row_39	SKP1	15069	-0.06458797305822372	-0.10912767	Yes	
row_40	GDF5	15443	-0.08024107664823532	-0.111742064	Yes	
row_41	ZFYVE16	15734	-0.09577780216932297	-0.11092188	Yes	
row_42	MAPK1	16205	-0.12376239150762558	-0.11755019	Yes	
row_43	RPS6KB1	16954	-0.18226413428783417	-0.13568226	Yes	
row_44	CUL1	17271	-0.21502743661403656	-0.13593796	Yes	
row_45	FST	17577	-0.2507113516330719	-0.13573849	Yes	
row_46	MAPK3	17616	-0.25590866804122925	-0.12449043	Yes	
row_47	SMAD1	18218	-0.34404629468917847	-0.13653956	Yes	
row_48	RBL2	18452	-0.38652658462524414	-0.1333607	Yes	
row_49	ROCK2	18756	-0.4485971927642822	-0.13307847	Yes	
row_50	TGFBR2	18847	-0.46741798520088196	-0.12398219	Yes	
row_51	MYC	18855	-0.4696723520755768	-0.11145134	Yes	
row_52	GDF6	18913	-0.4860199987888336	-0.10098951	Yes	
row_53	RBX1	19213	-0.569355309009552	-0.100541756	Yes	
row_54	BMP8B	19324	-0.5999801158905029	-0.092273094	Yes	
row_55	BMPR1B	19400	-0.6254863739013672	-0.08255611	Yes	
row_56	BMP2	19710	-0.7407434582710266	-0.08252216	Yes	
row_57	ACVR2B	19870	-0.8106174468994141	-0.07628114	Yes	
row_58	EP300	20314	-1.0131546258926392	-0.08179217	Yes	
row_59	ID3	20911	-1.4293404817581177	-0.093634404	Yes	
row_60	INHBA	21106	-1.6422145366668701	-0.0888417	Yes	
row_61	SMAD5	21533	-2.198941707611084	-0.09364926	Yes	
row_62	BMPR1A	21896	-2.9182255268096924	-0.09580847	Yes	
row_63	PPP2R1B	22027	-3.2704479694366455	-0.08836742	Yes	
row_64	THBS2	22285	-4.206352710723877	-0.08618168	Yes	
row_65	SMURF1	22719	-6.935957908630371	-0.0912789	Yes	
row_66	SMURF2	22902	-8.66063404083252	-0.08598963	Yes	
row_67	ACVRL1	22934	-8.982709884643555	-0.07445191	Yes	
row_68	TGFB1	23171	-12.378412246704102	-0.071397185	Yes	
row_69	ID1	23313	-15.293296813964844	-0.06441131	Yes	
row_70	ZFYVE9	23419	-17.79545021057129	-0.055935748	Yes	
row_71	ID4	23705	-32.13010025024414	-0.054908663	Yes	
row_72	LTBP1	23873	-49.15050506591797	-0.048998687	Yes	
row_73	INHBB	23889	-50.83715057373047	-0.03679888	Yes	
row_74	BMP6	23914	-54.17163848876953	-0.024971498	Yes	
row_75	BMP7	24027	-80.63436889648438	-0.016785596	Yes	
row_76	ID2	24031	-81.80953979492188	-0.0040892246	Yes	
row_77	NOG	24043	-85.31244659423828	0.008276103	Yes	
