NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R1	1974	3.1625537872314453	-0.06625648	No	
row_1	NFATC3	2223	2.4459197521209717	-0.061128695	No	
row_2	KDR	2451	1.9880266189575195	-0.05513239	No	
row_3	PIK3CD	2459	1.9709737300872803	-0.04003728	No	
row_4	PLCG1	2563	1.8002305030822754	-0.028912561	No	
row_5	AKT3	2729	1.5130846500396729	-0.02035205	No	
row_6	BAD	3283	0.948881208896637	-0.02783852	No	
row_7	MAPKAPK2	3769	0.6867763996124268	-0.03251263	No	
row_8	PLA2G4A	4290	0.46048590540885925	-0.03863428	No	
row_9	MAPK14	4434	0.42021533846855164	-0.02916389	No	
row_10	NRAS	4625	0.370421439409256	-0.021637334	No	
row_11	NFAT5	4743	0.34018373489379883	-0.011091627	No	
row_12	PLCG2	4773	0.3357473313808441	0.0030936005	No	
row_13	MAP2K2	5076	0.2670208215713501	0.005988039	No	
row_14	RAC1	5673	0.17766444385051727	-0.003276834	No	
row_15	PRKCG	6317	0.11451797932386398	-0.014485543	No	
row_16	SPHK2	6580	0.09445280581712723	-0.009936776	No	
row_17	RAC2	6741	0.08367981016635895	-0.001169473	No	
row_18	SRC	7360	0.05291297286748886	-0.011344226	No	
row_19	HRAS	8794	0.013205569237470627	-0.055225916	No	
row_20	AKT1	8851	0.012341163121163845	-0.04215736	No	
row_21	PPP3R1	9106	0.008688810281455517	-0.037277725	No	
row_22	PIK3CA	9562	0.003909295424818993	-0.040711094	No	
row_23	CHP1	9775	0.002624968532472849	-0.034094416	No	
row_24	KRAS	9789	0.0025441220495849848	-0.019247457	No	
row_25	JMJD7-PLA2G4B	10461	2.725564409047365E-4	-0.031614196	No	
row_26	PLA2G2A	10510	2.195488050347194E-4	-0.018214773	No	
row_27	AKT2	10660	7.018591713858768E-5	-0.00899253	No	
row_28	VEGFA	12249	-0.0035932851023972034	-0.05928474	No	
row_29	MAPK12	12459	-0.0054951380006968975	-0.05254399	No	
row_30	HSPB1	12998	-0.010818080976605415	-0.059410088	No	
row_31	MAP2K1	13137	-0.012849205173552036	-0.0497329	No	
row_32	NFATC2	13490	-0.018434125930070877	-0.048906375	No	
row_33	NOS3	14617	-0.04739143326878548	-0.0800911	No	
row_34	PIK3R2	15391	-0.0780576840043068	-0.09667637	No	
row_35	SH2D2A	15733	-0.09573964029550552	-0.0953949	No	
row_36	MAPK1	16205	-0.12376239150762558	-0.09949	No	
row_37	SPHK1	17068	-0.19276677072048187	-0.119756155	No	
row_38	MAPK3	17616	-0.25590866804122925	-0.12699448	No	
row_39	PPP3CA	17823	-0.2848450839519501	-0.120129645	No	
row_40	PRKCA	17946	-0.30011528730392456	-0.109790735	No	
row_41	MAPK11	18865	-0.4707982838153839	-0.13237295	No	
row_42	MAPK13	19482	-0.6580772995948792	-0.14246498	No	
row_43	PRKCB	19900	-0.8237526416778564	-0.14432675	Yes	
row_44	PIK3CG	20022	-0.8712494969367981	-0.13394646	Yes	
row_45	NFATC4	20068	-0.8931590914726257	-0.12042297	Yes	
row_46	CDC42	20171	-0.9404710531234741	-0.10925689	Yes	
row_47	RAF1	20241	-0.971383810043335	-0.09672599	Yes	
row_48	PPP3CC	20369	-1.0397775173187256	-0.08659387	Yes	
row_49	PLA2G4E	20394	-1.0553830862045288	-0.07220185	Yes	
row_50	CHP2	20529	-1.149583339691162	-0.062359232	Yes	
row_51	SHC2	20620	-1.2105090618133545	-0.050696857	Yes	
row_52	MAPKAPK3	21085	-1.6237543821334839	-0.054502446	Yes	
row_53	PXN	21147	-1.6816104650497437	-0.04164068	Yes	
row_54	CASP9	21260	-1.8422690629959106	-0.030888185	Yes	
row_55	NFATC1	21346	-1.930717945098877	-0.019019017	Yes	
row_56	PIK3R3	22003	-3.185267686843872	-0.03076538	Yes	
row_57	PLA2G12A	22054	-3.3434479236602783	-0.017448677	Yes	
row_58	PTK2	22099	-3.5031771659851074	-0.0038838217	Yes	
row_59	RAC3	22213	-3.9008684158325195	0.0068273167	Yes	
row_60	PIK3CB	22400	-4.766401767730713	0.014519307	Yes	
row_61	PTGS2	22460	-5.140030384063721	0.027463788	Yes	
row_62	PLA2G6	23243	-13.738718032836914	0.01050629	Yes	
row_63	PPP3CB	23279	-14.506915092468262	0.024443367	Yes	
row_64	PLA2G2F	23293	-14.83801555633545	0.039290328	Yes	
