NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	85	-0.44926384	-4.875214	0.0	0.0	0.0	10539	tags=88%, list=43%, signal=156%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	Details ...	121	-0.20379652	-2.6455438	0.0	0.0013670155	0.003	2899	tags=32%, list=12%, signal=36%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	69	-0.23734361	-2.2933624	0.001980198	0.015641661	0.055	3750	tags=39%, list=15%, signal=46%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	Details ...	290	-0.10532685	-2.062255	0.0059288535	0.058595445	0.253	4584	tags=29%, list=19%, signal=36%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	133	-0.15105139	-2.0250115	0.0058027077	0.06035447	0.309	6567	tags=42%, list=27%, signal=57%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	134	-0.15036064	-1.9742546	0.006185567	0.067575336	0.389	5603	tags=38%, list=23%, signal=49%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	Details ...	21	-0.35107914	-1.8885599	0.011904762	0.09345892	0.546	6505	tags=62%, list=27%, signal=85%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	Details ...	46	-0.23841172	-1.8746625	0.017408123	0.08854454	0.569	7408	tags=54%, list=31%, signal=78%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	49	-0.22683974	-1.8461217	0.016494846	0.09443028	0.633	6882	tags=51%, list=28%, signal=71%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	23	-0.31629756	-1.7886891	0.02366864	0.11473908	0.741	4989	tags=52%, list=21%, signal=66%	
