NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	53	0.40250197	3.4953685	0.0	0.0	0.0	8102	tags=74%, list=33%, signal=110%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	50	0.39040753	3.2767603	0.0	0.0	0.0	4615	tags=58%, list=19%, signal=71%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	113	0.24115603	3.027193	0.0	0.0	0.0	4478	tags=42%, list=18%, signal=52%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	40	0.3938027	2.9674053	0.0	0.0	0.0	6226	tags=65%, list=26%, signal=87%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	36	0.39291877	2.786833	0.0	0.0	0.0	5303	tags=61%, list=22%, signal=78%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	16	0.5071095	2.411483	0.0020703934	0.0048945453	0.024	7411	tags=81%, list=31%, signal=117%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	79	0.22822788	2.399229	0.0	0.0041953246	0.024	4918	tags=43%, list=20%, signal=54%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	Details ...	19	0.44152737	2.2971318	0.0020618557	0.007621434	0.051	4615	tags=63%, list=19%, signal=78%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	Details ...	62	0.2404641	2.2890975	0.001984127	0.007295051	0.054	5133	tags=45%, list=21%, signal=57%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	Details ...	40	0.28775823	2.1482522	0.0	0.019342234	0.151	4550	tags=48%, list=19%, signal=58%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	80	0.20103255	2.121972	0.0	0.020073382	0.172	5748	tags=44%, list=24%, signal=57%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	52	0.24068354	2.111056	0.0	0.020212643	0.186	9562	tags=63%, list=39%, signal=105%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION	Details ...	49	0.25257537	2.0799544	0.0	0.022716856	0.222	4773	tags=45%, list=20%, signal=56%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	28	0.32667896	2.0473306	0.002118644	0.024704572	0.252	5076	tags=54%, list=21%, signal=68%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Details ...	41	0.26331344	2.0106437	0.0040983604	0.029772043	0.309	6635	tags=54%, list=27%, signal=74%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	154	0.13765047	1.9961053	0.008438818	0.03107322	0.339	5499	tags=36%, list=23%, signal=47%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	27	0.27079996	1.6836967	0.032380953	0.16480914	0.915	6012	tags=52%, list=25%, signal=69%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	29	0.25814578	1.6460748	0.033932135	0.18796168	0.938	2944	tags=38%, list=12%, signal=43%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	Details ...	16	0.3423828	1.6414353	0.03307393	0.18241227	0.943	5341	tags=56%, list=22%, signal=72%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	Details ...	25	0.2694232	1.617728	0.043222003	0.19346982	0.96	8990	tags=64%, list=37%, signal=102%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		24	0.27819985	1.6170932	0.04133858	0.18458477	0.961	5383	tags=50%, list=22%, signal=64%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		94	0.14488083	1.6066197	0.030131826	0.18570282	0.968	2948	tags=27%, list=12%, signal=30%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		28	0.25378147	1.604501	0.0501002	0.17959249	0.97	8573	tags=61%, list=35%, signal=94%	
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM		33	0.23697218	1.6015195	0.03469388	0.17454346	0.972	6751	tags=52%, list=28%, signal=71%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		22	0.27797043	1.5546949	0.05102041	0.2056409	0.991	3184	tags=41%, list=13%, signal=47%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION		36	0.21335001	1.5512024	0.056842104	0.2002419	0.991	15711	tags=86%, list=65%, signal=244%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		49	0.18713936	1.5492057	0.05703422	0.19447905	0.992	6851	tags=47%, list=28%, signal=65%	
