userId	geneSymbol	geneName	entrezgene	gLink
A4GALT	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	53947	https://www.ncbi.nlm.nih.gov/gene/?term=53947
AACS	AACS	acetoacetyl-CoA synthetase	65985	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAT	AADAT	aminoadipate aminotransferase	51166	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AASS	AASS	aminoadipate-semialdehyde synthase	10157	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATK	AATK	apoptosis associated tyrosine kinase	9625	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABALON	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294	https://www.ncbi.nlm.nih.gov/gene/?term=103021294
ABAT	ABAT	4-aminobutyrate aminotransferase	18	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA10	ABCA10	ATP binding cassette subfamily A member 10	10349	https://www.ncbi.nlm.nih.gov/gene/?term=10349
ABCA12	ABCA12	ATP binding cassette subfamily A member 12	26154	https://www.ncbi.nlm.nih.gov/gene/?term=26154
ABCA4	ABCA4	ATP binding cassette subfamily A member 4	24	https://www.ncbi.nlm.nih.gov/gene/?term=24
ABCA6	ABCA6	ATP binding cassette subfamily A member 6	23460	https://www.ncbi.nlm.nih.gov/gene/?term=23460
ABCA9	ABCA9	ATP binding cassette subfamily A member 9	10350	https://www.ncbi.nlm.nih.gov/gene/?term=10350
ABCB1	ABCB1	ATP binding cassette subfamily B member 1	5243	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC2	ABCC2	ATP binding cassette subfamily C member 2	1244	https://www.ncbi.nlm.nih.gov/gene/?term=1244
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCD1	ABCD1	ATP binding cassette subfamily D member 1	215	https://www.ncbi.nlm.nih.gov/gene/?term=215
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	9429	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABHD11	ABHD11	abhydrolase domain containing 11	83451	https://www.ncbi.nlm.nih.gov/gene/?term=83451
ABHD11-AS1	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	171022	https://www.ncbi.nlm.nih.gov/gene/?term=171022
ABHD17C	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	58489	https://www.ncbi.nlm.nih.gov/gene/?term=58489
ABHD3	ABHD3	abhydrolase domain containing 3, phospholipase	171586	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD4	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ABHD6	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	57406	https://www.ncbi.nlm.nih.gov/gene/?term=57406
ABHD8	ABHD8	abhydrolase domain containing 8	79575	https://www.ncbi.nlm.nih.gov/gene/?term=79575
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ABLIM3	ABLIM3	actin binding LIM protein family member 3	22885	https://www.ncbi.nlm.nih.gov/gene/?term=22885
ABO	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	https://www.ncbi.nlm.nih.gov/gene/?term=28
ACAD8	ACAD8	acyl-CoA dehydrogenase family member 8	27034	https://www.ncbi.nlm.nih.gov/gene/?term=27034
ACADL	ACADL	acyl-CoA dehydrogenase long chain	33	https://www.ncbi.nlm.nih.gov/gene/?term=33
ACADSB	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	https://www.ncbi.nlm.nih.gov/gene/?term=36
ACER2	ACER2	alkaline ceramidase 2	340485	https://www.ncbi.nlm.nih.gov/gene/?term=340485
ACKR2	ACKR2	atypical chemokine receptor 2	1238	https://www.ncbi.nlm.nih.gov/gene/?term=1238
ACKR3	ACKR3	atypical chemokine receptor 3	57007	https://www.ncbi.nlm.nih.gov/gene/?term=57007
ACLY	ACLY	ATP citrate lyase	47	https://www.ncbi.nlm.nih.gov/gene/?term=47
ACOT1	ACOT1	acyl-CoA thioesterase 1	641371	https://www.ncbi.nlm.nih.gov/gene/?term=641371
ACOT11	ACOT11	acyl-CoA thioesterase 11	26027	https://www.ncbi.nlm.nih.gov/gene/?term=26027
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332	https://www.ncbi.nlm.nih.gov/gene/?term=11332
ACP7	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	https://www.ncbi.nlm.nih.gov/gene/?term=390928
ACSL4	ACSL4	acyl-CoA synthetase long chain family member 4	2182	https://www.ncbi.nlm.nih.gov/gene/?term=2182
ACSL5	ACSL5	acyl-CoA synthetase long chain family member 5	51703	https://www.ncbi.nlm.nih.gov/gene/?term=51703
ACSS2	ACSS2	acyl-CoA synthetase short chain family member 2	55902	https://www.ncbi.nlm.nih.gov/gene/?term=55902
ACTA2-AS1	ACTA2-AS1	ACTA2 antisense RNA 1	100132116	https://www.ncbi.nlm.nih.gov/gene/?term=100132116
ACTR3B	ACTR3B	actin related protein 3B	57180	https://www.ncbi.nlm.nih.gov/gene/?term=57180
ACTR3C	ACTR3C	actin related protein 3C	653857	https://www.ncbi.nlm.nih.gov/gene/?term=653857
ACTRT3	ACTRT3	actin related protein T3	84517	https://www.ncbi.nlm.nih.gov/gene/?term=84517
ACVR2A	ACVR2A	activin A receptor type 2A	92	https://www.ncbi.nlm.nih.gov/gene/?term=92
ACVRL1	ACVRL1	activin A receptor like type 1	94	https://www.ncbi.nlm.nih.gov/gene/?term=94
ACY3	ACY3	aminoacylase 3	91703	https://www.ncbi.nlm.nih.gov/gene/?term=91703
ADAM15	ADAM15	ADAM metallopeptidase domain 15	8751	https://www.ncbi.nlm.nih.gov/gene/?term=8751
ADAM28	ADAM28	ADAM metallopeptidase domain 28	10863	https://www.ncbi.nlm.nih.gov/gene/?term=10863
ADAM8	ADAM8	ADAM metallopeptidase domain 8	101	https://www.ncbi.nlm.nih.gov/gene/?term=101
ADAMTS1	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	https://www.ncbi.nlm.nih.gov/gene/?term=9510
ADAMTS15	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	170689	https://www.ncbi.nlm.nih.gov/gene/?term=170689
ADAMTS20	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	80070	https://www.ncbi.nlm.nih.gov/gene/?term=80070
ADAMTS3	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508	https://www.ncbi.nlm.nih.gov/gene/?term=9508
ADAMTS5	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11096	https://www.ncbi.nlm.nih.gov/gene/?term=11096
ADAMTS7	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	11173	https://www.ncbi.nlm.nih.gov/gene/?term=11173
ADAMTS9	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	https://www.ncbi.nlm.nih.gov/gene/?term=56999
ADAP1	ADAP1	ArfGAP with dual PH domains 1	11033	https://www.ncbi.nlm.nih.gov/gene/?term=11033
ADAR	ADAR	adenosine deaminase RNA specific	103	https://www.ncbi.nlm.nih.gov/gene/?term=103
