geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0007155	cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007155	1225	56	25.137825421133233	2.22771855010661	6.72919910776843e-9	5.668004408473349e-5	119;182;683;1002;1010;1012;1281;1289;1525;1830;2015;2303;3037;3111;3170;3490;3553;3576;3696;3815;4345;4651;4685;4973;5212;5649;5818;6376;6657;7052;7058;9076;9473;9638;10205;10631;23037;23149;23308;27286;29091;54749;56130;56135;56138;56144;58494;79812;79937;85445;94025;129804;133584;144100;441478;728577	ADD2;ADGRE1;BST1;CD200;CDH12;CDH13;CDH4;CLDN1;CNTNAP3;CNTNAP3B;CNTNAP4;COL3A1;COL5A1;CX3CL1;CXADR;CXCL8;DSG3;EGFLAM;EPDR1;FBLN7;FCHO1;FEZ1;FOXA2;FOXC2;HAS2;HLA-DOA;ICOSLG;IGFBP7;IL1B;ITGB8;JAG1;JAM2;KIT;MMRN2;MPZL2;MUC16;MYO10;NCAM2;NECTIN1;NRARP;OLR1;PCDHA11;PCDHA4;PCDHAC1;PCDHB6;PDZD2;PLEKHA7;POSTN;RELN;SOX2;SRPX2;STXBP6;TGM2;THBS2;THEMIS2;VIT
GO:0048514	blood vessel morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048514	542	31	11.122205206738132	2.7872170512749905	2.3393967293257742e-7	9.852369325555497e-4	182;1012;1281;2303;2624;2822;3037;3553;3576;3696;4804;4879;5159;6376;6608;6678;6909;7058;7498;8463;8862;9421;9982;10411;11082;27286;30832;60681;79812;90993;441478	APLN;CDH13;COL3A1;CREB3L1;CX3CL1;CXCL8;ESM1;FGFBP1;FKBP10;FOXC2;GATA2;GPLD1;HAND1;HAS2;IL1B;ITGB8;JAG1;MMRN2;NGFR;NPPB;NRARP;PDGFRB;RAPGEF3;SMO;SPARC;SRPX2;TBX2;TEAD2;THBS2;XDH;ZNF354C
GO:0001944	vasculature development	http://amigo.geneontology.org/amigo/term/GO:0001944	646	33	13.25635528330781	2.489372025322305	1.2080191584201378e-6	0.0028998441969068115	182;1012;1281;1289;2303;2624;2822;3037;3553;3576;3696;3815;4804;4879;5159;6376;6608;6678;6909;7058;7498;8463;8862;9421;9982;10411;11082;27286;30832;60681;79812;90993;441478	APLN;CDH13;COL3A1;COL5A1;CREB3L1;CX3CL1;CXCL8;ESM1;FGFBP1;FKBP10;FOXC2;GATA2;GPLD1;HAND1;HAS2;IL1B;ITGB8;JAG1;KIT;MMRN2;NGFR;NPPB;NRARP;PDGFRB;RAPGEF3;SMO;SPARC;SRPX2;TBX2;TEAD2;THBS2;XDH;ZNF354C
GO:0001568	blood vessel development	http://amigo.geneontology.org/amigo/term/GO:0001568	619	32	12.70229709035222	2.5192293781496398	1.3771075374127088e-6	0.0028998441969068115	182;1012;1281;1289;2303;2624;2822;3037;3553;3576;3696;4804;4879;5159;6376;6608;6678;6909;7058;7498;8463;8862;9421;9982;10411;11082;27286;30832;60681;79812;90993;441478	APLN;CDH13;COL3A1;COL5A1;CREB3L1;CX3CL1;CXCL8;ESM1;FGFBP1;FKBP10;FOXC2;GATA2;GPLD1;HAND1;HAS2;IL1B;ITGB8;JAG1;MMRN2;NGFR;NPPB;NRARP;PDGFRB;RAPGEF3;SMO;SPARC;SRPX2;TBX2;TEAD2;THBS2;XDH;ZNF354C
GO:0002040	sprouting angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0002040	116	12	2.3803981623277184	5.041173443129181	4.508745754594006e-6	0.007595433098189062	1012;2303;2624;2822;4804;9982;11082;27286;30832;79812;90993;441478	CDH13;CREB3L1;ESM1;FGFBP1;FOXC2;GATA2;GPLD1;MMRN2;NGFR;NRARP;SRPX2;ZNF354C
GO:0030593	neutrophil chemotaxis	http://amigo.geneontology.org/amigo/term/GO:0030593	67	9	1.374885145482389	6.54600133660058	8.52399398458093e-6	0.011966266888687528	683;1525;2919;2920;3553;3576;5142;6374;6376	BST1;CX3CL1;CXADR;CXCL1;CXCL2;CXCL5;CXCL8;IL1B;PDE4B
GO:0007219	Notch signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007219	153	13	3.139663093415008	4.140571651546191	1.5879577504175416e-5	0.016944066889010893	182;2303;2624;2762;3815;4100;6909;8626;10631;10683;23090;221336;441478	BEND6;DLL3;FOXC2;GATA2;GMDS;JAG1;KIT;MAGEA1;NRARP;POSTN;TBX2;TP63;ZNF423
GO:0035239	tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035239	763	34	15.657274119448699	2.1715146417323603	1.6093142005471584e-5	0.016944066889010893	182;1012;1281;2303;2624;2822;3037;3553;3576;3696;4804;4879;5159;6376;6608;6678;6909;7052;7058;7475;7498;8463;8626;8862;9421;9982;10411;11082;27286;30832;60681;79812;90993;441478	APLN;CDH13;COL3A1;CREB3L1;CX3CL1;CXCL8;ESM1;FGFBP1;FKBP10;FOXC2;GATA2;GPLD1;HAND1;HAS2;IL1B;ITGB8;JAG1;MMRN2;NGFR;NPPB;NRARP;PDGFRB;RAPGEF3;SMO;SPARC;SRPX2;TBX2;TEAD2;TGM2;THBS2;TP63;WNT6;XDH;ZNF354C
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	457	24	9.377947932618683	2.559195270910219	2.4113192784275002e-5	0.022567269202438706	182;1012;2303;2624;2822;3553;3576;3696;4804;4879;5159;6376;6678;7058;8862;9421;9982;10411;11082;27286;30832;79812;90993;441478	APLN;CDH13;CREB3L1;CX3CL1;CXCL8;ESM1;FGFBP1;FOXC2;GATA2;GPLD1;HAND1;IL1B;ITGB8;JAG1;MMRN2;NGFR;NPPB;NRARP;PDGFRB;RAPGEF3;SPARC;SRPX2;THBS2;ZNF354C
GO:0048646	anatomical structure formation involved in morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048646	993	40	20.377029096477795	1.9629946942027026	2.8690551674188202e-5	0.02416605167516872	182;1012;1281;1289;2303;2624;2822;3170;3553;3576;3696;4804;4879;5159;5649;5818;6376;6608;6657;6678;6909;7052;7058;7475;8463;8626;8862;9421;9982;10411;10683;11082;27286;30832;58494;58529;79812;83595;90993;441478	APLN;CDH13;COL3A1;COL5A1;CREB3L1;CX3CL1;CXCL8;DLL3;ESM1;FGFBP1;FOXA2;FOXC2;GATA2;GPLD1;HAND1;IL1B;ITGB8;JAG1;JAM2;MMRN2;MYOZ1;NECTIN1;NGFR;NPPB;NRARP;PDGFRB;RAPGEF3;RELN;SMO;SOX2;SOX7;SPARC;SRPX2;TBX2;TEAD2;TGM2;THBS2;TP63;WNT6;ZNF354C
