userId	geneSymbol	geneName	entrezgene	gLink
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ACKR2	ACKR2	atypical chemokine receptor 2	1238	https://www.ncbi.nlm.nih.gov/gene/?term=1238
ACOT13	ACOT13	acyl-CoA thioesterase 13	55856	https://www.ncbi.nlm.nih.gov/gene/?term=55856
ADD2	ADD2	adducin 2	119	https://www.ncbi.nlm.nih.gov/gene/?term=119
ADGRE1	ADGRE1	adhesion G protein-coupled receptor E1	2015	https://www.ncbi.nlm.nih.gov/gene/?term=2015
ADGRF1	ADGRF1	adhesion G protein-coupled receptor F1	266977	https://www.ncbi.nlm.nih.gov/gene/?term=266977
ADRB1	ADRB1	adrenoceptor beta 1	153	https://www.ncbi.nlm.nih.gov/gene/?term=153
ADRB2	ADRB2	adrenoceptor beta 2	154	https://www.ncbi.nlm.nih.gov/gene/?term=154
AIM2	AIM2	absent in melanoma 2	9447	https://www.ncbi.nlm.nih.gov/gene/?term=9447
ALDH1L1	ALDH1L1	aldehyde dehydrogenase 1 family member L1	10840	https://www.ncbi.nlm.nih.gov/gene/?term=10840
ALDH1L1-AS2	ALDH1L1-AS2	ALDH1L1 antisense RNA 2	100862662	https://www.ncbi.nlm.nih.gov/gene/?term=100862662
ALDH5A1	ALDH5A1	aldehyde dehydrogenase 5 family member A1	7915	https://www.ncbi.nlm.nih.gov/gene/?term=7915
ALDH7A1	ALDH7A1	aldehyde dehydrogenase 7 family member A1	501	https://www.ncbi.nlm.nih.gov/gene/?term=501
ALPK2	ALPK2	alpha kinase 2	115701	https://www.ncbi.nlm.nih.gov/gene/?term=115701
AMH	AMH	anti-Mullerian hormone	268	https://www.ncbi.nlm.nih.gov/gene/?term=268
AMPH	AMPH	amphiphysin	273	https://www.ncbi.nlm.nih.gov/gene/?term=273
ANK1	ANK1	ankyrin 1	286	https://www.ncbi.nlm.nih.gov/gene/?term=286
ANKK1	ANKK1	ankyrin repeat and kinase domain containing 1	255239	https://www.ncbi.nlm.nih.gov/gene/?term=255239
ANKRD20A5P	ANKRD20A5P	ankyrin repeat domain 20 family member A5, pseudogene	440482	https://www.ncbi.nlm.nih.gov/gene/?term=440482
ANKRD65	ANKRD65	ankyrin repeat domain 65	441869	https://www.ncbi.nlm.nih.gov/gene/?term=441869
ANO1	ANO1	anoctamin 1	55107	https://www.ncbi.nlm.nih.gov/gene/?term=55107
ANO2	ANO2	anoctamin 2	57101	https://www.ncbi.nlm.nih.gov/gene/?term=57101
ANO4	ANO4	anoctamin 4	121601	https://www.ncbi.nlm.nih.gov/gene/?term=121601
APLN	APLN	apelin	8862	https://www.ncbi.nlm.nih.gov/gene/?term=8862
AQP11	AQP11	aquaporin 11	282679	https://www.ncbi.nlm.nih.gov/gene/?term=282679
AQP7P1	AQP7P1	aquaporin 7 pseudogene 1	375719	https://www.ncbi.nlm.nih.gov/gene/?term=375719
ARHGAP28	ARHGAP28	Rho GTPase activating protein 28	79822	https://www.ncbi.nlm.nih.gov/gene/?term=79822
ARHGEF38	ARHGEF38	Rho guanine nucleotide exchange factor 38	54848	https://www.ncbi.nlm.nih.gov/gene/?term=54848
ARSJ	ARSJ	arylsulfatase family member J	79642	https://www.ncbi.nlm.nih.gov/gene/?term=79642
ASNSP1	ASNSP1	ASNS pseudogene 1	389652	https://www.ncbi.nlm.nih.gov/gene/?term=389652
ATG9B	ATG9B	autophagy related 9B	285973	https://www.ncbi.nlm.nih.gov/gene/?term=285973
ATP8B4	ATP8B4	ATPase phospholipid transporting 8B4 (putative)	79895	https://www.ncbi.nlm.nih.gov/gene/?term=79895
BEND6	BEND6	BEN domain containing 6	221336	https://www.ncbi.nlm.nih.gov/gene/?term=221336
BMPR1B	BMPR1B	bone morphogenetic protein receptor type 1B	658	https://www.ncbi.nlm.nih.gov/gene/?term=658
BST1	BST1	bone marrow stromal cell antigen 1	683	https://www.ncbi.nlm.nih.gov/gene/?term=683
C1orf74	C1orf74	chromosome 1 open reading frame 74	148304	https://www.ncbi.nlm.nih.gov/gene/?term=148304
C4BPB	C4BPB	complement component 4 binding protein beta	725	https://www.ncbi.nlm.nih.gov/gene/?term=725
C6orf62	C6orf62	chromosome 6 open reading frame 62	81688	https://www.ncbi.nlm.nih.gov/gene/?term=81688
C8orf48	C8orf48	chromosome 8 open reading frame 48	157773	https://www.ncbi.nlm.nih.gov/gene/?term=157773
CACNG8	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	59283	https://www.ncbi.nlm.nih.gov/gene/?term=59283
CARD9	CARD9	caspase recruitment domain family member 9	64170	https://www.ncbi.nlm.nih.gov/gene/?term=64170
CCDC144A	CCDC144A	coiled-coil domain containing 144A	9720	https://www.ncbi.nlm.nih.gov/gene/?term=9720
CCNA1	CCNA1	cyclin A1	8900	https://www.ncbi.nlm.nih.gov/gene/?term=8900
CD200	CD200	CD200 molecule	4345	https://www.ncbi.nlm.nih.gov/gene/?term=4345
CD24P4	CD24P4	CD24 molecule pseudogene 4	938	https://www.ncbi.nlm.nih.gov/gene/?term=938
CDH12	CDH12	cadherin 12	1010	https://www.ncbi.nlm.nih.gov/gene/?term=1010
CDH13	CDH13	cadherin 13	1012	https://www.ncbi.nlm.nih.gov/gene/?term=1012
CDH4	CDH4	cadherin 4	1002	https://www.ncbi.nlm.nih.gov/gene/?term=1002
CECR7	CECR7	cat eye syndrome chromosome region, candidate 7	100130418	https://www.ncbi.nlm.nih.gov/gene/?term=100130418
CERS4	CERS4	ceramide synthase 4	79603	https://www.ncbi.nlm.nih.gov/gene/?term=79603
CGB8	CGB8	chorionic gonadotropin subunit beta 8	94115	https://www.ncbi.nlm.nih.gov/gene/?term=94115
CHN2	CHN2	chimerin 2	1124	https://www.ncbi.nlm.nih.gov/gene/?term=1124
CHST6	CHST6	carbohydrate sulfotransferase 6	4166	https://www.ncbi.nlm.nih.gov/gene/?term=4166
CIART	CIART	circadian associated repressor of transcription	148523	https://www.ncbi.nlm.nih.gov/gene/?term=148523
CLDN1	CLDN1	claudin 1	9076	https://www.ncbi.nlm.nih.gov/gene/?term=9076
CLIC3	CLIC3	chloride intracellular channel 3	9022	https://www.ncbi.nlm.nih.gov/gene/?term=9022
CNTNAP3	CNTNAP3	contactin associated protein family member 3	79937	https://www.ncbi.nlm.nih.gov/gene/?term=79937
CNTNAP3B	CNTNAP3B	contactin associated protein family member 3B	728577	https://www.ncbi.nlm.nih.gov/gene/?term=728577
CNTNAP4	CNTNAP4	contactin associated protein family member 4	85445	https://www.ncbi.nlm.nih.gov/gene/?term=85445
COL3A1	COL3A1	collagen type III alpha 1 chain	1281	https://www.ncbi.nlm.nih.gov/gene/?term=1281
COL5A1	COL5A1	collagen type V alpha 1 chain	1289	https://www.ncbi.nlm.nih.gov/gene/?term=1289
COX7B2	COX7B2	cytochrome c oxidase subunit 7B2	170712	https://www.ncbi.nlm.nih.gov/gene/?term=170712
