NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2J1	171	1.0666261911392212	0.002507056	Yes	
row_1	ADAMTS1	561	0.09256257116794586	-0.0053520314	Yes	
row_2	KRT8	626	0.07395295053720474	0.0022429945	Yes	
row_3	IDI1	627	0.0736984834074974	0.012881292	Yes	
row_4	DHCR24	716	0.05510518327355385	0.019335091	Yes	
row_5	TPD52	795	0.045552853494882584	0.026264401	Yes	
row_6	HMGCR	1126	0.022362560033798218	0.02121083	Yes	
row_7	SMS	1240	0.0186794213950634	0.02647585	Yes	
row_8	CCND3	1551	0.011830907315015793	0.022373302	Yes	
row_9	INSIG1	1895	0.007637337781488895	0.016701566	Yes	
row_10	HPGD	1970	0.007002844940871	0.02382108	Yes	
row_11	SRP19	2176	0.005614985711872578	0.024711398	Yes	
row_12	CDC14B	2311	0.004995087627321482	0.028977847	Yes	
row_13	NGLY1	2384	0.0046316771768033504	0.03619246	Yes	
row_14	ANKH	2458	0.0043276636861264706	0.04335953	Yes	
row_15	HMGCS1	2500	0.004140210337936878	0.05204823	Yes	
row_16	DBI	2927	0.0028292774222791195	0.042429753	Yes	
row_17	HSD17B14	2988	0.002688651205971837	0.050214984	Yes	
row_18	ACTN1	3052	0.002541739959269762	0.057857558	Yes	
row_19	SGK1	3134	0.0023743000347167253	0.06464422	Yes	
row_20	TMEM50A	3390	0.0019491694401949644	0.06315698	Yes	
row_21	GPD1L	3433	0.0018882725853472948	0.07179813	Yes	
row_22	PA2G4	3731	0.0015106992796063423	0.06831374	Yes	
row_23	SCD	3962	0.001248097512871027	0.068015285	Yes	
row_24	KRT19	4325	9.52330301515758E-4	0.061440077	Yes	
row_25	UAP1	4338	9.401101851835847E-4	0.07150776	Yes	
row_26	VAPA	4362	9.20470745768398E-4	0.081052385	Yes	
row_27	SRF	4390	9.039173019118607E-4	0.0904068	Yes	
row_28	XRCC6	4536	8.07104748673737E-4	0.094150186	Yes	
row_29	PTPN21	5683	3.459858417045325E-4	0.050294902	Yes	
row_30	FKBP5	5808	3.12681746436283E-4	0.055036858	Yes	
row_31	PGM3	5847	3.0531350057572126E-4	0.06386822	Yes	
row_32	ZMIZ1	6110	2.503766445443034E-4	0.06204812	Yes	
row_33	RRP12	6150	2.4204976216424257E-4	0.070831925	Yes	
row_34	ABCC4	6171	2.3766102094668895E-4	0.0805192	Yes	
row_35	B4GALT1	6698	1.4552072389051318E-4	0.06614561	Yes	
row_36	PDLIM5	6954	1.13078516733367E-4	0.064658366	Yes	
row_37	PLPP1	7202	8.59133288031444E-5	0.06355154	Yes	
row_38	PTK2B	7330	7.205288420664147E-5	0.06815085	Yes	
row_39	CAMKK2	7336	7.105396798579022E-5	0.07855139	Yes	
row_40	APPBP2	7475	6.051773380022496E-5	0.08262763	Yes	
row_41	ACSL3	7526	5.664740456268191E-5	0.09088837	Yes	
row_42	GNAI3	7756	4.1217514080926776E-5	0.09063746	Yes	
row_43	INPP4B	7836	3.675920015666634E-5	0.09751923	Yes	
row_44	SLC26A2	7846	3.611468491726555E-5	0.10772956	Yes	
row_45	SEC24D	7854	3.55777629010845E-5	0.118035	Yes	
row_46	PIAS1	8218	1.9007486116606742E-5	0.11141224	Yes	
row_47	CENPN	8341	1.4011938219482545E-5	0.1162493	Yes	
row_48	ELL2	8543	8.437727046839427E-6	0.11732983	Yes	
row_49	AKT1	8545	8.321424502355512E-6	0.12792057	Yes	
row_50	MAK	8614	6.3575757849321235E-6	0.13532539	Yes	
row_51	RAB4A	8637	5.8114305829803925E-6	0.14491756	Yes	
row_52	HERC3	8813	2.4931025564001175E-6	0.14723442	Yes	
row_53	ADRM1	9039	4.0254732880384836E-7	0.14717372	Yes	
row_54	ELOVL5	9217	-3.27140767808487E-8	0.14939547	Yes	
row_55	ZBTB10	9806	-8.947751666710246E-6	0.1320737	No	
row_56	UBE2I	9878	-1.0872694474528544E-5	0.13933587	No	
row_57	MYL12A	10560	-4.6010452933842316E-5	0.11759186	No	
row_58	FADS1	10638	-5.0665330491028726E-5	0.124568716	No	
row_59	XRCC5	10834	-6.703272083541378E-5	0.12593454	No	
row_60	DNAJB9	11142	-1.0034377919510007E-4	0.121974654	No	
row_61	TNFAIP8	11955	-2.2848515072837472E-4	0.09400144	No	
row_62	SORD	12383	-3.3412090851925313E-4	0.08433541	No	
row_63	NKX3-1	12701	-4.3253295007161796E-4	0.079900004	No	
row_64	B2M	12808	-4.6805618330836296E-4	0.085497886	No	
row_65	MERTK	12891	-4.91677550598979E-4	0.09223699	No	
row_66	ITGAV	12925	-5.04917639773339E-4	0.101306096	No	
row_67	CDK6	12991	-5.304060177877545E-4	0.10885357	No	
row_68	RPS6KA3	13457	-7.544441614300013E-4	0.0973806	No	
row_69	MAP7	13773	-9.436209220439196E-4	0.093040295	No	
row_70	ARID5B	14166	-0.00123946787789464	0.08503856	No	
row_71	LMAN1	14194	-0.0012642174260690808	0.09439297	No	
row_72	ELK4	14487	-0.0015372931957244873	0.09114634	No	
row_73	ABHD2	14581	-0.0016084228409454226	0.097362384	No	
row_74	SPCS3	14630	-0.0016759262653067708	0.10571823	No	
row_75	NDRG1	14824	-0.001900327391922474	0.107179165	No	
row_76	GSR	14919	-0.002013864926993847	0.11334766	No	
row_77	HOMER2	15197	-0.00244557810947299	0.11081429	No	
row_78	TSC22D1	15814	-0.003836053656414151	0.092161104	No	
row_79	ALDH1A3	16262	-0.005283213220536709	0.08154405	No	
row_80	CCND1	16306	-0.005441406276077032	0.090137646	No	
row_81	STK39	16373	-0.0058127837255597115	0.09763757	No	
row_82	SLC38A2	16444	-0.006103415973484516	0.10494729	No	
row_83	LIFR	16489	-0.006301342975348234	0.11349334	No	
row_84	SAT1	16909	-0.008911186829209328	0.10420772	No	
row_85	PMEPA1	17699	-0.01692269556224346	0.07732818	No	
row_86	STEAP4	17820	-0.018926121294498444	0.08226035	No	
row_87	AZGP1	18043	-0.023355869576334953	0.0823423	No	
row_88	TMPRSS2	18052	-0.02349190227687359	0.09260018	No	
row_89	SPDEF	18255	-0.028118889778852463	0.09363315	No	
row_90	AKAP12	18406	-0.03315785527229309	0.097138785	No	
row_91	IQGAP2	20284	-0.8513164520263672	0.018523632	No	
row_92	BMPR1B	20871	-7.736186504364014	0.0012969739	No	
row_93	MAF	20940	-11.250903129577637	0.008701796	No	
