NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLCO2A1	44	9.194522857666016	0.028216833	No	
row_1	OLR1	60	6.6495256423950195	0.05780866	No	
row_2	COL3A1	898	0.036309823393821716	0.048426516	No	
row_3	FGFR1	2003	0.0067899893037974834	0.026384948	No	
row_4	FSTL1	2100	0.006050689145922661	0.052136276	No	
row_5	KCNJ8	2391	0.004612409975379705	0.06868936	No	
row_6	LRPAP1	3925	0.001292392611503601	0.026307365	No	
row_7	LUM	4538	8.054792997427285E-4	0.02759328	No	
row_8	PRG2	4857	6.299538072198629E-4	0.04281879	No	
row_9	VAV2	6049	2.6156860985793173E-4	0.016652238	No	
row_10	PDGFA	8394	1.2504513506428339E-5	-0.064182185	No	
row_11	CCND2	10673	-5.3207360906526446E-5	-0.1418873	No	
row_12	TNFRSF21	10986	-8.291037374874577E-5	-0.12637731	No	
row_13	ITGAV	12925	-5.04917639773339E-4	-0.18796182	Yes	
row_14	APP	13558	-8.093056967481971E-4	-0.18762417	Yes	
row_15	PTK2	13583	-8.263048948720098E-4	-0.15845907	Yes	
row_16	PGLYRP1	13613	-8.402632083743811E-4	-0.12953104	Yes	
row_17	MSX1	13811	-9.699363145045936E-4	-0.10856848	Yes	
row_18	POSTN	14577	-0.0016025570221245289	-0.114536844	Yes	
row_19	TIMP1	14580	-0.001608238322660327	-0.08432864	Yes	
row_20	LPL	16578	-0.0067727407440543175	-0.14871055	Yes	
row_21	VCAN	17012	-0.009633414447307587	-0.13893759	Yes	
row_22	COL5A2	17487	-0.014271612279117107	-0.13110861	Yes	
row_23	VTN	18208	-0.027178483083844185	-0.13494337	Yes	
row_24	NRP1	18268	-0.02845517173409462	-0.10743773	Yes	
row_25	JAG2	19860	-0.27411848306655884	-0.15256973	Yes	
row_26	VEGFA	19885	-0.29445362091064453	-0.123404615	Yes	
row_27	S100A4	20225	-0.7220720052719116	-0.10917479	Yes	
row_28	STC1	20744	-4.291959762573242	-0.103432	Yes	
row_29	THBD	20781	-5.084379196166992	-0.07483585	Yes	
row_30	JAG1	20968	-13.148078918457031	-0.053351752	Yes	
row_31	SPP1	21023	-17.968158721923828	-0.025609054	Yes	
row_32	CXCL6	21041	-19.94350814819336	0.0038879465	Yes	
