NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CADM2	25	12.094229698181152	0.004240895	Yes	
row_1	CLDN6	304	0.2997019588947296	-0.003600349	Yes	
row_2	CLDN9	316	0.27695950865745544	0.0013091232	Yes	
row_3	ARHGEF6	476	0.12055432051420212	-8.492174E-4	Yes	
row_4	SLIT2	593	0.08225669711828232	-9.5407193E-4	Yes	
row_5	MYH10	719	0.05475844442844391	-0.0014887259	Yes	
row_6	TGFBI	849	0.039921704679727554	-0.0022144017	Yes	
row_7	EPB41L2	899	0.036287080496549606	8.8036177E-4	Yes	
row_8	FLNC	912	0.0353020615875721	0.0057420786	Yes	
row_9	ACTC1	914	0.035276904702186584	0.011129105	Yes	
row_10	CD99	1055	0.025422463193535805	0.009878119	Yes	
row_11	AMH	1167	0.021083708852529526	0.010012043	Yes	
row_12	KCNH2	1227	0.019223395735025406	0.012629251	Yes	
row_13	AKT2	1264	0.018043959513306618	0.016344836	Yes	
row_14	RSU1	1270	0.017880674451589584	0.021540841	Yes	
row_15	PBX2	1571	0.011338441632688046	0.012648976	Yes	
row_16	MVD	1624	0.010596426203846931	0.015600473	Yes	
row_17	CLDN7	1693	0.009839387610554695	0.017787883	Yes	
row_18	CRB3	1765	0.008937371894717216	0.019832024	Yes	
row_19	JAM3	1798	0.008699416182935238	0.023738632	Yes	
row_20	MAPK14	1811	0.008529048413038254	0.028600348	Yes	
row_21	DHX16	1848	0.008067074231803417	0.032315932	Yes	
row_22	INPPL1	1880	0.007769872434437275	0.036270294	Yes	
row_23	INSIG1	1895	0.007637337781488895	0.0410365	Yes	
row_24	PARVA	1973	0.006990409456193447	0.042794112	Yes	
row_25	ADRA1B	1992	0.006824223790317774	0.047369294	Yes	
row_26	GAMT	2029	0.006512854713946581	0.05108488	Yes	
row_27	CLDN4	2256	0.00521183293312788	0.04572692	Yes	
row_28	ZYX	2543	0.003960123285651207	0.037503634	Yes	
row_29	PFN1	2765	0.0032540583051741123	0.03238445	Yes	
row_30	CDK8	2921	0.002849912503734231	0.030417133	Yes	
row_31	MAPK13	2923	0.0028362206649035215	0.03580416	Yes	
row_32	SYMPK	3010	0.002636937890201807	0.037131973	Yes	
row_33	ACTN1	3052	0.002541739959269762	0.04060878	Yes	
row_34	VASP	3102	0.002455679466947913	0.04370354	Yes	
row_35	BAIAP2	3294	0.00208612740971148	0.040017024	Yes	
row_36	LIMA1	3313	0.002054014941677451	0.04459221	Yes	
row_37	NECTIN2	3406	0.0019279150292277336	0.045633487	Yes	
row_38	MYL12B	3631	0.0016194852069020271	0.040371038	Yes	
row_39	ACTG1	3657	0.0015873098745942116	0.044611935	Yes	
row_40	MPZL1	3697	0.0015511356759816408	0.048184253	Yes	
row_41	CTNNA1	3727	0.001516772317700088	0.052234124	Yes	
row_42	CERCAM	3752	0.001486984663642943	0.056522775	Yes	
row_43	DSC1	3860	0.0013652705820277333	0.05684772	Yes	
row_44	ITGB1	3864	0.0013569926377385855	0.06213924	Yes	
row_45	CDH1	3892	0.0013208345044404268	0.06628462	Yes	
row_46	ACTN4	4361	9.205791284330189E-4	0.049369834	No	
row_47	ICAM1	4402	8.979304693639278E-4	0.0528944	No	
row_48	ADAM15	4627	7.561121019534767E-4	0.04763195	No	
row_49	TJP1	4731	6.937052821740508E-4	0.048147917	No	
row_50	RRAS	4763	6.731247995048761E-4	0.05210228	No	
