NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCYT2	277	0.3765864074230194	0.0011290695	Yes	
row_1	FDFT1	430	0.15327994525432587	0.008195253	Yes	
row_2	IDI1	627	0.0736984834074974	0.013171572	Yes	
row_3	CXCL16	641	0.07023125141859055	0.026839826	Yes	
row_4	SEMA3B	675	0.06317366659641266	0.039558142	Yes	
row_5	EBP	745	0.051828112453222275	0.05056657	Yes	
row_6	ACAT2	761	0.0498126745223999	0.06413983	Yes	
row_7	LSS	791	0.045988716185092926	0.07704814	Yes	
row_8	HMGCR	1126	0.022362560033798218	0.07546988	Yes	
row_9	SQLE	1233	0.018926627933979034	0.084720924	Yes	
row_10	TM7SF2	1308	0.017008177936077118	0.095491864	Yes	
row_11	FDPS	1309	0.0169835202395916	0.10977758	Yes	
row_12	DHCR7	1369	0.015613652765750885	0.12126098	Yes	
row_13	MVK	1483	0.013176465407013893	0.13017954	Yes	
row_14	MVD	1624	0.010596426203846931	0.13781568	Yes	
row_15	SREBF2	1737	0.00933306384831667	0.14678174	Yes	
row_16	ATF5	1870	0.007899999618530273	0.15479787	Yes	
row_17	CYP51A1	2324	0.004926096182316542	0.14756748	Yes	
row_18	HMGCS1	2500	0.004140210337936878	0.15354124	Yes	
row_19	HSD17B7	2660	0.003576218383386731	0.16027494	Yes	
row_20	SC5D	2679	0.0035078886430710554	0.17370571	Yes	
row_21	STX5	3351	0.001993934391066432	0.156121	Yes	
row_22	FBXO6	3366	0.0019769370555877686	0.16974175	Yes	
row_23	ACSS2	3625	0.0016254213405773044	0.17177327	Yes	
row_24	S100A11	3647	0.0016007478116080165	0.18506154	Yes	
row_25	ACTG1	3657	0.0015873098745942116	0.19891979	Yes	
row_26	CTNNB1	3673	0.0015740359667688608	0.21249305	Yes	
row_27	SCD	3962	0.001248097512871027	0.21309964	Yes	
row_28	NSDHL	4032	0.0011753926519304514	0.22410807	Yes	
row_29	TNFRSF12A	4447	8.662191685289145E-4	0.21873008	Yes	
row_30	FASN	4454	8.622654713690281E-4	0.2327308	Yes	
row_31	CHKA	4589	7.755624828860164E-4	0.24065194	Yes	
row_32	CLU	4676	7.249286863952875E-4	0.2508529	Yes	
row_33	PMVK	5109	5.319011979736388E-4	0.24461997	No	
row_34	STARD4	5690	3.454224788583815E-4	0.23135747	No	
row_35	TP53INP1	6222	2.273263526149094E-4	0.22042231	No	
row_36	ATXN2	6240	2.2478152823168784E-4	0.23390058	No	
row_37	CD9	6585	1.6409650561399758E-4	0.23184736	No	
row_38	CBS	6786	1.3242319982964545E-4	0.23663369	No	
row_39	PLSCR1	6798	1.3078845222480595E-4	0.25039694	No	
row_40	GPX8	7246	8.064466965151951E-5	0.24345154	No	
row_41	ETHE1	7782	3.973634011344984E-5	0.2323264	No	
row_42	ATF3	8025	2.6935149435303174E-5	0.23511787	No	
row_43	TMEM97	8548	8.302079550048802E-6	0.2246102	No	
row_44	GUSB	9052	3.4113003266611486E-7	0.21500495	No	
row_45	PPARG	10235	-2.5343670131405815E-5	0.17314932	No	
row_46	MAL2	10287	-2.7766034691012464E-5	0.18501268	No	
row_47	ANXA5	10389	-3.3944277674891055E-5	0.19450122	No	
row_48	FABP5	10813	-6.530623068101704E-5	0.18869574	No	
row_49	LGMN	11086	-9.348637104267254E-5	0.19006228	No	
row_50	LGALS3	12076	-2.5516358437016606E-4	0.15737356	No	
row_51	NFIL3	12852	-4.8104242887347937E-4	0.13484916	No	
row_52	CPEB2	12859	-4.8325170064345E-4	0.1488499	No	
row_53	GNAI1	13184	-6.082787876948714E-4	0.14774661	No	
row_54	PDK3	13582	-8.257835288532078E-4	0.14317605	No	
row_55	PNRC1	14049	-0.0011427769204601645	0.1353282	No	
row_56	ECH1	14730	-0.001790653564967215	0.11731602	No	
row_57	LDLR	14736	-0.0018009087070822716	0.13136426	No	
row_58	TRIB3	14836	-0.001913520391099155	0.14094777	No	
row_59	ABCA2	15330	-0.0026716606225818396	0.1318175	No	
row_60	ALCAM	16007	-0.004380193073302507	0.113995306	No	
row_61	LPL	16578	-0.0067727407440543175	0.10120778	No	
row_62	ERRFI1	16581	-0.00678451731801033	0.115398504	No	
row_63	PLAUR	17271	-0.011851660907268524	0.096958846	No	
row_64	FADS2	19175	-0.08261924982070923	0.020857932	No	
row_65	GLDC	19473	-0.12985940277576447	0.021037063	No	
row_66	ANTXR2	19849	-0.2686713635921478	0.017511435	No	
row_67	ALDOC	20412	-1.177095651626587	0.0051038843	No	
row_68	GSTM2	20791	-5.356425762176514	0.0014357655	No	
row_69	JAG1	20968	-13.148078918457031	0.007362023	No	
