NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C4BPB	30	10.62229061126709	0.0043151453	No	
row_1	OLR1	60	6.6495256423950195	0.008678024	No	
row_2	DPP4	118	2.190609931945801	0.011704386	No	
row_3	SERPINE1	151	1.3116568326950073	0.015924066	No	
row_4	FN1	205	0.7494202256202698	0.01914136	No	
row_5	CDA	373	0.20399603247642517	0.016917126	No	
row_6	FDX1	378	0.20138168334960938	0.022473322	No	
row_7	S100A13	495	0.11233669519424438	0.022683455	No	
row_8	LIPA	583	0.08486317098140717	0.024277836	No	
row_9	RNF4	679	0.06188928335905075	0.025490357	No	
row_10	COL4A2	721	0.05424629524350166	0.029280443	No	
row_11	F3	886	0.03725128248333931	0.027199406	No	
row_12	L3MBTL4	909	0.03558489307761192	0.031896412	No	
row_13	LAP3	1180	0.020746130496263504	0.024755713	No	
row_14	EHD1	1368	0.01567934639751911	0.021576824	No	
row_15	GMFB	1534	0.012088182382285595	0.019448055	No	
row_16	PIM1	1662	0.010122046805918217	0.019133128	No	
row_17	PLEK	1807	0.008581945672631264	0.018006748	No	
row_18	GATA3	2316	0.004968545399606228	-4.943371E-4	No	
row_19	LRP1	2368	0.004708556458353996	0.0028184217	No	
row_20	CD55	2580	0.003826226107776165	-0.001506051	No	
row_21	PFN1	2765	0.0032540583051741123	-0.0045417408	No	
row_22	BRPF3	2886	0.0029763691127300262	-0.0045225383	No	
row_23	ATOX1	2889	0.002971092239022255	0.0011291227	No	
row_24	RBSN	2903	0.002898900303989649	0.006255724	No	
row_25	LYN	2917	0.0028604601975530386	0.011382326	No	
row_26	PIK3CG	2930	0.0028245041612535715	0.01655666	No	
row_27	GRB2	2935	0.002818845212459564	0.022112856	No	
row_28	ME1	3105	0.00245048850774765	0.019793157	No	
row_29	CASP10	3216	0.002219034591689706	0.020289686	No	
row_30	USP15	3235	0.002188448328524828	0.025177624	No	
row_31	CALM3	3422	0.0019062930950894952	0.022046467	No	
row_32	PCLO	3649	0.0016001167241483927	0.017006004	No	
row_33	DYRK2	3849	0.0013753778766840696	0.013254324	No	
row_34	USP14	3999	0.0012078427243977785	0.011889279	No	
row_35	XPNPEP1	4021	0.0011846855049952865	0.01663402	No	
row_36	APOC1	4034	0.0011710386024788022	0.021808352	No	
row_37	IL6	4110	0.0011205067858099937	0.023975527	No	
row_38	RABIF	4203	0.0010405852226540446	0.025331246	No	
row_39	PRDM4	4233	0.001019711489789188	0.029694123	No	
row_40	CASP4	4662	7.324964972212911E-4	0.015011655	No	
row_41	CLU	4676	7.249286863952875E-4	0.020138256	No	
row_42	CPQ	4819	6.474447436630726E-4	0.01910734	No	
row_43	AKAP10	5150	5.130607751198113E-4	0.009102676	No	
row_44	CASP9	5213	4.900878411717713E-4	0.011890375	No	
row_45	GNAI2	5220	4.874515871051699E-4	0.017351106	No	
row_46	SERPING1	5244	4.735612601507455E-4	0.02200038	No	
row_47	PDGFB	5318	4.506959521677345E-4	0.024263019	No	
row_48	CD46	5322	4.4894241727888584E-4	0.029866947	No	
row_49	RASGRP1	5339	4.4472256558947265E-4	0.03485035	No	
row_50	CR2	5371	4.355717683210969E-4	0.039117765	No	
row_51	RHOG	5856	3.034855762962252E-4	0.021762265	No	
row_52	PSMB9	6325	2.0592872169800103E-4	0.0051704883	No	
row_53	VCPIP1	6377	1.955041807377711E-4	0.008483247	No	
row_54	CASP3	6641	1.5627442917320877E-4	0.001676674	No	
row_55	PRCP	6644	1.5579441969748586E-4	0.007328335	No	
row_56	TIMP2	6700	1.4524396101478487E-4	0.010450163	No	
row_57	PLSCR1	6798	1.3078845222480595E-4	0.011567218	No	
row_58	MSRB1	6837	1.2717860226985067E-4	0.015500502	No	
row_59	STX4	6938	1.152636541519314E-4	0.016474359	No	
row_60	SIRT6	6982	1.102706155506894E-4	0.020168979	No	
row_61	CTSC	7395	6.596382445422933E-5	0.006250234	No	
row_62	USP16	7747	4.1786228393903E-5	-0.0047568167	No	
row_63	GNAI3	7756	4.1217514080926776E-5	6.084482E-4	No	
row_64	DOCK9	8096	2.42304740822874E-5	-0.00982581	No	
row_65	PPP2CB	8291	1.570648601045832E-5	-0.013338827	No	
row_66	HSPA5	8307	1.5252417142619379E-5	-0.008307691	No	
row_67	CDK5R1	8412	1.1990557140961755E-5	-0.007524765	No	
row_68	CTSH	8622	6.1925406953378115E-6	-0.011753772	No	
row_69	PPP4C	8799	2.6336817882111063E-6	-0.0144076	No	
row_70	USP8	8903	1.3433040066956892E-6	-0.0135769425	No	
row_71	CTSO	9254	-1.4163020978230634E-7	-0.02453626	No	
row_72	PRSS36	9328	-5.125050961396482E-7	-0.02227362	No	
row_73	ANG	9526	-2.880353349610232E-6	-0.025929835	No	
row_74	F8	9673	-5.706854153686436E-6	-0.027151683	No	
row_75	PLA2G4A	9771	-7.944162462081295E-6	-0.026034627	No	
