NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OXTR	27	10.95986557006836	0.0038646248	No	
row_1	SERPINE1	151	1.3116568326950073	0.003142532	No	
row_2	FBN2	193	0.8187004923820496	0.0063382606	No	
row_3	FN1	205	0.7494202256202698	0.010967338	No	
row_4	COL5A1	252	0.4841431677341461	0.013924175	No	
row_5	IGFBP3	276	0.3795449733734131	0.017979912	No	
row_6	SPARC	335	0.24279892444610596	0.020363411	No	
row_7	MMP3	375	0.2025327831506729	0.023654696	No	
row_8	COL4A1	454	0.1386755257844925	0.025082625	No	
row_9	RGS4	480	0.1186307966709137	0.029042808	No	
row_10	ACTA2	504	0.10812601447105408	0.033098545	No	
row_11	FSTL3	579	0.086846724152565	0.03471759	No	
row_12	SLIT2	593	0.08225669711828232	0.03925111	No	
row_13	TPM1	654	0.06710458546876907	0.04153905	No	
row_14	SFRP1	680	0.06185837462544441	0.04549923	No	
row_15	COL4A2	721	0.05424629524350166	0.04874274	No	
row_16	TGFBI	849	0.039921704679727554	0.047829535	No	
row_17	COL3A1	898	0.036309823393821716	0.050690815	No	
row_18	ECM1	983	0.029724083840847015	0.051832076	No	
row_19	PFN2	1096	0.02356521226465702	0.051635545	No	
row_20	NNMT	1248	0.018414609134197235	0.049575657	No	
row_21	PVR	1402	0.01495677512139082	0.047420215	No	
row_22	COLGALT1	1519	0.012334025464951992	0.047032572	No	
row_23	BDNF	1606	0.010823875665664673	0.048078276	No	
row_24	COL7A1	1616	0.010702045634388924	0.05280291	No	
row_25	ITGA5	1730	0.009368883445858955	0.0525586	No	
row_26	PDGFRB	1802	0.00863748136907816	0.05432098	No	
row_27	FAP	1953	0.00713029270991683	0.052308872	No	
row_28	LOXL2	2037	0.0064782933332026005	0.053497914	No	
row_29	MATN2	2067	0.00624252762645483	0.05726698	No	
row_30	FSTL1	2100	0.006050689145922661	0.060892716	No	
row_31	CADM1	2146	0.005812657531350851	0.06389733	No	
row_32	ECM2	2171	0.0056442623026669025	0.06790529	No	
row_33	LRP1	2368	0.004708556458353996	0.06369538	No	
row_34	LAMC1	2419	0.004484293516725302	0.0664611	No	
row_35	ABI3BP	2808	0.0031442823819816113	0.05307776	No	
row_36	LRRC15	2821	0.003108490025624633	0.05765906	No	
