NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	155	1.2519992589950562	0.005622543	Yes	
row_1	CSF2RA	310	0.2900221347808838	0.011292599	Yes	
row_2	IL9R	608	0.07831057906150818	0.010168337	Yes	
row_3	CCR1	696	0.0584595613181591	0.019021744	Yes	
row_4	HMOX1	697	0.0579092912375927	0.032008756	Yes	
row_5	EBI3	1288	0.017418142408132553	0.016963271	Yes	
row_6	PIM1	1662	0.010122046805918217	0.012228045	Yes	
row_7	CSF2RB	1703	0.009732676669955254	0.023314549	Yes	
row_8	BAK1	1806	0.008597277104854584	0.031455267	Yes	
row_9	IL1R2	1832	0.008275941014289856	0.04325446	Yes	
row_10	TNF	2293	0.005084556993097067	0.03438563	Yes	
row_11	IFNAR1	2715	0.003381960326805711	0.02736979	Yes	
row_12	IL7	2811	0.003133054357022047	0.035843097	Yes	
row_13	GRB2	2935	0.002818845212459564	0.042986047	Yes	
row_14	PTPN2	3126	0.002393338130787015	0.046945643	Yes	
row_15	PTPN11	3338	0.002018123399466276	0.049907476	Yes	
row_16	PTPN1	3539	0.0017373200971633196	0.05339195	Yes	
row_17	IL10RB	3712	0.001531289773993194	0.058206774	Yes	
row_18	MAP3K8	3780	0.001455977326259017	0.068010435	Yes	
row_19	IRF9	3831	0.0013969099381938577	0.07862181	Yes	
row_20	IL6	4110	0.0011205067858099937	0.07840029	Yes	
row_21	TNFRSF12A	4447	8.662191685289145E-4	0.07542303	Yes	
row_22	STAT3	4654	7.386514917016029E-4	0.07862243	Yes	
row_23	MYD88	5366	4.3719125096686184E-4	0.05782791	No	
row_24	HAX1	6080	2.567816700320691E-4	0.036938358	No	
row_25	IL15RA	6195	2.3143182625062764E-4	0.044508923	No	
row_26	JUN	6247	2.2358252317644656E-4	0.05507279	No	
row_27	IFNGR1	6583	1.6437632439192384E-4	0.052143045	No	
row_28	CD9	6585	1.6409650561399758E-4	0.06508254	No	
row_29	STAT2	7128	9.43694103625603E-5	0.052317668	No	
row_30	TNFRSF1A	7344	7.020108751021326E-5	0.055089448	No	
row_31	IL13RA1	7556	5.4325442761182785E-5	0.05805128	No	
row_32	IL1R1	7682	4.618354432750493E-5	0.0650992	No	
row_33	IL6ST	7758	4.103843093616888E-5	0.07452276	No	
row_34	LTBR	8985	7.440881972797797E-7	0.029259196	No	
row_35	CBL	9561	-3.4802396839950234E-6	0.014926401	No	
row_36	FAS	9782	-8.426234671787824E-6	0.017460618	No	
row_37	STAM2	10276	-2.741036587394774E-5	0.007023866	No	
row_38	IL4R	10914	-7.420149631798267E-5	-0.0102547165	No	
row_39	TNFRSF21	10986	-8.291037374874577E-5	-6.411063E-4	No	
row_40	IL12RB1	11687	-1.8021381401922554E-4	-0.02091299	No	
row_41	LEPR	11946	-2.2694111976306885E-4	-0.020184256	No	
row_42	IL2RG	12046	-2.491714258212596E-4	-0.0119010005	No	
row_43	TYK2	12343	-3.2200716668739915E-4	-0.01297775	No	
row_44	OSMR	12517	-3.726847062353045E-4	-0.0082104355	No	
row_45	CSF3R	12537	-3.800925042014569E-4	0.0038738362	No	
row_46	TGFB1	12932	-5.0746975466609E-4	-0.0018591582	No	
row_47	IL17RA	12967	-5.222137551754713E-4	0.009512423	No	
row_48	ACVR1B	13100	-5.745182861573994E-4	0.016227758	No	
row_49	SOCS1	13417	-7.288571214303374E-4	0.014200755	No	
row_50	CD44	13664	-8.713456336408854E-4	0.015499641	No	
row_51	CSF1	13801	-9.606716339476407E-4	0.022024926	No	
row_52	IFNGR2	13863	-0.0010128752328455448	0.032113664	No	
row_53	IL3RA	13871	-0.0010188888991251588	0.044768088	No	
row_54	IRF1	15005	-0.0021482957527041435	0.0039232015	No	
row_55	PDGFC	16706	-0.007551873102784157	-0.06386139	No	
row_56	CD38	16832	-0.008327935822308064	-0.056813467	No	
row_57	IL17RB	17397	-0.013225296512246132	-0.07062362	No	
row_58	TLR2	17494	-0.014365795999765396	-0.062197827	No	
row_59	SOCS3	17802	-0.018717192113399506	-0.06379722	No	
row_60	LTB	17906	-0.020523041486740112	-0.055704013	No	
row_61	A2M	18524	-0.03764994069933891	-0.07203234	No	
row_62	CD36	18688	-0.04429588094353676	-0.0667899	No	
row_63	PLA2G2A	18866	-0.05586930736899376	-0.06221264	No	
row_64	ITGB3	18955	-0.062447983771562576	-0.05340674	No	
row_65	INHBE	19192	-0.08415639400482178	-0.05163273	No	
row_66	CD14	19431	-0.12212053686380386	-0.04995374	No	
row_67	CXCL10	20014	-0.40081217885017395	-0.064619124	No	
row_68	CXCL11	20048	-0.4397408664226532	-0.05320003	No	
row_69	ACVRL1	20290	-0.870803713798523	-0.05166358	No	
row_70	CSF2	20467	-1.4093445539474487	-0.047038805	No	
row_71	CXCL3	20522	-1.719150185585022	-0.036617476	No	
row_72	IL18R1	20563	-2.0955212116241455	-0.025530973	No	
row_73	TNFRSF1B	20714	-3.722118377685547	-0.019670866	No	
row_74	CXCL1	20972	-13.356341361999512	-0.01889462	No	
row_75	IL1B	21054	-21.20761489868164	-0.009756136	No	
row_76	ITGA4	21077	-24.921140670776367	0.0021855976	No	
